CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,You seriously going to take the opinion of some random stranger over your own son?,"Cathy: If someone off the street can tell Geneva is one of those machine people, then so should you.","you and your mother were arguing, then she grabbed a random person off the street to back up her opinion / Irritated",CathyGreetSceneTrailoff01
Scene,SceneDialogue,Custom,,"Cathy: If someone off the street can tell Geneva is one of those machine people, then so should you.","You JUST said no one could TELL the difference, Ma. Now will you leave my customers alone?",,Angry,CathyGreetSceneTrailoff01
Scene,SceneDialogue,Custom,,,We're idiots? Just because we disagree with you?,"Cathy: She's a synth, Johnny. Anyone with a brain in their head can figure that out.",your mother just called you and one of your customers idiots for disagreeing with her / Irritated,CathyGreetSceneTrailoff02
Scene,SceneDialogue,Custom,,"Cathy: She's a synth, Johnny. Anyone with a brain in their head can figure that out.","You were JUST saying no one could TELL the difference, Ma. You wanna lay off?",,Angry,CathyGreetSceneTrailoff02
Scene,SceneDialogue,Custom,,,"You JUST said no one could tell the difference, Ma. He don't know if Geneva's a synth, and neither do you, so could you lay off?","Cathy: Don't you talk to your mother that way, Johnny.",Irritated,CathyGreetSceneTrailoff03
Scene,SceneDialogue,Custom,,,"You JUST said no one could tell the difference, Ma. She don't know if Geneva's a synth, and neither do you, so could you lay off?","Cathy: Don't you talk to your mother that way, Johnny.",Irritated,CathyGreetSceneTrailoff03
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Some other time?,,,JohnGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Okay. You take care.,,,JohnGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Later, then.",,,JohnGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Did I come on too strong?,,joking,JohnGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Sure. Some other time.,,,JohnGreetScene
Scene,SceneDialogue,Custom,,Player Default: Thanks for you help.,"You be careful, okay? Institute's out there.",,Concerned,JohnMQ103Scene
Scene,SceneDialogue,Custom,,Player Default: I don't appreciate people telling me what to do.,"Hey, hey, easy. I gave you directions. Everything's cool now, okay?",,Nervous,JohnMQ103Scene
