CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: I'm sorry. I didn't know.,"Yeah, well... you couldn't have, so just forget it.",,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,"Player Default: Whatever's going on with you, doesn't make it okay to be rude.","Okay, sure. Whatever.",,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,Player Default: Sounds like you should get some help.,"Yes, right. Brilliant. If only I'd thought of that, and, oh, I don't know, gone someplace to see synths that could help me. Like, maybe... Acadia?",,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,,Thanks so much for the advice.,,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,"Player Default: What do you mean, ""mind wipe?""",Oh for fuck's sake...,,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,,"You're a synth on the run. You go to someone, you get a new face, and they wipe your mind so the Institute can't find you.",,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,,Only somebody screwed mine up. So here I am.,,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,,"Now, just... Please... Leave me alone.",,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,Player Default: It's not your fault...,"You try having somebody botch a mind-wipe on you, and see how it feels. Then get back to me, okay?",Player Default: I'm sorry. I didn't know.,,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,"DLC03FemaleJule: New guy, right?","Look, I'm not anybody worth talking to, my head is killing me... Now's not a good time.","Player Default: Sorry, didn't mean to bother you.",,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,"Player Default: Sorry, didn't mean to bother you.",It's not your fault...,"Jule: You try having somebody botch a mind-wipe on you, and see how it feels. Then get back to me, okay?",,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,Player Default: Nice attitude. You must have tons of friends.,"Yeah, I'm so broken up about it.","Jule: You try having somebody botch a mind-wipe on you, and see how it feels. Then get back to me, okay?",,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,"Player Default: Oh, yeah. Practically a five-star resort you've got here.","Okay yeah sure, it's rough around the edges. But someday, it'll be amazing.","Jule: You try having somebody botch a mind-wipe on you, and see how it feels. Then get back to me, okay?",,DLC03AcadiaDialogueJuleInititalScene
Scene,SceneDialogue,Custom,,Player Default: What's wrong?,We're doing this anyway? Even after saying I don't wanna talk? God.,"Jule: You try having somebody botch a mind-wipe on you, and see how it feels. Then get back to me, okay?",,DLC03AcadiaDialogueJuleInititalScene
Combat,Combat,Death,,,Aggh.,,,
Combat,Combat,Hit,,,Hunh.,,,
Combat,Combat,Hit,,,Rargh.,,,
Combat,Combat,Hit,,,Hnngh.,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Oh no, it's fine. I'll just stand here all day.",,"waiting for player to respond, sarcastic",
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Come on, already...",,"waiting for player to respond, annoyed",
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,I don't have time for this shit...,,"waiting for player to respond, annoyed",
Miscellaneous,Miscellaneous,Greeting,,,"New guy, right?","Jule: Look, I'm not anybody worth talking to, my head is killing me... Now's not a good time.",,DLC03AcadiaDialogueJuleInititalScene
Miscellaneous,Miscellaneous,Greeting,,,"New girl, right? Must be, because I don't recognize you.","Jule: Look, I'm not anybody worth talking to, my head is killing me... Now's not a good time.",,DLC03AcadiaDialogueJuleInititalScene
Miscellaneous,Miscellaneous,Hello,,,Freakin' Children of Atom... Of course those idiots went nuclear. They probably cheered it.,,,
Miscellaneous,Miscellaneous,Hello,,,The worst part about this? I got nowhere else to go!,,"bitter, remorseful",
Miscellaneous,Miscellaneous,Hello,,,Turns out you can't trust anyone. Anyone.,,,
Miscellaneous,Miscellaneous,Hello,,,It's all fucked. All of it.,,"bitter, remorseful",
Miscellaneous,Miscellaneous,Hello,,,I am really not up to chatting right now.,,,
Miscellaneous,Miscellaneous,Hello,,,"I just can't deal with social interactions, okay?",,,
Miscellaneous,Miscellaneous,Hello,,,"Some other time, okay?",,,
Scene,SceneDialogue,Custom,,"Cog: Okay, here's what I'm thinking: later on tonight, we go streaking through town, freak out the locals. Sound good?","Oh, fuck off Cog. You know I'm not doin' that.","Cog: Yeah, I figured. Just throwin' it out there.",,DLC03Acadia_Conv_CogJule02Scene
Scene,SceneDialogue,Custom,,"Cog: How you holdin' up, kiddo?",You mean aside from feeling like my head is filled with shards of broken glass?,Cog: Sorry I can't do anything more for you.,,DLC03Acadia_Conv_CogJule01Scene
