CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Ezra? You're alive?,"Well, congratulations on catching up, Detective.",,,DLC03DialogueV118_EzraReveal
Scene,SceneDialogue,Custom,,,"Yes, I've been masqueraded as Julianna for some time now.","Julianna: What's it going to be, Detective. Join me in getting rich or die defending some outdated ideals?",,DLC03DialogueV118_EzraReveal
Scene,SceneDialogue,Custom,,,"Well, how is this going to go down?","Player Default: Ok, I'll let you go.",,DLC03DialogueV118_EzraReveal
Miscellaneous,Miscellaneous,Greeting,,,What was all that racket?,,,
Miscellaneous,Miscellaneous,Greeting,,,"Good job, Detective.",,,
Miscellaneous,Miscellaneous,Greeting,,,What's going on? Did you catch the killer?,,,
Miscellaneous,Miscellaneous,Greeting,,,"I'm glad you decided to come back, Detective.","Julianna: What's it going to be, Detective. Join me in getting rich or die defending some outdated ideals?",,DLC03DialogueV118_EzraReveal
Miscellaneous,Miscellaneous,Greeting,,,"A wise choice, Detective.","Julianna: It's a shame, I thought I could keep the ruse going a little longer. Ah well, had to end eventually I suppose.",,DLC03DialogueV118_EzraReveal
Miscellaneous,Miscellaneous,Greeting,,,"I'll wait here till you finish carrying things out, Detective.",,,
Scene,SceneDialogue,Custom,,"Player Default: Or should I say, Ezra?","Well, Detective, that's quite the claim.",,,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,"Player Default: Or should I say, Ezra?","You were so close, Detective.",,,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: Never mind.,Good. Perhaps you should rethink your investigation.,,,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: I'm not sure yet.,"It's not me, Detective. Clearly you should be looking at that actor.",,,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: Maybe you can give me a reason it couldn't be you.,"I'm sick all the time, Detective. I don't have the strength to do such a thing.","Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Bert: Just let me have a look at the neural interface matrix and I'm sure I can clear that-,"No! No it's not that, I've just caught another cold. Probably something that got in when they sent Pearl out.","Bert: Oh god, not this again. Last month you were convinced you had the measles...","Forceful on the first no, but don't over do it.",DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Julianna: Mr. Scruffy and I are going to rewrite the will, so he will get everything when I die because horrible Bert didn't believe me.","Have fun, dear!",,,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,,Hello Mr. Whiskers. Who's a pretty kitty?,"Bert: Julianna... Mr. Whiskers died last month. This is Scruffy, remember?",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Bert: Julianna... Mr. Whiskers died last month. This is Scruffy, remember?",Oh... of course. Silly me.,Bert: Just let me have a look at the neural interface matrix and I'm sure I can clear that-,,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Bert: Oh god, not this again. Last month you were convinced you had the measles...","You're not a doctor, what would you even know about it. And besides, I think it may be malaria.","Bert: First of all, I am a doctor.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Bert: First of all, I am a doctor.","Yes, but not a real doctor. Robotics isn't an actual medical degree.","Bert: Secondly, I've told you time and again, you can't get sick inside the suit. It's not physically possible.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Bert: Secondly, I've told you time and again, you can't get sick inside the suit. It's not physically possible.","I know when I'm getting sick, Bert. Now why don't you just wander off and play in your lab.","Julianna: Mr. Scruffy and I are going to rewrite the will, so he will get everything when I die because horrible Bert didn't believe me.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Julianna: I know when I'm getting sick, Bert. Now why don't you just wander off and play in your lab.","Mr. Scruffy and I are going to rewrite the will, so he will get everything when I die because horrible Bert didn't believe me.","Bert: Oh, god Julianna. Whatever. I'm going to the lab.","talking to your cat again, knowing full well that bert is standing right there.",DLC03_V118_QuestIntroJuliannaBertWait
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I think you're the real murderer.,"That's just silly, Detective. Why would I want to kill Mr. Parker?","Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: I think you're the real murderer.,"I'm Julianna Riggs. Heiress to the Riggs fortune and wife of Bert Riggs. I'm not sure what else you expected, Detective.","Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Never mind.,"Good luck catching the murderer, Detective.","Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: I heard you had a big fight with Ezra a few days ago. Care to explain?,"Oh well, it wasn't that big a deal really. He wanted more money to pay for repairs on the hotel.",,,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,,I wasn't feeling well that day and lashed out a bit at the poor man. I really should have listened to him more.,"Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: I heard you had a big fight with Ezra a few days ago. Care to explain?,"Oh, well I don't really believe that. Mr. Parker wouldn't do such a thing, I'm sure.","Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: I heard you had a big fight with Ezra a few days ago. Care to explain?,These are our things. We're just waiting till the war blows over so we can bring them back to the mansion.,"Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Scene,SceneDialogue,Custom,,Player Default: Did you have any thoughts about the murder?,"If you ask me, it's one of those actors. Or that horrible painter. Their type is always the cause of violence.","Player Default: Give it up, I know your secret Julianna.",,DLC03_V118_QuestJuliannaMain
Miscellaneous,Miscellaneous,Greeting,,,Hello Detective. Did you have a question about the heinous murder?,Player Default: I think you're the real murderer.,,DLC03_V118_QuestJuliannaMain
Miscellaneous,Miscellaneous,Greeting,,,Oh it's you again. What do you want?,Player Default: I think you're the real murderer.,,DLC03_V118_QuestJuliannaMain
