CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"MarcyLongAlias: Come on, Jun. It's time to go.","Oh, okay.",,a little dazed / Puzzled,011SurvivorLobbyScene2
Combat,Combat,Hit,,,Aaaaah! Huh huh huh uh....!,,getting hit but too afraid to fight back,
Miscellaneous,Miscellaneous,Hello,,,Wahh huh huh wahh huh huh,,sad muttering,
Miscellaneous,Miscellaneous,Hello,,,No no no noo no noo noo no noo,,sad muttering,
Miscellaneous,Miscellaneous,Hello,,,Ohh huh huh god no why whaa,,sad muttering,
Miscellaneous,Miscellaneous,Hello,,,Huh huh noo huh huh,,sad muttering,
Miscellaneous,Miscellaneous,Hello,,,Oh god oh god oh why why why why? It's not fair it's not fair huh huh,,sad muttering,
Miscellaneous,Miscellaneous,Hello,,,Promised we'd get there I promised I promised we'd get there couldn't keep promise I'm so sorry I'm so sorry I'm so sorry,,(sad muttering),
Scene,SceneDialogue,Custom,,"Sturges: Uh, no offense if you're from here or something.","Where are we going, Marcy?","MarcyLong: Don't worry, Jun. Just stay with me. It'll be fine.",Afraid,Min01ConcordTravel01
Scene,SceneDialogue,Custom,,"MarcyLong: Don't worry, Jun. Just stay with me. It'll be fine.",Oh... okay.,,Sad,Min01ConcordTravel01
Miscellaneous,Miscellaneous,Hello,,,What? Who are you?,,"player just rescued you, and you're heading for Sanctuary / Puzzled",
Miscellaneous,Miscellaneous,Hello,,,*long sigh*,,"player just rescued you, and you're heading for Sanctuary / Depressed",
Miscellaneous,Miscellaneous,Hello,,,Is it over?,,"player just rescued you, and you're heading for Sanctuary / Depressed",
Miscellaneous,Miscellaneous,Greeting,,,This can't be happening... Not again...,,Mama Murphy just died of chem overdose / Sad,
Miscellaneous,Miscellaneous,Greeting,,,She's not moving... Oh god...,,Mama Murphy just died of chem overdose / Sad,
Scene,SceneDialogue,Custom,,"Player Default: Don't mention it. You guys have been through Hell, huh?",You have no idea. In these past few months we've lost everything...,"JunLong: My son, he... he's gone.","Sad, Traumatized  / Sad",DialogueSanctuaryHillsJunLongFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: You got lucky. But I think your luck's run out.,"You think we don't know that? Look at us, we're barely keeping it together. We've been through Hell...","JunLong: My son, he... he's gone.","Frustrated, scared, hopeless / Angry",DialogueSanctuaryHillsJunLongFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: It all worked out in the end.,No. Our problems aren't so simple...,"JunLong: My son, he... he's gone.","Slightly offended,  / Defiant",DialogueSanctuaryHillsJunLongFirstGreetingScene
