CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Madison: Seems a poor choice.,How can you possibly justify this? He isn't one of us... he isn't even a scientist!,"Shaun: Ignoring your borderline-insubordinate tone, I will simply say this.",,Inst303DirectorateFatherScene
Scene,SceneDialogue,Custom,,Madison: Seems a poor choice.,How can you possibly justify this? She isn't one of us... she isn't even a scientist!,"Shaun: Ignoring your borderline-insubordinate tone, I will simply say this.",,Inst303DirectorateFatherScene
Scene,SceneDialogue,Custom,,Evan: No!,You can't be serious!,"Shaun: Please, everyone. Please!","shocked, horrified",Inst303DirectorateFatherScene
Scene,SceneDialogue,Custom,,"Clayton: Oh, boy.",You can't be serious!,Allie: Really?,,Inst303DirectorateFatherScene
Scene,SceneDialogue,Custom,,Shaun: And to how you will help.,Sir?,"Shaun: Yes, Doctor Ayo. Previously we would rely on Kellogg for above ground operations, yes? Well, he is gone.","surprised, alarmed. questioning superior's order",Inst303DirectoratePhase3Scene
Scene,SceneDialogue,Custom,,"Shaun: While I am not overly fond of putting my own father in harm's way, he has proven more than capable of handling himself.","Yes, but...",Shaun: This is not a matter for debate.,trying to argue with orders,Inst303DirectoratePhase3Scene
Scene,SceneDialogue,Custom,,"Justin: Yes, ah... Watchers show no additional threats beyond those previously identified.","We're still monitoring the increased activity around Fort Independence, but there are no immediate signs we should be concerned.","Justin: Boston International Airport remains occupied, with Brotherhood presence noted at several other points throughout the Commonwealth.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Justin: We're still monitoring the increased activity around Fort Independence, but there are no immediate signs we should be concerned.","Boston International Airport remains occupied, with Brotherhood presence noted at several other points throughout the Commonwealth.","Justin: Intelligence suggests that this ""Railroad"" continues to operate, and is becoming more... ambitious.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Justin: Boston International Airport remains occupied, with Brotherhood presence noted at several other points throughout the Commonwealth.","Intelligence suggests that this ""Railroad"" continues to operate, and is becoming more... ambitious.","Justin: SRB agents are monitoring all known situations, sir.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Justin: Intelligence suggests that this ""Railroad"" continues to operate, and is becoming more... ambitious.","SRB agents are monitoring all known situations, sir.","Alana: Oh, yes.  Uhh... Watchers have not shown any additional threats at this time.","emphasis on ""all"", suggesting someone in the room is also being watched",Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Allie: Doctor Ayo, did you still need modifications to the entryway for the SRB?","Yes, as soon as possible. I want that area completely secure.","Alana: Oh, I'm... Well, I'm not sure. That was Justin's concern, really. I suppose it's still worth the upgrade.",,Inst303DirectoratePreSceneLoop
Scene,SceneDialogue,Custom,,"Shaun: Good, we're all here. I think it's time we begin.","Sir, excuse me, but...",Justin: What exactly is he doing here?,,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Justin: Sir, excuse me, but...",What exactly is he doing here?,"Alana: Excuse me sir, but is it wise to have this meeting given... present company?",distrustful,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Justin: Sir, excuse me, but...",What exactly is she doing here?,"Alana: Excuse me sir, but is it wise to have this meeting given... present company?",distrustful,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Allie: Otherwise, internally things are as tight as they've ever been. Doctor Secord and her division have been keeping an eye on things topside.","Yes, ah... Watchers show no additional threats beyond those previously identified.","Justin: We're still monitoring the increased activity around Fort Independence, but there are no immediate signs we should be concerned.",,Inst303DirectorateOpeningScene
Miscellaneous,Miscellaneous,Greeting,,,Do you mind?,,annoyed / Irritated,
Scene,SceneDialogue,Custom,,,"Watcher initiative testing log, entry six. Acting Director Justin Ayo speaking.",,Making an audio journal. You're pleased with an experiment. Should have a sinister note (it's a spy program),InstituteHolotapeWatchers
Scene,SceneDialogue,Custom,,,"We've concluded the third round of surface testing, and the results are promising.",,Making an audio journal. You're pleased with an experiment. Should have a sinister note (it's a spy program),InstituteHolotapeWatchers
Scene,SceneDialogue,Custom,,,We're receiving valuable data across a broad spectrum and in real-time.,,Making an audio journal. You're pleased with an experiment. Should have a sinister note (it's a spy program),InstituteHolotapeWatchers
Scene,SceneDialogue,Custom,,,"With the improved monitoring, I'm confident we'll be able to expand our operations on the surface.",,Making an audio journal. You're pleased with an experiment. Should have a sinister note (it's a spy program),InstituteHolotapeWatchers
