CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: I know it must be hard for you. I just want to make sure you're here for the right reasons.,"Yeah, so am I... I mean... yes, I believe I'm a synth, but... there's something wrong here. With Acadia. There's more going on than just the refuge.",,Concerned,DLC03MQ03_02_KasumiGreetScene
Scene,SceneDialogue,Custom,,,I can't leave until I've gotten to the bottom of it. I've done enough running...,"Player Default: If something's going on, then I can help. Just tell me what's happening.",Concerned,DLC03MQ03_02_KasumiGreetScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: You haven't replaced anyone. Kenji and Rei are still your parents.,"I... I really wish that was true. If I wasn't a synth, things would be so much simpler...",,player convinces you to think about whether or not you're a synth / Concerned,DLC03MQ03_02_KasumiGreetScene
Miscellaneous,Miscellaneous,SharedInfo,,,*sigh* Acadia isn't what I thought it was. There's more going on here than just the refuge.,,Concerned,DLC03MQ03_02_KasumiGreetScene
Miscellaneous,Miscellaneous,SharedInfo,,,But I can't leave until I've gotten to the bottom of it. I've been running long enough...,"Player Default: If something's going on, then I can help. Just tell me what's happening.",Concerned,DLC03MQ03_02_KasumiGreetScene
Scene,SceneDialogue,Custom,,Player Default: You haven't replaced anyone. Kenji and Rei are still your parents.,"Look, I get it. They hired you to bring their daughter back... and I wish I could, I really do...",,Concerned,DLC03MQ03_02_KasumiGreetScene
Scene,SceneDialogue,Custom,,,Acadia isn't what I thought it was. There's more going on than just the refuge.,,Concerned,DLC03MQ03_02_KasumiGreetScene
Scene,SceneDialogue,Custom,,,I can't leave until I've gotten to the bottom of it. I've been running for long enough...,"Player Default: If something's going on, then I can help. Just tell me what's happening.",Concerned,DLC03MQ03_02_KasumiGreetScene
Scene,SceneDialogue,Custom,,"Player Default: Kasumi, I think you're just confused. Everyone has doubts about who they are sometimes. That's part of life.","But isn't the other part dealing with those doubts? Isn't that what I'm doing? I had questions, I came here for answers.",,Concerned,DLC03MQ03_02_KasumiGreetScene
Scene,SceneDialogue,Custom,,,"Look, I'm not here to just blindly follow Acadia's ideals. If anything... I feel like the only one who knows there's something wrong here.",,Concerned,DLC03MQ03_02_KasumiGreetScene
