CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"DLC04NPCFKatelynAlden: So, you're the new boss? Colter was no pushover. If you were tough enough to take him out, then you definitely earned that title.","Whatever his faults, I'll say this - Colter built something here, something important.",,,DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,,A lot of people come a long way to trade here. A lot of caps flow through the market.,,,DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,,It's the kind of opportunity you don't want to take for granted.,Player Default: Wouldn't be much of a market if we didn't have customers.,"A little condescending... ""don't screw this up""",DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,Player Default: Wouldn't be much of a market if we didn't have customers.,"Exactly. Customers means caps, and caps means everyone's happy. When a bunch of Raiders aren't happy any more, the bullets start flying.",KatelynAlden: There's one other thing you should probably know. I've got an arrangement with Shank.,,DLC04DialogueSettlement_KatelynFirstScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'll run this place however I want.,"Sorry, no offense Just trying to help. After all, if this place prospers, it's good for both of us.",KatelynAlden: There's one other thing you should probably know. I've got an arrangement with Shank.,"Cool, aloof, barely an apology / Neutral",DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,Player Default: What do you mean?,"As long as people feel safe coming here, the caps will flow. But Raiders, they're unpredictable. Quick-tempered.",,,DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,,"It's a delicate balance, this place. Lot of reward but just as much risk. All I'm saying is, don't let things get out of hand.",KatelynAlden: There's one other thing you should probably know. I've got an arrangement with Shank.,,DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,"Player Default: Exactly. Customers means caps, and caps means everyone's happy. When a bunch of Raiders aren't happy any more, the bullets start flying.",There's one other thing you should probably know. I've got an arrangement with Shank.,,Divulging a shady secret...choosing words carefully / Neutral,DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,,"When I'm out on the road, I keep an ear to the ground. I hear anything interesting, I relay it to him.",Player Default: Sounds good to me. Feel free to keep that going.,Nervous,DLC04DialogueSettlement_KatelynFirstScene
Scene,SceneDialogue,Custom,,Player Default: Sounds good to me. Feel free to keep that going.,Will do.,"KatelynAlden: Since you're here, can I hook you up with any supplies?",Approving / Neutral,DLC04DialogueSettlement_KatelynFirstScene
