CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,Is everyone alright?,,,
Miscellaneous,Miscellaneous,Greeting,,,"God, this is terrible.",,,
Miscellaneous,Miscellaneous,Greeting,,,Why is the door open? Did you catch the killer yet?,,,
Scene,SceneDialogue,Custom,,"Gilda: The line is, ""Then we'll make our stand here. Two lovers, together, with a bullet for each of them.""",God. Why can't I ever get that line.,"Keith: Forget it, I can't do this right now.",,DLC03_V118_QuestIntroGildaKeithWait
Miscellaneous,Miscellaneous,SharedInfo,,,"Forget it, I can't do this right now.",,,DLC03_V118_QuestIntroGildaKeithExitK
Scene,SceneDialogue,Custom,,Player Default: You thought Gilda was cheating on you with Ezra.,"That's ridiculous, I don't care who Gilda sees. You aren't going to pin this on me!","Keith: You're not the law, you're a dead man!",,DLC03_V118_QuestKeithMain
Scene,SceneDialogue,Custom,,Player Default: You thought Gilda was cheating on you with Ezra.,"No, you won't Detective, because there isn't one.","Keith: You're not the law, you're a dead man!",,DLC03_V118_QuestKeithMain
Scene,SceneDialogue,Custom,,Player Default: Never mind.,"Maybe try actually investigating before you go throwing around accusations, Detective.","Keith: You're not the law, you're a dead man!",,DLC03_V118_QuestKeithMain
Scene,SceneDialogue,Custom,,Player Default: The motive doesn't matter. All the clues point to you.,"This is bullshit, you can't just convict me with out motive!","Keith: You're not the law, you're a dead man!",,DLC03_V118_QuestKeithMain
Scene,SceneDialogue,Custom,,Player Default: Maybe you can give me a reason it couldn't be you.,I- I don't have to justify myself to you. There's no motive and you know it.,Player Default: You thought Gilda was cheating on you with Ezra.,,DLC03_V118_QuestKeithMain
Scene,SceneDialogue,Custom,,Player Default: Maybe you can give me a reason it couldn't be you.,"I- I would never harm Ezra, Detective. I was... in love with him.",Player Default: I think you're the murderer. The brain enclosure was smashed in and your bat was at the scene of the crime.,,DLC03_V118_QuestKeithMain
