CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: I'm with Valentine's Detective Agency. You asked for help?,A good samaritan? Fine. I'm out of options anyway. If you want to hear about it.,,Tired,DLC03MQ01_004_PlayerNakano02
Scene,SceneDialogue,Custom,,,My daughter is missing. It all started with this damn radio.,ReiNakano: Our daughter Kasumi likes to fix things. The radio was her latest project.,Concerned,DLC03MQ01_004_PlayerNakano02
Scene,SceneDialogue,Custom,,"Nick: Uh... right. Yeah, it's starting to come back to me... Sorry things ended sour.","We got out, that's all that mattered. And now you can return the favor by finding my daughter...",Player Default: We're here to help. Tell us what happened.,,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,,"She went that far up North? God, that explains why she took the boat...",,player just told you Kasumi is in Far Harbor / Surprised,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,,"There's no time to waste, you have to go after her!","ReiNakano: Wait! Did you find out why she left, detective? Who she was speaking to?",Afraid,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,,"She went that far up North? God, that explains why she took the boat...",,Afraid,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,,You have to go after her! Please. Take my other ship on the dock outside. My father's design.,,Pleading,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,,"It has a guidance system, and it's built for distance.","Player Default: I'll get to the bottom of this, Kenji.",Worried,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,"ReiNakano: Wait! Did you find out why she left, detective? Who she was speaking to?",What does it matter?,"ReiNakano: Because I know my daughter, and if she didn't tell us where she went, then she had a reason. Don't you want to know if she wants to be found?",Afraid,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,"ReiNakano: Because I know my daughter, and if she didn't tell us where she went, then she had a reason. Don't you want to know if she wants to be found?","*sigh* You're right. Detective, did you find any clue to why Kasumi left home?",Player Default: I think I know where Kasumi went. A place called Far Harbor.,Worried,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,Player Default: Oh god... Does she even think we're still her parents?,This is what I was afraid of. Someone twisting my daughter's mind.,KenjiNakano: You have to get to Far Harbor. Take my ship on the dock. It has a guidance system. A final gift from my father. And it's built for distance.,Worried,DLC03MQ01_008_SynthBranch
Scene,SceneDialogue,Custom,,KenjiNakano: This is what I was afraid of. Someone twisting my daughter's mind.,You have to get to Far Harbor. Take my ship on the dock. It has a guidance system. A final gift from my father. And it's built for distance.,"Player Default: I'll get to the bottom of this, Kenji.",Pleading,DLC03MQ01_008_SynthBranch
Scene,SceneDialogue,Custom,,KenjiNakano: This is what I was afraid of. Someone twisting my daughter's mind.,"Did you find where Kasumi went, detective?",Player Default: I think I know where Kasumi went. A place called Far Harbor.,Worried,DLC03MQ01_008_SynthBranch
Scene,SceneDialogue,Custom,,Player Default: Anything more you can tell me about Kasumi? The smallest detail could be important.,I don't know what more to say. She's my little girl and she doesn't know how dangerous this world is.,,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,,I never should have let her grandfather teach her how to how to fix these machines.,Player Default: Anything more you can tell me about Kasumi? The smallest detail could be important.,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: Anything more you can tell me about Kasumi? The smallest detail could be important.,"Ever since she was old enough to walk, yes. Her grandfather had an ear for machines. Kasumi picked up the knack.",,player asked about Kasumi's grandfather teaching her about mechanics / Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,,He... passed away recently. He used to scavenge the ruins in the south for parts. I kept telling him he was getting too old...,Player Default: Anything more you can tell me about Kasumi? The smallest detail could be important.,Sad,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: No more questions right now.,"Work quickly, detective.",,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: Tell me more about this radio she was fixing.,"I've tried to get that damn thing to work over and over again, but there's nothing.",,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,,"I thought she just wanted to strip it for parts or build a toaster out of it, or something, like she usually does.",,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,,"Someone made contact with her, and then they took her. God, what kind of twisted psychopath has my daughter?",Player Default: Anything more you can tell me about Kasumi? The smallest detail could be important.,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,"Player Default: Why did your daughter really leave? Your wife says she left on her own, but you said it was kidnappers.","I know it was kidnappers. Kasumi is a smart girl, but she doesn't know how... horrible people can be. Not like me and Rei.",,"emphasis on ""know"" / Worried",DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,,Why would she just leave her family? With no explanation? Someone tricked her. Got her to leave the safety of home.,,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,,"Every minute we aren't looking for my daughter, her life is in jeopardy.",Player Default: Anything more you can tell me about Kasumi? The smallest detail could be important.,Worried,DLC03MQ01_006_MrNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: I'm with Valentine's Detective Agency. You asked for help?,Oh thank god. You have to get working right away.,Player Default: We're here to help. Tell us what happened.,player says he's with Nick Valentine / Relieved,DLC03MQ01_004_PlayerNakano02
Scene,SceneDialogue,Custom,,,"What? Who are you? I'm sorry, but we don't have time for visitors or caravans or wherever you're from.",Player Default: I'm with Valentine's Detective Agency. You asked for help?,stranger has entered your house / Suspicious,DLC03MQ01_004_PlayerNakano02
Scene,SceneDialogue,Custom,,"KenjiNakano: No, she would've told us where she was going. She would've said... something!",I know my daughter is in danger. I can feel it. Find her. Please.,Player Default: I already took a look around. I think I know what happened to Kasumi.,talking to the player / Worried,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,ReiNakano: Our daughter Kasumi likes to fix things. The radio was her latest project.,Until she made contact with some kidnapper who lured her away from us.,ReiNakano: Or maybe she left on her own. She's not a child anymore.,Worried,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,"ReiNakano: Our daughter is nineteen. She knows how to survive, and she's capable. I... think maybe she left because she wanted her own life.","No, she would've told us where she was going. She would've said... something!",KenjiNakano: I know my daughter is in danger. I can feel it. Find her. Please.,Worried,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,"Player Default: What can I expect out there, Kenji?","I only made the trip to Far Harbor once, when I was a boy. All I remember is that my father didn't want to stay long. Something about the air being bad.","Player Default: I'll get to the bottom of this, Kenji.",Thinking,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,Player Default: A magic boat ride! Will there be sea monsters?,"Umm... While I know the seas aren't exactly safe, I'm confident that boat can get you there unharmed. At least, I hope.",,Puzzled,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,,"I know you haven't asked for payment, and we can't offer much, but here. Please take it, I insist. For expenses, if nothing else.","Nick: I know my partner here can be a little glib, but we won't rest until we get to the bottom of this. You two have my word.",Grateful,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,Player Default: A magic boat ride! Will there be sea monsters?,"Umm... While I know the seas aren't exactly safe, I'm confident that boat can get you there unharmed. At least, I hope.",,Puzzled,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,,"Before you go, here's the payment we discussed. I'll have something more when Kasumi is safely back home.","Nick: I know my partner here can be a little glib, but we won't rest until we get to the bottom of this. You two have my word.",,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,Player Default: That's crazy. I'm not taking a ride on some rusty boat.,I trust that boat with my life. My father worked on it every day until he died. And it's all I can offer.,,Irritated,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,,Let me know if you change your mind.,Nick: My partner here is just a little nervous. Never been on a boat before. We'll be back.,Concerned,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,"Player Default: I'll get to the bottom of this, Kenji.","Thank you. I know you haven't asked for payment, and we can't offer much, but here. Please take it, I insist. For expenses, if nothing else.","Nick: I know it'll be hard waiting for word, but try to carry on like normal. We'll be back as soon as we can.",Grateful,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,"Player Default: I'll get to the bottom of this, Kenji.","Thank you. And here, the payment we discussed. I'll have something more when Kasumi is safely back home.","Nick: I know it'll be hard waiting for word, but try to carry on like normal. We'll be back as soon as we can.",Grateful,DLC03MQ01_009_Boat
Scene,SceneDialogue,Custom,,Player Default: Still looking.,Please work quickly.,,Concerned,DLC03MQ01_007_PlayerNakano02
Scene,SceneDialogue,Custom,,Player Default: Your daughter made contact with a group of synths. She thinks she's one of them.,What? That's ... that's crazy...!,"ReiNakano: She's not a synth! She's our daughter. We raised her. I... I gave birth to her. She's flesh and blood, not a synthetic.",Surprised,DLC03MQ01_007_PlayerNakano02
Scene,SceneDialogue,Custom,,Player Default: I need to ask you an important question. Are you sure your daughter is human?,What kind of question is that? Why are you asking?,Player Default: I think I know where Kasumi went. A place called Far Harbor.,Irritated,DLC03MQ01_007_PlayerNakano02
Scene,SceneDialogue,Custom,,Player Default: I need to ask you an important question. Are you sure your daughter is human?,"Where, specifically? I've been up the coast, almost to where the waters start to freeze, but that's a lot of miles...",Player Default: I think I know where Kasumi went. A place called Far Harbor.,player mentions Kasumi might have gone North / Thinking,DLC03MQ01_007_PlayerNakano02
Scene,SceneDialogue,Custom,,ReiNakano: Kenji. Please! You've been at this for hours. Stop! You need sleep.,"She's out there, Rei. Someone has her. They could be Raiders or Gunners or god knows what else!",,Afraid,DLC03MQ01_002_NakanoIntroScene
Scene,SceneDialogue,Custom,,,Dammit. Come in! I know you're listening on the other end! Where is she? Where's my daughter!?,ReiNakano: Kenji. Please! You've been at this for hours. Stop! You need sleep.,frantically trying to get a radio to work / Worried,DLC03MQ01_002_NakanoIntroScene
Scene,SceneDialogue,Custom,,Nick: Hope you don't mind. We let ourselves in.,Nick. Thank god! You need to get to work right away! She could be hurt. She could be...,"Nick: Whoa. Slow down. Uh... Kenji, was it? Why don't you go over the details with me and my partner here?",your old friend Nick Valentine has come to help you find your missing daughter / Relieved,DLC03MQ01_003_NickIntro
Scene,SceneDialogue,Custom,,,Your brought a partner? Good. The more eyes the better.,Player Default: We're here to help. Tell us what happened.,"talking to the player, who you assume is Nick's new detective partner / Worried",DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,Player Default: We're here to help. Tell us what happened.,It's all thanks to this damn radio.,ReiNakano: Our daughter Kasumi likes to fix things. The radio was her latest project.,blaming technology for your daughter's disappearance / Irritated,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,Player Default: Let's just get this over with.,It all started with this damn radio.,ReiNakano: Our daughter Kasumi likes to fix things. The radio was her latest project.,Worried,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,"Player Default: Yeah, that's me. ""Lowly partner."" I don't even get real business cards.",Uh... right...,,Puzzled,DLC03MQ01_004_PlayerNakano01
Scene,SceneDialogue,Custom,,,"Getting back to my daughter, it all started with this damn radio.",ReiNakano: Our daughter Kasumi likes to fix things. The radio was her latest project.,Worried,DLC03MQ01_004_PlayerNakano01
