CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"FinalSpeakers: So you like playing cops and robbers, Kent?",Please... make it stop...,"FinalSpeakers: Oh, your friend's arrived, Kent. Do you mind if call you Kent? Here's the thing about cops and robbers. The bad guys always win.","Delirious, recovering from being tortured",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,Radio_Kent: It's on.,We're recording in here.,"Radio_Kent: So, Jerry. Go on. Tell the listeners about what we were talking about.","Raised volume, irritated - AUDIO F/X NOTE: Even louder rapid knocking on the door at end of line",MS04_Radio_2_DealWithAJ
Scene,SceneDialogue,Custom,,,You got the Memory Pod loaded up?,,"Voice raised - someone's opened the door, Anxious, excited",MS04_Ambient_KentDoor
Scene,SceneDialogue,Custom,,,"Oh, you're not Irma.",,Interested (now normal conversation volume),MS04_Ambient_KentDoor
Scene,SceneDialogue,Custom,,,"Friend of the show, Jerry, is here.","Radio_Kent: So, Jerry. Go on. Tell the listeners about what we were talking about.","(Radio) Talking with someone in the booth, trying to get PC's attention",MS04_Radio_2_DealWithAJ
Scene,SceneDialogue,Custom,,Radio_Kent: We're recording in here.,"Aw, man.","Radio_Kent: So, Jerry. Go on. Tell the listeners about what we were talking about.","(Radio) Irritated, interrupted in his broadcast - AUDIO F/X: Goes off air at the end of this line",MS04_Radio_2_DealWithAJ
Scene,SceneDialogue,Custom,,"Radio_Kent: Aw, man.",Great. Great! The Silver Shroud's dispatched justice already. Miss Selmy has been avenged!,"Radio_Kent: So, Jerry. Go on. Tell the listeners about what we were talking about.","(Radio) Enthused, VERY excited. AUDIO F/X: Goes on air at the beginning of this line",MS04_Radio_2_DealWithAJ
Scene,SceneDialogue,Custom,,Radio_Jerry: Shit? The Shroud offed Wayne? Wait. So this guy's actually for real?,You better believe it!,"Radio_Kent: So, Jerry. Go on. Tell the listeners about what we were talking about.",(Radio) Excited,MS04_Radio_2_DealWithAJ
Scene,SceneDialogue,Custom,,,The Silver Shroud's bringing justice to Goodneighbor. You bad guys better look out.,Radio_Kent: And now a special update. The villainous assassin Kendra was recently spotted at the Third Rail.,(Radio) Excited!,MS04_Radio_3_KillKendra
Scene,SceneDialogue,Custom,,,"Another special update! No, it wasn't Bobby No-Nose who offed AJ and his goons.",Radio_Kent: It was the Silver Shroud! See his calling card if you don't believe me.,Busting with excitement,MS04_Radio_2a_AJReactivity
Scene,SceneDialogue,Custom,,"Radio_Kent: Another special update! No, it wasn't Bobby No-Nose who offed AJ and his goons.",It was the Silver Shroud! See his calling card if you don't believe me.,"Radio_Kent: Now's our time, listeners, justice is coming to Goodneighbor. You'll see.",Busting with excitement,MS04_Radio_2a_AJReactivity
Scene,SceneDialogue,Custom,,Radio_Kent: It was the Silver Shroud! See his calling card if you don't believe me.,"Now's our time, listeners, justice is coming to Goodneighbor. You'll see.",,Busting with excitement,MS04_Radio_2a_AJReactivity
Scene,SceneDialogue,Custom,,,You hear the gunshots outside the gates?,,(Radio) Breaking story,MS04_Radio_3a_KendraReactivity
Scene,SceneDialogue,Custom,,,Then you heard the work of... the Silver Shroud!,,Tries to build up to an excited revelation,MS04_Radio_3a_KendraReactivity
