CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Comin' right up!,,,DLC04DialogueSettlement_LaurenVendorScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,You bet!,,,DLC04DialogueSettlement_LaurenVendorScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Not interested.,Suit yourself.,,,DLC04DialogueSettlement_LaurenVendorScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Not interested.,Alright then.,,,DLC04DialogueSettlement_LaurenVendorScene
Scene,SceneDialogue,Custom,,Player Default: I assume it's because the gangs trust you not to run off.,Trust? Hell no! A real raider don't trust anyone but himself.,"LaurenPlummer: The answer is, because they got a healthy mix of fear an' respect, that's why.",Annoyed the player got it wrong / Irritated,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: I don't really give a shit.,Well ain't you a spoilsport.,"LaurenPlummer: The answer is, because they got a healthy mix of fear an' respect, that's why.","Annoyed, let down / Irritated",DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: Um... you slipped it off and nobody's noticed yet.,Hah! Not bloody likely! I'd have to have a death wish to try a stunt like that.,"LaurenPlummer: The answer is, because they got a healthy mix of fear an' respect, that's why.",Amused at the player's stupidity / Disbelief,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: So you're one of the traders who was here before the gangs took over?,"Damn right! Hell, I'm an institution.",,,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,,"Go on now, take a guess why I ain't got a collar.",Player Default: I assume it's because the gangs trust you not to run off.,,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: Trust? Hell no! A real raider don't trust anyone but himself.,"The answer is, because they got a healthy mix of fear an' respect, that's why.",,,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,,"That, an' the fact I don't take shit from anyone. In here, it's my drinks an' my rules.",Player Default: You can keep the collar off. I get the feeling you wouldn't put it on even if I told you to.,,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: You can keep the collar off. I get the feeling you wouldn't put it on even if I told you to.,"You're right about that, haha.",LaurenPlummer: Now what the hell do you want?,Amused agreement / Friendly,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,"Player Default: New boss, new rules. From now on, you wear your collar.",What?! You serious?,,Angry / Angry,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,,"Fine, I'll put the damn thing on. I'll even serve you a drink, but I'll still be hopin' you get a knife between the ribs from one of these Raiders.",LaurenPlummer: Now what the hell do you want?,"Angry, disappointed / Angry",DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,"Player Default: New boss, new rules. From now on, you wear your collar.",That'll be the day! Haha!,LaurenPlummer: Now what the hell do you want?,not bloody likely / Disbelief,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: You've got some serious backbone.,"Around here, backbone's the only thing that'll keep you alive.",LaurenPlummer: Now what the hell do you want?,,DLC04DialogueSettlement_LaurenFirstScene
Scene,SceneDialogue,Custom,,Player Default: You want to stay here? Even though you have to work for Raiders?,"You say ""Raiders"" like they're somethin' worse than normal folks.",,,DLC04DialogueSettlement_LaurenFirstScene
