CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,NPCMLiamBinet: Maybe you could help me with something.,"I'm not allowed to leave the Institute, but I'm really curious about the Commonwealth.",,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,,"Maybe you could tell me about it. What's it like, you know, up on the surface?",Player Default: It's great to see people rebuilding civilization. There's a real sense of hope.,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: It's great to see people rebuilding civilization. There's a real sense of hope.,I'm glad to hear that.,"LiamBinet: I know what you're thinking. Why should I care? I'm safe down here, right?",,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: It's a wasteland. People are barely surviving up there.,"Yeah, I had a feeling it was pretty bad.","LiamBinet: I know what you're thinking. Why should I care? I'm safe down here, right?",,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,"Player Default: Well, let me put it this way. You're much better off down here.","I know, and I feel pretty lucky that I am.",,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,,People up there have it so much worse.,"LiamBinet: I know what you're thinking. Why should I care? I'm safe down here, right?",,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: What makes you so curious about the surface?,Because it's the only place I'm not allowed to go.,"LiamBinet: I know what you're thinking. Why should I care? I'm safe down here, right?",,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: I'm glad to hear that.,"I know what you're thinking. Why should I care? I'm safe down here, right?",,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,,I guess it's because of something my dad once told me.,,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,,"He said, contrary to others might say, science should never be dispassionate.",,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,,"In fact, compassion should be one of our most important values.","Player Default: If more scientists had thought that way, the bomb might never have been invented.",,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,"Player Default: If more scientists had thought that way, the bomb might never have been invented.","Wow, I never thought of it that way, but you're right.",,,DialogueInstituteLiamFirstGreeting
Scene,SceneDialogue,Custom,,,I can't imagine what it must have been like to be there when the bombs fell.,,,DialogueInstituteLiamFirstGreeting
