CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,LizzieWyath: ...you should have no problem getting at least one settlement under your control before you have to brew up your own.,"And just... remember us when you're crushing those poor settlers under foot, huh?",,Amused,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,"LizzieWyath: Plus, I've winnowed down the addiction risk to near zero, so no need to fear repeat usage.","Here. Ingredients for that one have been tricky to find, but between that and the grenade...",,Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,...you should have no problem getting at least one settlement under your control before you have to brew up your own.,"LizzieWyath: And just... remember us when you're crushing those poor settlers under foot, huh?",Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,"LizzieWyath: Here. Only had enough to make the one locally, but you can take the recipe as well, should you find yourself wanting more.","So, the other trick up our sleeve is a little more broad spectrum than the grenades.",,Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,Gulp down a couple lung fulls and anyone you speak to will be far more apt to give you what you want.,,Amused,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,"Plus, I've winnowed down the addiction risk to near zero, so no need to fear repeat usage.","LizzieWyath: Here. Ingredients for that one have been tricky to find, but between that and the grenade...",Amused,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,"Player Default: Well, this should give you one.","Here. Only had enough to make the one locally, but you can take the recipe as well, should you find yourself wanting more.","LizzieWyath: So, the other trick up our sleeve is a little more broad spectrum than the grenades.",Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,Player Default: So it only works at settlements. Are there any other restrictions I need to know about?,"Nothing beyond that. I've been trying to get the formulas working better for more varied environments, but for now, the current brew should serve.",Player Default: Take any advantage I can get.,Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,Player Default: Stink bombs. Lovely.,"Just give them a try, first, Overboss. I think you'll enjoy the results.","LizzieWyath: Here. Only had enough to make the one locally, but you can take the recipe as well, should you find yourself wanting more.",Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,Player Default: Sounds like it's not worth the materials its made of.,"Try before you judge, Overboss. I've had some... pleasing results in the past.","LizzieWyath: Here. Only had enough to make the one locally, but you can take the recipe as well, should you find yourself wanting more.",Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,Player Default: Take any advantage I can get.,"Well, this should give you one.","LizzieWyath: Here. Only had enough to make the one locally, but you can take the recipe as well, should you find yourself wanting more.",Amused,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,Player Default: Wonderful.,"So, first up, something to manipulate a target. It's a homemade distillation brewed to mimic human flight pheromones.",,Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,Toss one these grenades at the feet of your target and convincing the wary settler suddenly becomes a much simpler affair.,,Amused,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,"Now, to function effectively, I had to make the formula... precise...",,Adding a caveat you're not proud of. / Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,... so it's not going to work on people in any of the big towns like Bunker Hill or Diamond City nor on caravaners.,,Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,,"But for your purposes, hitting settlements out in the Commonwealth, it ought to give you a serious edge.",Player Default: Take any advantage I can get.,Neutral,DLC04DialogueRaiderOperatorsBosses_LizzieScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,That's all I ask.,"LizzieWyath: So, first up, something to manipulate a target. It's a homemade distillation brewed to mimic human flight pheromones.",Amused,DLC04DialogueRaiderOperatorsBosses_LizzieScene
