CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Topic,PlayerDialogue,Custom,,,"So... you've prepared for this day, eh, Jack?",,InPain,
Topic,PlayerDialogue,Custom,,,How dare you?,,InPain,
Topic,PlayerDialogue,Custom,,,No!,,InPain,
Topic,PlayerDialogue,Custom,,,It won't be enough to stop me.,,InPain,
Topic,PlayerDialogue,Custom,,,I'm still more than a match for you.,,InPain,
Topic,PlayerDialogue,Custom,,,That's better.,,Grateful,
Topic,PlayerDialogue,Custom,,,My power returns.,,SinisterSmile,
Topic,PlayerDialogue,Custom,,,"You see, there's nothing you can do.",,SinisterSmile,
Topic,PlayerDialogue,Custom,,,Ahh. Much better.,,Happy,
Scene,SceneDialogue,Custom,,Player Default: Why else would you have let me free myself? There is only one way forward now.,"But don't worry. You will be rewarded. What Jack has taken from me, I will bestow upon you freely - the gift of immortality!","Lorenzo: But first, I have some unfinished business to deal with. With your help, I trust.",Happy,MS09ParsonsBossRoomFreeLorenzoChoice
Scene,SceneDialogue,Custom,,Jack: Get away while you can!,Take your time. I'm in no hurry.,,Happy,MS09ParsonsBossRoomFreeLorenzo
Scene,SceneDialogue,Custom,,Jack: Get away while you can!,This is exciting.,,Happy,MS09ParsonsBossRoomFreeLorenzo
Scene,SceneDialogue,Custom,,Jack: Get away while you can!,I promise to reward whoever wins.,,Happy,MS09ParsonsBossRoomFreeLorenzo
Scene,SceneDialogue,Custom,,Jack: Get away while you can!,All this for me? I'm flattered.,,Happy,MS09ParsonsBossRoomFreeLorenzo
Scene,SceneDialogue,Custom,,Jack: Get away while you can!,I won't play favorites. I'll reward whoever survives.,,Happy,MS09ParsonsBossRoomFreeLorenzo
Scene,SceneDialogue,Custom,,"LorenzoRoomRaiderBoss: Shit, she's coming in! Kill her!",Apparently even the simplest task was beyond your capabilities.,,with a disappointed sigh / Depressed,MS09ParsonsBossRoomRaiderEnd
Scene,SceneDialogue,Custom,,Jack: We need to get in there and stop them.,"Hello, Jack. It's been a long time since I've had the pleasure of a personal visit.",Jack: Father. I will stop this.,Happy,MS09Mission3ParsonsInterior05
