CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,"That sounds pretty damn boring... well, except the part about being with your family.",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.","Yeah, something tells me you're making all this up.",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.","Oh my god, that sounds boring.",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,Player Default: Always believed in freedom of the press.,That's a pretty outdated concept if you ask me. Who even cares anymore?,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,Player Default: Newspapers just like to stir up trouble.,"Yeah, the world's already filled with bad news... what good does it do to broadcast that to everybody?","Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",agreeing with the player,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.",There's no going back from what this guy did.,DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.",You're arresting this nutcase? The hell with that.,"DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,Good god... what a loser.,Companion: Crocker got exactly what was comin' to him.,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,An eye for an eye. Code of the road.,,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,"Well, well... Dogmeat must be part bloodhound. Why don't you give him a break while we pay Kellogg a visit?",,Confident,MQ106_CompanionDogmeatScene
Scene,SceneDialogue,Custom,,Player Default: Then let's go find your home.,"There better be some gold at the end of this rainbow, if you catch my meaning.",Billy: Thanks. I live in Quincy. Or at least I used to. But I don't know how to get there.,a little bit snide,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,Player Default: You'll have to figure out your own life.,"Yeah, sorry kid... no excess baggage on this flight.",Billy: I guess I'll just sit here until some monster comes and eats me.,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,"Player Default: I hate to tell you this, but your parents are probably dead.","Losing family's never easy, but you'll pull through... hang in there, buddy.",Billy: Dead? You really think so?,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,Jack: You fool! Why didn't you do as I asked?,This was a bad idea. You should have left that guy in there.,,Worried,MS09ParsonsBossRoomLorenzoEscapes
Scene,SceneDialogue,Custom,,Player Default: That's really interesting.,"Look, I know I talk a lot of crap... but this ""alien"" stuff kind of freaks me out.",Jack: I'm glad to hear you say that. It's become my life's work.,nervous / Nervous,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,"Player Default: You can believe whatever wacko theories you want, as long as I get paid.","Look, don't make fun of this stuff... you never know.","Jack: Well if that's how you feel, I'll leave you to Edward. He'll be your immediate supervisor.",nervous / Nervous,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,Player Default: I'm really just here about the job.,"Yeah, what's the job? It'll help me take my mind off of all the alien crap this guy's talking about.",Jack: I'm sorry if I'm rattling on. I sometimes forget not everyone finds these things as compelling as I do.,nervous / Nervous,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,Player Default: You think aliens created human civilization?,"Of course he does. Shouldn't everyone? I mean, how do you know they aren't?","Jack: Yes, if by alien you mean a non-human precursor to the commonly understood founding cultures -- Sumer, Egypt, Assyria.",nervous / Nervous,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,"Player Default: I have a vial of that serum with me. Here, looks like you need it.","Oh come on. After all we went through, you're just giving it away?","Emogene: How did you get that? Never mind, I'd rather not know. Thank you so very much.",,MS09Mission2EmogeneAgeKnow
Scene,SceneDialogue,Custom,,Player Default: Thanks for your help.,I guess we know our next stop.,ParsonsGuardCaptain: Sure thing.,,MS09ParsonsCaptainScene1
Scene,SceneDialogue,Custom,,Player Default: So you've just been waiting for me to show up to do something about those assholes?,Screw them... let's just do the job.,"ParsonsGuardCaptain: As far as I remember, I don't answer to you. And yeah, we were waiting for you.",,MS09ParsonsCaptainScene1
Scene,SceneDialogue,Custom,,Player Default: That's all I needed to know.,"Come on, we've got a job to finish.","ParsonsGuardCaptain: Well then, I guess we're done.",,MS09ParsonsCaptainScene1
Scene,SceneDialogue,Custom,,"Player Default: Sorry, I shouldn't have said that.",There's no reason to apologize. They should be glad we were here.,ParsonsGuardCaptain: Was that an apology? Now I've seen everything.,Irritated,MS09ParsonsCaptainScene1A
Scene,SceneDialogue,Custom,,Player Default: Lucky for you I'm not afraid of a few raiders.,Are you kidding? Raiders are a joke.,"ParsonsGuardCaptain: Well, then, why don't you get out of my face and go kill them?",,MS09ParsonsCaptainScene1A
Scene,SceneDialogue,Custom,,Player Default: That's true. Edward wouldn't have hired me if he thought you could have done the job.,I couldn't have said that better myself.,ParsonsGuardCaptain: You're throwing a lot of attitude for the new guy. I guess we'll see soon enough if you're just blowing smoke or not.,,MS09ParsonsCaptainScene1A
Scene,SceneDialogue,Custom,,"Player Default: Whoa, whoa. Easy there.","""Yarrrr matey! Hoist the sail... weigh anchor!"" *chuckle* Is this for real?",FirstMate: Unable to comply.,stuff in quotes in a fakey pirate voice / Amused,MS11_0080_Constitution_Scene_3
Scene,SceneDialogue,Custom,,"Player Default: Try that and you'll be nothing but scrap metal, pal.","""Give the word cap'n and I'll send them to Davy Jones' Locker!"" *chuckle* Is this for real?",FirstMate: Threats detected. Awaiting permission to terminate target.,stuff in quotes in a fakey pirate voice / Amused,MS11_0080_Constitution_Scene_3
Scene,SceneDialogue,Custom,,Player Default: This must be a misunderstanding. You invited me aboard.,"""Let's parley with 'em cap'n! Yo-ho-ho!"" *chuckle* Is this for real?",FirstMate: No records found.,stuff in quotes in a fakey pirate voice,MS11_0080_Constitution_Scene_3
Scene,SceneDialogue,Custom,,"Player Default: What, you're going to kill me?","""Shiver me timbers! Let me run a shot across their bow!"" *chuckle* Is this for real?",FirstMate: Affirmative.,stuff in quotes in a fakey pirate voice / Amused,MS11_0080_Constitution_Scene_3
Scene,SceneDialogue,Custom,,,Anyone have any popcorn? I'm going to enjoy the show.,,,MS11_Comp_Sabotage
Scene,SceneDialogue,Custom,,Player Default: You should just abandon the ship.,"Yeah, I don't see the point. You're sitting on the Commonwealth's most obvious target.","Ironsides: It is not in my character, sir, to retreat simply because the odds are great. I will persevere.",,MS11_0100_Meet_Ironsides
Scene,SceneDialogue,Custom,,Player Default: That's quite a predicament.,I don't know... I'm kind of having fun watching them scurry around like a bunch of amusement park pirate 'bots.,Ironsides: What vexes me most is my inability to assist in the war effort. My gun decks have naught but mole rats and ne'er-do-wells as targets.,,MS11_0100_Meet_Ironsides
Scene,SceneDialogue,Custom,,Player Default: How did it even get up here?,"Oh, this should be good.","Ironsides: A harrowing tale, of that there can be no doubt. Or I should say, I assume it is.",ready to hear amusing tale / Amused,MS11_0100_Meet_Ironsides
Scene,SceneDialogue,Custom,,"Player Default: Yeah, I'm in. What's the plan?","Yeah, that ship is basically the last train to crazytown.",Mandy: That's the right call.,,MS11_0350_Meet_Mandy
Scene,SceneDialogue,Custom,,Player Default: No deal. I'm with Ironsides.,You're siding with that robot? Did you hit your head on the way down here?,"Mandy: Then screw you, asshole. You're lucky we don't gun you down.",Surprised,MS11_0350_Meet_Mandy
Scene,SceneDialogue,Custom,,Player Default: I need to think about this.,These are human beings... why would you even think about helping an insane robot instead?,"Mandy: Don't take too long, or we'll crack the Constitution open ourselves. And then you'll get nothing.",a bit angry / Irritated,MS11_0350_Meet_Mandy
Scene,SceneDialogue,Custom,,Player Default: Still not interested.,"Good. The last time I got in the middle of one these situations, it ended up with two people dead.",PaulPembroke: I don't know why I expected you to help me.,,MS13PaulIntroScene
