CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Well, I admit, I didn't like being roped into this ""job"" in the first place.",Then this might be your chance to make some changes around here.,MackenzieBridgeman: The gangs that call this place home are already at each other's throats.,Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: How dare you suggest something like that! I should have you shot!,"Okay, okay, I get it boss... just take it easy. There's no need to get angry.",,Afraid for your life / Afraid,DLC04DialogueSettlement_MackenzieFirstScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Just forget I said anything, okay?","MackenzieBridgeman: Anyway, I'm the closest thing to a doctor around here. I treat everyone, Raider, trader and traveler alike.",transitioning from afraid to nervous / Nervous,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,Player Default: Are you out of your mind?,"Just, hear me out.",MackenzieBridgeman: The gangs that call this place home are already at each other's throats.,Nervous,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,Player Default: Then this might be your chance to make some changes around here.,The gangs that call this place home are already at each other's throats.,,pulling player close for a dangerous chat given the surroundings / Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,,Now you could risk your own neck and try to keep them from tearing each other apart or you could do the right thing and put them in the ground.,,pulling player close for a dangerous chat given the surroundings / Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,,"When it's all said and done, you're still running this place from your fancy house on the mountain over there.",,pulling player close for a dangerous chat given the surroundings / Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,,"Except now, you won't have to sleep with a gun under your pillow.","Player Default: I'm not making any promises, but I'll keep it in mind.",pulling player close for a dangerous chat given the surroundings / Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,"Player Default: It's your call, boss.","If you're serious about this, then you'll have to take down the leaders of the gangs.",,Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,,"That means putting a bullet into Nisha, Mason, Mags and Mags's brother, William.",,Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,,"Once you do that, the gangs will collapse and Nuka-Town goes back to being a free-trading post.",,Conspiratorial,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,,"I should uh, probably stop talking about this out here. Just keep what I said in mind.","MackenzieBridgeman: Anyway, I'm the closest thing to a doctor around here. I treat everyone, Raider, trader and traveler alike.",Nervous,DLC04DialogueSettlement_MackenzieFirstScene
Scene,SceneDialogue,Custom,,Player Default: You and the other traders were being treated like slaves. I had to put an end to it.,"Well, you certainly did that.","MackenzieBridgeman: I've thought about this day for a long time. Dreamed about it, really, though I never thought I'd see that dream come true.",Disbelief,DLC04DialogueSettlement_MackenzieFreeScene
Scene,SceneDialogue,Custom,,Player Default: Raiders steal and kill without remorse. They don't deserve to live.,"Can't argue with that. If you ask me, they've had it coming for a long time.","MackenzieBridgeman: I've thought about this day for a long time. Dreamed about it, really, though I never thought I'd see that dream come true.","Relief, approval / Relieved",DLC04DialogueSettlement_MackenzieFreeScene
Scene,SceneDialogue,Custom,,"Player Default: Not sure, really. I guess I just felt like killing a lot of people.","Oh... okay, boss. I, uh...  really hope you've scratched that itch now.","MackenzieBridgeman: I've thought about this day for a long time. Dreamed about it, really, though I never thought I'd see that dream come true.","Nervous, dealing wiht a psychotic / Nervous",DLC04DialogueSettlement_MackenzieFreeScene
Scene,SceneDialogue,Custom,,Player Default: Does it really matter? You're free now.,I guess not. I'm sure you had your reasons.,"MackenzieBridgeman: I've thought about this day for a long time. Dreamed about it, really, though I never thought I'd see that dream come true.",,DLC04DialogueSettlement_MackenzieFreeScene
Scene,SceneDialogue,Custom,,"Player Default: Well, you certainly did that.","I've thought about this day for a long time. Dreamed about it, really, though I never thought I'd see that dream come true.",,Slowly accepting new reality (a better reality) / Grateful,DLC04DialogueSettlement_MackenzieFreeScene
