CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,My pleasure.,,,DLC04DialogueSettlement_MaddoxVendorScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"You got it, boss.",,,DLC04DialogueSettlement_MaddoxVendorScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Not interested.,"Hey, no problem.",,,DLC04DialogueSettlement_MaddoxVendorScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Not interested.,"Whatever you want, boss.",,,DLC04DialogueSettlement_MaddoxVendorScene
Scene,SceneDialogue,Custom,,"Player Default: I'm... uh, sure you know what you're doing.","You're in good hands, boss. The hands of a master.","Maddox: Can't exactly go out there with this collar on, but you can go anywhere you please.",Supreme confidence / Confident,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,Player Default: Bloodworm Meat?! That's disgusting.,"Hey, don't knock it 'til you try it, boss. I promise, you'll be glad you did.","Maddox: Can't exactly go out there with this collar on, but you can go anywhere you please.",Confident,DLC04DialogueSettlement_MaddoxFirstScene
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Oh good, I was afraid you might be using questionable ingredients.",The best mixers know that you can't achieve greatness without a little... imagination.,"Maddox: Can't exactly go out there with this collar on, but you can go anywhere you please.",,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,"Player Default: You're in good hands, boss. The hands of a master.","Can't exactly go out there with this collar on, but you can go anywhere you please.",,Confident,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,I figure 10 hunks of Bloodworm Meat should do the trick. Then I'll show you just what kind of magic I can make.,Player Default: I've got plenty of Bloodworm Meat. Here you go.,Confident,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,Player Default: I'll have these Raiders eating out of my hand in no time.,There you go! Confidence is half the battle. You gotta make 'em believe it.,"Maddox: Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.",Impressed,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,"Player Default: To be honest, I have my doubts. Raiders fight. It's what they do. I can't change their nature.","No doubt, no doubt. The trick is to keep them fighting something besides each other, right?","Maddox: Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.","Taking the player aside, said in a low voice / Conspiratorial",DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,Player Default: Guess we'll find out.,We surely will.,"Maddox: Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.",,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,Player Default: You were a Raider? What happened?,"Yeah, long time ago. Got in a scrap and almost bought it. Decided the lifestyle wasn't worth dying for, so I got out.",,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,"Kicked around a few settlements trying to live straight. Got thrown out of em' all. Hard to change your ways, you know?",,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,Came out here a few years back and was finally making it work. Then Colter and his gangs showed up.,,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,"Can't outrun your past, I guess. Sooner or later it's going to catch up with you.",,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,"So, think you're up to the task?","Maddox: Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.",,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,Player Default: You were a Raider? What happened?,"Yeah, but that was a long time ago, man. I won't waste your time with it.",,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,"So, you think you're up to the running this place?","Maddox: Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.",,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,"DLC04NPCMMaddox: Well now, what's this? Got us a celebrity here. It's the king of the castle himself. The one and only boss of Nuka-World!","So, you up for this? Ready to take charge and keep the peace between three of the nastiest raider gangs in the Wasteland?",,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,"Ain't gonna be easy, I can promise you that. I was a Raider once myself so I know how difficult they can be.","Maddox: Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.",,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,Player Default: There you go! Confidence is half the battle. You gotta make 'em believe it.,"Well hey, I'm glad you stopped by. See, I'm the keeper of the sweet stuff around here. I've got chems for all your needs. But that's not all.",,,DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,,"I've also got a proposition, just for you.","Player Default: Alright, let's hear it.","Sly, a salesman / Conspiratorial",DLC04DialogueSettlement_MaddoxFirstScene
Scene,SceneDialogue,Custom,,"Player Default: Alright, let's hear it.","Yes sir, yes sir.","Maddox: I've always had a gift for brewing chems. See, the trick is to experiment with your ingredients. Try everything, cause you never know, right?",,DLC04DialogueSettlement_MaddoxFirstScene
