CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Please tell me what you know.,There was a preacher fellow who used to come in here all the time. One of the slick ones... always going on about remaking your life and so on.,,,MS09Mission2MagnoliaAnswer
Scene,SceneDialogue,Custom,,,"Most of the customers wouldn't give him the time of day, but Emogene latched on to him for some reason.",,,MS09Mission2MagnoliaAnswer
Scene,SceneDialogue,Custom,,,I don't suppose it hurt that he was easy on the eyes. Intense. Some women find that irresistible.,,Flirting,MS09Mission2MagnoliaAnswer
Scene,SceneDialogue,Custom,,,That depends on why you're looking for her.,Player Default: Her family's worried that something's happened to her.,Question,MS09Mission2MagnoliaScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Emogene? Sure, I know her. I haven't seen her in a while though. Are you a friend of hers?",Player Default: She's missing and her family's worried about her.,Friendly,MS09Mission2MagnoliaScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: She's missing and her family's worried about her.,I'm glad somebody's looking out for her. She seems like a body that could use looking after.,Player Default: Please tell me what you know.,Concerned,MS09Mission2MagnoliaScene
Scene,SceneDialogue,Custom,,Player Default: That's not important. Just tell me where she is.,"She's not a friend of mine, honey. Just someone who stops in to the club from time to time. Now, if you'll excuse me...",Player Default: Her family's worried that something's happened to her.,Neutral,MS09Mission2MagnoliaScene
Scene,SceneDialogue,Custom,,Player Default: I just need to talk to her.,"Why are you looking for her, honey?",Player Default: Her family's worried that something's happened to her.,Question,MS09Mission2MagnoliaScene
Scene,SceneDialogue,Custom,,Player Default: Do you know where I can find her?,I guess that depends on why you're looking for her.,Player Default: Her family's worried that something's happened to her.,Question,MS09Mission2MagnoliaScene
Scene,SceneDialogue,Custom,,Player Default: It's none of your damn business.,"Well then, I guess I can't help you. Now, if you'll excuse me...",,Neutral,MS09Mission2MagnoliaScene
Scene,SceneDialogue,Custom,,Player Default: I'm trying to help her. Do you know where she is or not?,No need to get impatient with me. I just don't consider it polite to gossip to any stranger who wanders into the club.,Player Default: Please tell me what you know.,Irritated,MS09Mission2MagnoliaScene
