CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: I... can't see him. Not clearly. But I feel his life force. He's out there.,And even I don't need the Sight to tell you where you should start lookin'.,,Confident,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,,"The great, green jewel of the Commonwealth. Diamond City. The biggest settlement around.","Player Default: I've been to Diamond City, already. I need more. Please.",Surprised,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,"Player Default: I've been to Diamond City, already. I need more. Please.","Look, kid, I'm tired now.  Maybe you bring me some chems later, the Sight will paint a clearer picture.",,InPain,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,,You can't walk away from your destiny! Diamond City is where you need to go.,,player has just walked away from you / Stern,010SurvivorSceneReward
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: That's incredible.,"I can see a bit of what was, and what will be. And even what is, right now.",,mystic / Surprised,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,SharedInfo,,,"And right now I can see there's something coming. Drawn by the noise, and the chaos.",,"mystic, dire warning / Surprised",008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,SharedInfo,,,And it is... angry.,"Player Default: Whatever it is, I'll stop it.","mystic, dire warning / Stern",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: Oh boy. That's it. I'm out of here.,All right. I sometimes forget that folks ain't used to weird things like the Sight. You go on.,"Player Default: Whatever it is, I'll stop it.",Apologetic,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"PrestonGarveyAlias: No! Mama Murphy, we talked about this. That junk... it's gonna kill you...","Oh shush, Preston. We're all gonna die eventually. We're gonna need the Sight. And our new friend here, he's gonna need it too.",,Stern,011SurvivorLobbyScene2
Scene,SceneDialogue,Custom,,,Now let's get goin'. Sanctuary awaits.,"PrestonGarveyAlias: Alright folks. Thanks to our friend here, it's safe to move out.",Confident,011SurvivorLobbyScene2
Scene,SceneDialogue,Custom,,"PrestonGarveyAlias: No! Mama Murphy, we talked about this. That junk... it's gonna kill you...","Oh shush, Preston. We're all gonna die eventually. We're gonna need the Sight. And our new friend here, she's gonna need it too.",,Stern,011SurvivorLobbyScene2
Scene,SceneDialogue,Custom,,,Now let's get goin'. Sanctuary awaits.,"PrestonGarveyAlias: Alright folks. Thanks to our friend here, it's safe to move out.",Confident,011SurvivorLobbyScene2
Scene,SceneDialogue,Custom,,"Player Default: All right, Garvey. I'm in.","Oh, that's wonderful. But there's more to your destiny, isn't there? I've seen it. And I know your pain.","Player Default: Please, tell me. I need to know.",mystical and empathetic / Happy,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,Player Default: I got my own problems.,"Well that much is true. Cause I've seen your destiny, and I know your pain.","Player Default: Please, tell me. I need to know.",mystical and empathetic / Concerned,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Before you leave, kid. A word. About the journey you're about to start on. 'Cause I've seen your destiny, and I know your pain.","Player Default: Please, tell me. I need to know.",mystical and empathetic / Concerned,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,PrestonGarveyAlias: Why don't you come with us? I could really use your help.,You'd need to stay strong. Like you been. Cause there's more to your destiny. I've seen it. And I know your pain.,"Player Default: Please, tell me. I need to know.",mystical and empathetic / Concerned,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,PrestonGarveyAlias: I just saw you go toe-to-toe with a twenty foot tall irradiated lizard. You telling me you can't keep an open mind after that?,"It's all right, Preston. Not everyone understands the Sight. But I don't need you to believe, I just need you to listen...",MamaMurphy: You're a man out of time. Out of hope. But all's not lost. I can feel... your son's energy. He's alive.,Apologetic,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,"MamaMurphy: It's all right, Preston. Not everyone understands the Sight. But I don't need you to believe, I just need you to listen...",You're a man out of time. Out of hope. But all's not lost. I can feel... your son's energy. He's alive.,"Player Default: I knew it! Please, tell me where he is. I need to find my son.",mystical / Concerned,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,"MamaMurphy: It's all right, Preston. Not everyone understands the Sight. But I don't need you to believe, I just need you to listen...",You're a woman out of time. Out of hope. But all's not lost. I can feel... your son's energy. He's alive.,"Player Default: I knew it! Please, tell me where he is. I need to find my son.",mystical / Concerned,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,"Player Default: I knew it! Please, tell me where he is. I need to find my son.",I... can't see him. Not clearly. But I feel his life force. He's out there.,MamaMurphy: And even I don't need the Sight to tell you where you should start lookin'.,InPain,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,Player Default: Bullshit! You're trying to play me for a fool.,"Aw. No, kid. No. The Sight's sometimes foggy, but it ain't ever a liar. Your son's out there.",MamaMurphy: And even I don't need the Sight to tell you where you should start lookin'.,Sad,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,Player Default: I'm listening.,"Look, kid, I know how I sound. The Sight, it's weird. And it ain't always clear. But your son's out there.",MamaMurphy: And even I don't need the Sight to tell you where you should start lookin'.,Concerned,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,Player Default: Where is my son? Where is Shaun?,"Oh, I wish I knew, kid. I really do. But it's not like I can see your son. I can just... feel his life force, his energy. He's out there.",MamaMurphy: And even I don't need the Sight to tell you where you should start lookin'.,Apologetic,010SurvivorSceneReward
Scene,SceneDialogue,Custom,,,"Careful, kid. There somethin' comin'. And it is... angry.",,dire prophetic warning / Nervous,007MurphyWarning
Scene,SceneDialogue,Custom,,"PrestonGarveyAlias: Take it easy, Mama. You okay?","I'm fine, Preston. Quit fussin'.",,"re-record: annoyed a bit, but still grandmotherly / Amused",009SurvivorLobbyScene
Scene,SceneDialogue,Custom,,"Player Default: Just trying to do what's right, ma'am.","Oh, I like you. You're just what this Commonwealth needs. And I hope your heart stays true. 'Cause you're gonna walk a long, hard road. I saw it.","Player Default: Please, tell me what you know.","emphasize ""I saw it"" as if you had seen it in a vision / Happy",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"Player Default: Just trying to do what's right, ma'am.","Oh, indeed. Dogmeat's good at finding folks who need him, and he'll stick by you now. I saw it.","Player Default: Please, tell me what you know.","emphasize ""I saw it"" as if you had seen it in a vision / Happy",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: Heroism's for kids and suckers.,"Hmph. Maybe. But pickles like this? You're gonna find yourself in plenty of 'em. Lots of chances to play hero. Or not. Oh, it's true. I saw it.","Player Default: Please, tell me what you know.",Puzzled,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: Heroism's for kids and suckers.,"Is that so? Well, you still alive, ain't ya?",,Puzzled,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,You better get used to that dog. 'Cause he's decided to stick by ya. I saw it.,"Player Default: Please, tell me what you know.","emphasize ""I saw it"" as if you had seen it in a vision / Stern",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: It's no big deal.,"Now kid. That's nonsense and we both know it. Affecting people's lives is always a ""big deal."" And you're gonna be doing a lot of it. I saw it.","Player Default: Please, tell me what you know.",Stern,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: It's no big deal.,He led you to us cause he knew we needed your help. Dogmeat's thoughtful like that.,,Friendly,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,And now he's gonna stick by you. I saw it.,"Player Default: Please, tell me what you know.","emphasize ""I saw it"" as if you had seen it in a vision / Friendly",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: What's your story?,Me? Oh that's simple: lead these here people to a land of safety and sanctuary. Now your tale... That's a winding one. Oh yes. It's true. I saw it.,"Player Default: Please, tell me what you know.","emphasize ""I saw it"" as if you had seen it in a vision / Puzzled",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: What's your story?,"Oh he ain't my dog. No sir. Dogmeat, he's what you'd call his own man.",,Apologetic,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,"You can't own a free spirit like that. But he chooses his friends, and sticks with 'em. He'll stay by you now. I saw it.","Player Default: Please, tell me what you know.","emphasize ""I saw it"" as if you had seen it in a vision / Concerned",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"Player Default: Please, tell me what you know.","Just listen to me, actin' the crazy old lady. It's the chems, you see. They give ole Mama Murphy the ""Sight."" Been that way since I was a girl.",Player Default: That's incredible.,"emphasize ""the Sight"" - it's powerful and mystical / Happy",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: Great. You're completely nuts.,"Ha! From where you're standing, I would seem crazy. My gift is pretty nuts, that's for sure. But it's the chems, kid. They give me the ""Sight.""",Player Default: That's incredible.,"emphasize ""the Sight"" - it's powerful and mystical / Happy",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: Visions. Uh huh.,"Oh, I know what you're thinkin'. This old lady, she's out of her mind. But it's the chems. They give ole Mama Murphy the ""Sight.""",Player Default: That's incredible.,"emphasize ""the Sight"" - it's powerful and mystical / Surprised",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"Player Default: You ""saw it""?","It's the chems, kid. They give ole Mama Murphy the ""Sight."" Been that way for as long as I can remember.",Player Default: That's incredible.,"emphasize ""the Sight"" - it's powerful and mystical / Friendly",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"Player Default: Whatever it is, I'll stop it.","Oh, I wish I could help you, kid. But the Sight ain't always clear. I'll... keep concentrating.",,Apologetic,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,"Now, if I ain't mistaken', you've got a job to do...",,Concerned,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: So we're doomed.,"Don't be givin' up just yet, kid. The Sight ain't always clear. There may be a way through this yet.",,Concerned,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,"But anyway, the two of us been jawwin' long enough. You've got a job to do...",,Confident,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,Player Default: Okay. Something big's coming.,I know it's a lot to take in. And I wish I could tell you more. But the Sight ain't always clear.,,Concerned,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,"Now, if I ain't mistaken', you've got a job to do...",,Confident,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"Player Default: What is it? Mama Murphy, I need more. Please.","I see... I see... Oh, it's horrible, kid. Claws and teeth and horns. The very face of death itself.",,"mystic, sensing the future / InPain",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,That's all I can manage. That's all. I need to rest now. And you have a job to do...,,"recovering from exhaustion, then back to being okay / Tired",008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,"Player Default: What is it? Mama Murphy, I need more. Please.","I'm sorry, kid, but I just don't know. The Sight ain't always clear. But believe me when I tell you it ain't a Raider.",,Sad,008MuseumMurphyTalk1
Scene,SceneDialogue,Custom,,,"Ah, but I'm tired, now. And if I ain't mistaken', you've got a job to do...",,Concerned,008MuseumMurphyTalk1
Combat,Combat,Hit,,,"Easy, child. Easy!",,friend just shot you,
Miscellaneous,Miscellaneous,Greeting,,,Well look here. Our rescuer. And my hero.,"Player Default: Just trying to do what's right, ma'am.",player just killed all the Raiders that were laying siege to the museum / Friendly,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,Greeting,,,"You a hero, boy. Comin' here, helpin' us.","Player Default: Just trying to do what's right, ma'am.",player just killed all the Raiders that were laying siege to the museum / Friendly,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,Greeting,,,"You a hero, girl. Comin' here, helpin' us.","Player Default: Just trying to do what's right, ma'am.",player just killed all the Raiders that were laying siege to the museum / Friendly,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,Greeting,,,Hail the conquering hero. He he he he.,"Player Default: Just trying to do what's right, ma'am.",player just killed all the Raiders that were laying siege to the museum / Happy,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,Greeting,,,Now look who Dogmeat brought to us.,"Player Default: Just trying to do what's right, ma'am.",Dogmeat lead the Player here to help you / Friendly,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,Greeting,,,"You're not what I expected Dogmeat would find in that little neighborhood. But oh, so much better.","Player Default: Just trying to do what's right, ma'am.",Dogmeat lead the Player here to help you / Friendly,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,Greeting,,,Dogmeat sure did find us some help. Just look at ya.,"Player Default: Just trying to do what's right, ma'am.",Dogmeat lead the Player here to help you / Friendly,008MuseumMurphyTalk1
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Take your time, kid. I ain't goin' nowhere.",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Your response time seems a bit impaired. Maybe you on the chems, too? He he.",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Go on. Speak up.,,"patient, grandmotherly",
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Nothing embarrassing you can say around me. I've heard it all.,,"patient, grandmotherly",
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Could you say that a little louder?,,"patient, grandmotherly",
Miscellaneous,Miscellaneous,Hello,,,"Diamond City is the next step on your road. Beyond that, the Sight ain't clear.",,You just prophecized where the player should go next after he saved your lives,
Miscellaneous,Miscellaneous,Hello,,,"I'm sorry I can't tell you more, but the Sight's so foggy right now.",,You just prophecized where the player should go next after he saved your lives,
Miscellaneous,Miscellaneous,Hello,,,"Tired, kid. And we got a walk ahead of us. Perhaps the Sight will show me more later.",,You just prophecized where the player should go next after he saved your lives,
Miscellaneous,Miscellaneous,Hello,,,"Oh, we'll have no problem getting' where we're headed, now. Sanctuary. That's our new home. I saw it.",,Player just saved your lives and you're getting ready to head out,
Miscellaneous,Miscellaneous,Hello,,,Next stop - Sanctuary. He he he.,,Player just saved your lives and you're getting ready to head out,
Miscellaneous,Miscellaneous,Hello,,,It's comin'. Here soon.,,you just prophecized that something dangerous is on its way,
Miscellaneous,Miscellaneous,Hello,,,"Oh, it's on its way. And it's angry.",,you just prophecized that something dangerous is on its way,
Miscellaneous,Miscellaneous,Hello,,,"Tired now, son. The Sight takes the vim right outta me.",,you just prophecized that something dangerous is on its way,
Miscellaneous,Miscellaneous,Hello,,,"Tired now, kid. The Sight takes the vim right outta me.",,you just prophecized that something dangerous is on its way,
Miscellaneous,Miscellaneous,Hello,,,Jet with a Psycho chaser. Hmm hmmm.,,,
Miscellaneous,Miscellaneous,Hello,,,Ain't nothin' wrong with a bit o' kick. Don't let nobody tell you otherwise.,,,
Miscellaneous,Miscellaneous,Hello,,,Now where did I put those Mentats...,,,
Scene,SceneDialogue,Custom,,"Sturges: Sure thing, Preston. Just give a shout if you run into any trouble.",I just want to find a place to sit down for a minute. My feet are killing me.,,Tired,Min01ConcordTravel02
Scene,SceneDialogue,Custom,,"Preston: Careful here, Mama Murphy. Watch your step on this bridge.","I'm fine, Preston. Quit fussin'.","Preston: Okay, okay. Don't get yourself all riled up.",Irritated,Min01ConcordTravelBridge
Scene,SceneDialogue,Custom,,"Preston: You know what, Mama Murphy? You were right all along.","Course I was. The Sight isn't always clear, but it's never wrong.",Preston: Hmm. No sign of raiders. That's a good start.,Amused,Min01ConcordTravelSanctuaryEntrance
Miscellaneous,Miscellaneous,Hello,,,Get going. Diamond City is where you need to head.,,"player just rescued you, and you're heading to Sanctuary / Friendly",
Miscellaneous,Miscellaneous,Hello,,,"The help you need is in Diamond City, child.",,"player just rescued you, and you're heading to Sanctuary / Friendly",
Miscellaneous,Miscellaneous,Hello,,,I'm sure Preston can handle anything we find until we reach Sanctuary.,,"player just rescued you, and you're heading to Sanctuary / Confident",
Scene,SceneDialogue,Custom,,Player Default: Yeah. Here you go.,"Oooh... It just makes everything feel good, don't it? I'm starting to see clearly...","MamaMurphy: Diamond City holds answers, but they're locked tight. You ask them what they know, but people's hearts are chained up with fear and suspicion.","feeling the high, about to use the Sight / Happy",MQ00MamaMurphy_SightMedX
Scene,SceneDialogue,Custom,,Player Default: Yeah. Here you go.,You know where I'll be.,,player says he'll go look for Med-X,MQ00MamaMurphy_SightMedX
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: No. You're an addict. You need help.,"Oh not this again. Kid. Listen to me. I'm old. Even older than you'd think. If the chems are gonna kill me, then I say I've had a good run.",,player is trying to get you to stop using chems / Irritated,MQ00MamaMurphy_SightMedX
Miscellaneous,Miscellaneous,SharedInfo,,,We'd have never made it this far without the Sight. We need it. You need it. It's part of who I am.,"Player Default: The Sight isn't worth killing yourself over, Mama Murphy. It doesn't have to define what you are, or what you can give.",,MQ00MamaMurphy_SightMedX
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: No. You're an addict. You need help.,Bringing this back up? I thought I told you. We need the Sight. And the Sight needs the chems.,"Player Default: The Sight isn't worth killing yourself over, Mama Murphy. It doesn't have to define what you are, or what you can give.",player is asking you again to get clean / Stern,MQ00MamaMurphy_SightMedX
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: No. You're an addict. You need help.,"I'm done talking about this for now, kid, you hear me?",,player is asking you to get clean / Irritated,MQ00MamaMurphy_SightMedX
Scene,SceneDialogue,Custom,,Player Default: Maybe some other time.,It's always here if you need it.,,referring to the Sight,MQ00MamaMurphy_SightMedX
Scene,SceneDialogue,Custom,,Player Default: Why Med-X?,It's what the Sight wants. Med-X is a painkiller. Strips away a lot of feeling and let's you float out into the mystery of it all.,Player Default: Yeah. Here you go.,,MQ00MamaMurphy_SightMedX
Scene,SceneDialogue,Custom,,Player Default: Here. Go easy.,*cough* Wow. Forgot how strong that stuff is. Whew. Okay... here it comes...,"MamaMurphy: Diamond City holds answers, but they're locked tight. You ask them what they know, but people's hearts are chained up with fear and suspicion.","feeling the high, about to use the Sight",MQ00MamaMurphy_SightBuffout
Scene,SceneDialogue,Custom,,Player Default: Here. Go easy.,Just let me know.,,player says he'll go look for Buffout,MQ00MamaMurphy_SightBuffout
Scene,SceneDialogue,Custom,,"Player Default: Not right now, Mama Murphy.","Anytime you need it, kid. Up to you.",,referring to the Sight,MQ00MamaMurphy_SightBuffout
Scene,SceneDialogue,Custom,,Player Default: Buffout now?,Surprised a frail thing like me wants a muscle chem? What if I told you I used to pack a pair of arms thicker than both your fists put together?,,"might be lying, might not be",MQ00MamaMurphy_SightBuffout
Scene,SceneDialogue,Custom,,,"Ripped a Raider's head clean off once, I'll tell you. He he he. Buffout doesn't do much for me now, except help the Sight do its thing.",Player Default: Here. Go easy.,,MQ00MamaMurphy_SightBuffout
Scene,SceneDialogue,Custom,,Player Default: I've got it.,Oh lord... That's pure... Gonna be an interesting trip...,"MamaMurphy: Diamond City holds answers, but they're locked tight. You ask them what they know, but people's hearts are chained up with fear and suspicion.","feeling the high, about to use the Sight",MQ00MamaMurphy_SightPsycho
Scene,SceneDialogue,Custom,,Player Default: I've got it.,You know I'll be here.,,player says he'll go look for Psycho,MQ00MamaMurphy_SightPsycho
Scene,SceneDialogue,Custom,,Player Default: Maybe we should do this later.,"If you think so, kid.",,,MQ00MamaMurphy_SightPsycho
Scene,SceneDialogue,Custom,,Player Default: Psycho? Is that safe?,"No. But don't worry. *cough* Old Mama Murphy can handle a little pre-war, military-grade combat stim.",Player Default: I've got it.,a little bravado / Confident,MQ00MamaMurphy_SightPsycho
Scene,SceneDialogue,Custom,,Player Default: Here you go.,"Ah, that's it. I can feel the Sight opening up...","MamaMurphy: Diamond City holds answers, but they're locked tight. You ask them what they know, but people's hearts are chained up with fear and suspicion.",feeling the high,MQ00MamaMurphy_SightMentats
Scene,SceneDialogue,Custom,,Player Default: Here you go.,I'll be waiting.,,player says he'll go look for Mentats,MQ00MamaMurphy_SightMentats
Scene,SceneDialogue,Custom,,Player Default: Maybe later.,It's always here if you need it.,,referring to the Sight,MQ00MamaMurphy_SightMentats
Scene,SceneDialogue,Custom,,Player Default: So it's Mentats this time?,They're good. More of a chem for scientists and tech types. But who's to say ole' Mama Murphy ain't a closet genius? He he he.,Player Default: Here you go.,,MQ00MamaMurphy_SightMentats
Scene,SceneDialogue,Custom,,Player Default: Sure. Be glad to help.,Thank you.,,Happy,MQ00MamaMurphy_Chair
Scene,SceneDialogue,Custom,,Player Default: Really don't have time.,"Ah, that's okay. But I can't really concentrate enough these days unless I'm comfortable. So if you need the Sight again, I'm gonna need that chair.",,Depressed,MQ00MamaMurphy_Chair
Scene,SceneDialogue,Custom,,Player Default: Really don't have time.,"All right, kid. I know you're busy.",,,MQ00MamaMurphy_Chair
Scene,SceneDialogue,Custom,,Player Default: We'll see.,"Don't need the Sight to know that's a ""maybe."" Take your time. I'll be able to help you more once I can sit down.",,,MQ00MamaMurphy_Chair
Scene,SceneDialogue,Custom,,Player Default: Can't you just use any chair?,"The Sight's been real exhausting lately. Got aches and pains, even when I'm lying down.",,Depressed,MQ00MamaMurphy_Chair
Scene,SceneDialogue,Custom,,,"I know it's odd asking for a fitted chair in this day and age, but it'd really help me out, kid.",Player Default: Sure. Be glad to help.,Depressed,MQ00MamaMurphy_Chair
