CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Don't try anything funny. You've been warned.,GuardManny: Blythe. Hey Blythe!,"Firm, menacing",MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,GuardManny: Don't try anything funny. You've been warned.,Blythe. Hey Blythe!,HonestDan: Torture? They're sick. Just give me the signal.,Yelling over a noise - louder on the second attempt,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,"Blythe: Yes. What is it, Manny?",I thought you guys were done with Subject 12.,"Blythe: Oh, yes, the interview's over. I'm just reviewing the data on Question 4. Fascinating, really-",Annoyed (at the noise),MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,"Blythe: Oh, yes, the interview's over. I'm just reviewing the data on Question 4. Fascinating, really-","Yeah, I'm sure.",Blythe: Certainly.,Cutting the over-eager scientist off,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,Blythe: Certainly.,Hey.,BridgeGuard: What is it?,"Yelled, Getting Bridge Guard's attention",MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,GuardManny: Hey.,What is it?,GuardManny: Extend the platform.,Annoyed,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,BridgeGuard: What is it?,Extend the platform.,BridgeGuard: We're not expecting anyone.,"Raised volume, talking with someone 15' away - Barking an order",MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,GuardManny: Extend the platform.,We're not expecting anyone.,GuardManny: Showed up on our doorstep. What was I supposed to do?,Firm,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,BridgeGuard: We're not expecting anyone.,Showed up on our doorstep. What was I supposed to do?,"BridgeGuard: You know what you were supposed to do. This goes wrong, it's all on you.",Irritated at being second guessed,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,BridgeGuard: We're not expecting anyone.,Orden sent him.,"BridgeGuard: You know what you were supposed to do. This goes wrong, it's all on you.",Irritated at being second guessed,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,BridgeGuard: We're not expecting anyone.,Orden sent her.,"BridgeGuard: You know what you were supposed to do. This goes wrong, it's all on you.",,MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,GuardManny: Showed up on our doorstep. What was I supposed to do?,"You know what you were supposed to do. This goes wrong, it's all on you.",,"Some disdain for Orden. Emphasize ""your"".",MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,GuardManny: Showed up on our doorstep. What was I supposed to do?,"Orden? If this goes wrong, it's on your head.",,"Some disdain for Orden. Emphasize ""your"".",MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,,"Compound to BF, Compound to BF. Remaining Stockton loose ends tied up. Requesting update on version 11.3.",,Pure military,MS17_212_Radio
Scene,SceneDialogue,Custom,,NPCMManny: Hold it right there.,Just because Jacob vouched for you doesn't mean you can enter the Compound. Why should I let you in?,Player Default: I just want to talk with whoever's in charge here. I'm sure we can come to an arrangement.,Poker face,MS17_310b_CompoundExpected
