CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Mark: I'm getting too old for this job.,"Mark, you were too old for it a decade ago.",,said with a smile. friendly teasing. / Concerned,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,,I keep telling you we need to get some help. Younger help.,Mark: They don't just grow on trees you know.,Concerned,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,Mark: Nobody in the Vault wants to help run this place.,"Patience, old man. We'll find someone.",,said with a smile. friendly teasing. / Amused,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,,I still think Austin might want it when he grows up. The boy certainly eats enough.,,Amused,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,,We're almost out of fresh vegetables.,,Concerned,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,,Remind me to drop by Priscilla's lab and pick some up.,Mark: Prissy told me only the turnips are ripe. And nobody likes turnips. Not even Austin.,Matter of fact. / Neutral,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,Mark: Prissy told me only the turnips are ripe. And nobody likes turnips. Not even Austin.,"Well, they'll just have to make do. And stop calling her Prissy. I think she prefers Dr. Penske to that anyday.",,Irritated at the situation.  / Irritated,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,,"Besides, I don't want to listen to Jacob complain again.",Mark: Aw you know she loves it. Makes her feel young.,Irritated at the situation. / Irritated,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,"MarkSummerset: You whippin' up a new batch of pies today? I heard Alexis promise one to Erin, and I know how you hate to disappoint the little ones.",Markus William Summerset. Don't you go on thinking you're so clever.,MariaSummerset: Those pies are going to be for Calvin and his crew. Lord knows they could use a treat right now.,Amused at her husband trying to be sly. Giving him the full name treatment. / Amused,Vault81SunshineDinerIntro
Scene,SceneDialogue,Custom,,MariaSummerset: Markus William Summerset. Don't you go on thinking you're so clever.,Those pies are going to be for Calvin and his crew. Lord knows they could use a treat right now.,"MarkSummerset: Hey, you try telling that to Erin and breaking a little girl's heart. I didn't realize my wife was so cold blooded.",Matter of fact. / Friendly,Vault81SunshineDinerIntro
Scene,SceneDialogue,Custom,,"MarkSummerset: Hey, you try telling that to Erin and breaking a little girl's heart. I didn't realize my wife was so cold blooded.","Mark, I swear. Over forty years of marriage, you need to count your blessings you're still alive.",,Joking with her husband. / Amused,Vault81SunshineDinerIntro
Scene,SceneDialogue,Custom,,"Player Default: Why thank you. Mark and I try to keep her tidy. The Sunshine Diner, we call her.","If you need any food for the road, or just feeling hungry, you let me know.",,Friendly / Friendly,Vault81MariaGreet
Scene,SceneDialogue,Custom,,,"Our menu isn't quite as... exotic as the Commonwealth, but it'll do in a pinch.",Player Default: Let's see what you've got.,Friendly / Friendly,Vault81MariaGreet
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,I never get anything done on an empty stomach.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,I wish I could say it was all home made.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Something's bound to sound good.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Take your time.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Selection isn't what it used to be, but I still got a few good things.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Not today.,"That's all right, honey. If you're hungry later, stop by.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Not today.,"Suite yourself, but if you're hungry later, you can't say I didn't try.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Not today.,"Alright. Maybe I'll see you later, then.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Not today.,"If you say so. Take care now, dear.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Not today.,"Ok, but I don't want to catch you wasting away.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Hopefully, I'll see you soon.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Alright, just don't spoil your appetite.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Sure, honey, take your time.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Still working up an appetite, I see.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Sunshine Diner will still be here when you're ready.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Do you run this place by yourself?,"Heavens no, I'd be a wreck. My husband, Mark. He helps me, though mostly with the tasting.",Player Default: Let's see what you've got.,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Do you run this place by yourself?,"Sadly, yes. My husband, Mark... he used to help me, but he's... no longer with us.",Player Default: Let's see what you've got.,"Friendly, but sad, drifting off at the end / Neutral",Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Do you run this place by yourself?,It used to be easier. Back when I was young we had more supplies than we could count.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,,"Why, my mother taught me some recipes that had ingredients that... Well, I doubt you could find them anywhere anymore.",,Friendly. / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,,"Since we started trading, we manage well enough, but the variety... Let's just say it's more than a bit lacking.",Player Default: Let's see what you've got.,Matter of fact / Neutral,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Do you run this place by yourself?,Never... Can you imagine? Born and raised right here in Vault 81.,,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,,"It was easier back then, you know. Supplies were high and the dangers outside were both severe and unknown.",,Friendly / Friendly,Vault81MariaSell
Scene,SceneDialogue,Custom,,,Poor Gwen didn't know what she was getting into when she accepted the role of Overseer.,Player Default: Let's see what you've got.,Reflective / Neutral,Vault81MariaSell
Scene,SceneDialogue,Custom,,Player Default: Do you run this place by yourself?,"It weighs on her, I can tell. We need help from the Commonwealth, but a few people... They don't care for it.",,Friendly / Friendly,Vault81MariaSell
