CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,I'm getting too old for this job.,"Maria: Mark, you were too old for it a decade ago.",Tired,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,Maria: I keep telling you we need to get some help. Younger help.,They don't just grow on trees you know.,,Irritated,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,,Nobody in the Vault wants to help run this place.,"Maria: Patience, old man. We'll find someone.",disappointed / Depressed,Conv_Mark_Maria_01
Scene,SceneDialogue,Custom,,Maria: Remind me to drop by Priscilla's lab and pick some up.,Prissy told me only the turnips are ripe. And nobody likes turnips. Not even Austin.,"Maria: Well, they'll just have to make do. And stop calling her Prissy. I think she prefers Dr. Penske to that anyday.",Giving his wife a hard time / Amused,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,"Maria: Besides, I don't want to listen to Jacob complain again.",Aw you know she loves it. Makes her feel young.,,Amused with himself. / Amused,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,,And don't you worry about ol' Jake. I'll handle him.,,"Comforting, telling his wife not to worry. / Friendly",Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,,You just see if you can turn turnips into something people will eat.,,Amused at the challenge he gave his wife. / Amused,Conv_Mark_Maria_02
Scene,SceneDialogue,Custom,,,"You whippin' up a new batch of pies today? I heard Alexis promise one to Erin, and I know how you hate to disappoint the little ones.",MariaSummerset: Markus William Summerset. Don't you go on thinking you're so clever.,Talking to his wife. / Friendly,Vault81SunshineDinerIntro
Scene,SceneDialogue,Custom,,MariaSummerset: Those pies are going to be for Calvin and his crew. Lord knows they could use a treat right now.,"Hey, you try telling that to Erin and breaking a little girl's heart. I didn't realize my wife was so cold blooded.","MariaSummerset: Mark, I swear. Over forty years of marriage, you need to count your blessings you're still alive.",Joking around with his wife. / Amused,Vault81SunshineDinerIntro
Scene,SceneDialogue,Custom,,Player Default: I'm from Vault 111.,"I'll be damned. All my years and never, and I mean never have I met anyone from another Vault.",,Surprised / Surprised,Vault81MarkGreet
