CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,"Look, I know it's an open door, but it's like a... philosophically open door, okay? Get the hell out.",,guests always walk into your office because you leave the door open,
Miscellaneous,Miscellaneous,Hello,,,You want a room? Clair runs the desk. Give her something to do besides breathing down my neck.,,,
Miscellaneous,Miscellaneous,Hello,,,"What? You got an itch or somethin'? Talk to my associate, Fred Allen. Our selection ain't what it used to be, but the boy makes a decent chem.",,,
Miscellaneous,Miscellaneous,Hello,,,"Got a reason you're in my office? Look, I'm not mad, but my friend Stan over here. He's got a temper. Hates people who loiter.",,,
Miscellaneous,Miscellaneous,Hello,,,"I know I'm not exactly the most feared man in Goodneighbor nowadays, but would you just leave? Trying to work here.",,,
Miscellaneous,Miscellaneous,Hello,,,"Let me offer you some advice. You're always up until you're down in this neighborhood. You feel big now? One day, you won't.",,,
Scene,SceneDialogue,Custom,,Marowski: Finally! Payback is sweet.,Now get back out there and finish the job.,,SinisterSmile,MS13FindPhotoMarowskiCollectReward
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Take a look.,"Holy fucking shit. Pembroke, Cooke and Latimer. Those fucking assholes!",,Disbelief,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,SharedInfo,,,"And all this time, Cooke was laughing at me behind my back...","Marowski: Well, there's some satisfaction in me being the last one standing.",Angry,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: I changed my mind.,They get dumber every year.,Marowski: Quit stalling and give me the picture before I lose my temper.,Disgust,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: I changed my mind.,Then what the hell are we talking about?,Marowski: Quit stalling and give me the picture before I lose my temper.,Disgust,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,"Player Default: I just remembered, I don't have the photo on me. I'll bring it to you later.","We'll see about that, asshole.",Marowski: Quit stalling and give me the picture before I lose my temper.,Angry,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,"Player Default: I just remembered, I don't have the photo on me. I'll bring it to you later.",Then get the fuck out of here.,Marowski: Quit stalling and give me the picture before I lose my temper.,Disgust,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Why is this such a big deal to you?,Because whoever did this ruined my life. I was on my way to running this whole town.,,Angry,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,SharedInfo,,,Bobbi took advantage of my situation to muscle in on my operations.,,Disgust,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,SharedInfo,,,"Now look at me. Stuck in this shithole, having to pay Bobbi a cut of whatever I can scrape together.",Marowski: Quit stalling and give me the picture before I lose my temper.,Disgust,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Sure.,Good. And go ahead and make it as messy as you want.,,SinisterSmile,MS13FindPhotoMarowskiOfferJob
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: No, we're done.",Whatever you want. You earned the first shot at it.,,Neutral,MS13FindPhotoMarowskiOfferJob
Scene,SceneDialogue,Custom,,,"Well, there's some satisfaction in me being the last one standing.",Marowski: Here's your reward. Worth every cap. I've been waiting for this day for a very long time.,SinisterSmile,MS13FindPhotoMarowskiSawPhoto
Scene,SceneDialogue,Custom,,,I guess Latimer got his already.,Marowski: Here's your reward. Worth every cap. I've been waiting for this day for a very long time.,SinisterSmile,MS13FindPhotoMarowskiSawPhoto
Scene,SceneDialogue,Custom,,,I guess Cooke got his already.,Marowski: Here's your reward. Worth every cap. I've been waiting for this day for a very long time.,SinisterSmile,MS13FindPhotoMarowskiSawPhoto
Scene,SceneDialogue,Custom,,"Marowski: Well, there's some satisfaction in me being the last one standing.",Here's your reward. Worth every cap. I've been waiting for this day for a very long time.,,SinisterSmile,MS13FindPhotoMarowskiSawPhoto
Scene,SceneDialogue,Custom,,NPCMMarowski: One more thing.,"If you're looking to make some more off of this thing, there's now some payback to deal out. Interested?",Player Default: Sure.,Somber,MS13FindPhotoMarowskiOfferJob
Scene,SceneDialogue,Custom,,,The making people dead kind of payback. And the pay is 300 caps each for Cooke and Latimer.,"Player Default: Yeah, I'll do it.",SinisterSmile,MS13FindPhotoMarowskiHirePlayer
Scene,SceneDialogue,Custom,,,The making people dead kind of payback. And the pay is 300 caps.,"Player Default: Yeah, I'll do it.",SinisterSmile,MS13FindPhotoMarowskiHirePlayer
Scene,SceneDialogue,Custom,,Player Default: I'll do it for 400 each.,Deal. And go ahead and make it as messy as you want.,,SinisterSmile,MS13FindPhotoMarowskiHirePlayer
Scene,SceneDialogue,Custom,,Player Default: I'll do it for 400 each.,"300 per hit is the going rate. Come on, it's a good deal.","Player Default: Yeah, I'll do it.",Friendly,MS13FindPhotoMarowskiHirePlayer
Scene,SceneDialogue,Custom,,Player Default: They get dumber every year.,Quit stalling and give me the picture before I lose my temper.,Player Default: Take a look.,Irritated,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,,So you really are that special kind of asshole.,,Angry,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: You owe me some caps, Marowski. Cooke and Latimer are dead.",Finally! Payback is sweet.,Marowski: Now get back out there and finish the job.,SinisterSmile,MS13FindPhotoMarowskiCollectReward
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: You owe me some caps, Marowski. Cooke and Latimer are dead.","That's what I like to hear. Damn long time coming, but I got the last laugh.",Marowski: Now get back out there and finish the job.,SinisterSmile,MS13FindPhotoMarowskiCollectReward
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: What if I told you I had a photograph of the guys that knocked over your chem warehouse 20 years ago?,"What? What?! Yeah, you better let me see that.",Player Default: Take a look.,eagerly / Pleading,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Never mind then.,"This is what I deal with, day and night.",Player Default: Take a look.,Disgust,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,"Player Default: Hey, did you ever catch the guys that stole all those chems from you 20 years ago?",Are you jerking my chain? Everybody knows I never caught those guys. But don't think I've given up. I won't ever give up.,,grimly / Stern,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,,Why? You know something about that?,Player Default: Yeah. I have an old photograph of the three guys who did it.,suspiciously / Suspicious,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: Hey Marowski. I have something you might want, if the price is right.",You better not be wasting my time.,Player Default: What if I told you I had a photograph of the guys that knocked over your chem warehouse 20 years ago?,Irritated,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: Yeah. I have an old photograph of the three guys who did it.,The hell you do. Let me see it!,Player Default: Take a look.,Disbelief,MS13FindPhotoMarowskiQuestionA
Scene,SceneDialogue,Custom,,"Player Default: No, just curious.",Well then stop wasting my time. For fuck's sake.,,Disgust,MS13FindPhotoMarowskiQuestionA
Scene,SceneDialogue,Custom,,"Player Default: Maybe. I have a photograph that I might sell you, if the price was right.",Let me see this photo and I'll tell you what I'll pay for it.,Player Default: Take a look.,smoothly / Friendly,MS13FindPhotoMarowskiQuestionA
Scene,SceneDialogue,Custom,,Player Default: What would it be worth to you if I did?,That depends on what you know. And if you can prove it or not.,,Disgust,MS13FindPhotoMarowskiQuestionA
Scene,SceneDialogue,Custom,,,Quit stalling. Do you know something or not?,Player Default: Yeah. I have an old photograph of the three guys who did it.,Stern,MS13FindPhotoMarowskiQuestionA
Scene,SceneDialogue,Custom,,Player Default: Not until we agree on a price.,"Fine. 500 caps, if this is what you say it is.",Player Default: Take a look.,Irritated,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: Not until we agree on a price.,"No. I've had too many jokers trying to sell me ""information"" for too many years. I see it first or no deal.",Player Default: Take a look.,Disgust,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: You don't see the photo until I get paid.,"Sure, whatever. Here's your 500 caps. Now let me see that picture.",Player Default: Take a look.,Disgust,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: You don't see the photo until I get paid.,"No fucking way. That's not how I do business. You show me the photo, then I pay you if it's worth anything at all.",Player Default: Take a look.,Disgust,MS13FindPhotoMarowski
Scene,SceneDialogue,Custom,,Player Default: Why would you pay me after you'd seen the photo?,"If this is what you say it is, I'll be happy to pay you. But I gotta see it first.",Player Default: Take a look.,Friendly,MS13FindPhotoMarowski
Miscellaneous,Miscellaneous,Greeting,,,"So what about that, uh, little job I offered you?","Player Default: Yeah, I'll do it.",SinisterSmile,MS13FindPhotoMarowskiHirePlayer
Miscellaneous,Miscellaneous,Greeting,,,One more thing.,"Marowski: If you're looking to make some more off of this thing, there's now some payback to deal out. Interested?",,MS13FindPhotoMarowskiOfferJob
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Hurry it up.,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,I ain't got all day.,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You're wasting my time here.,,,
Miscellaneous,Miscellaneous,SharedInfo,,,"You've got a week to come up with 2000 caps. After that, no more Mr. Nice Guy.","Marowski: Stan, my friend here was just leaving.",Disgust,MS13MarowskiRevengeStanEscortOut
Scene,SceneDialogue,Custom,,Player Default: Never mind.,You're wasting my time. What about my money?,"Marowski: As far as I'm concerned, this covers all your sins. But just this once, you understand.",Irritated,MS13MarowskiRevengePhoto
Scene,SceneDialogue,Custom,,Player Default: I'll let you know if I find anything out.,You do that. Now what about my money?,"Marowski: As far as I'm concerned, this covers all your sins. But just this once, you understand.",Irritated,MS13MarowskiRevengePhoto
Scene,SceneDialogue,Custom,,"Player Default: And all this time, Cooke was laughing at me behind my back...","As far as I'm concerned, this covers all your sins. But just this once, you understand.",,Stern,MS13MarowskiRevengePhoto
Scene,SceneDialogue,Custom,,"StanSlavin: You want I should kick his ass, boss?",Not yet. Let's see what he has to say for himself first.,,SinisterSmile,MS13MarowskiRevengeIntro
Scene,SceneDialogue,Custom,,"StanSlavin: You want I should kick her ass, boss?",Not yet. Let's see what she has to say for herself first.,,SinisterSmile,MS13MarowskiRevengeIntro
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Here's your money.,"This is a one-time thing, you understand. Don't cross me again.",,Stern,MS13MarowskiRevengePayment
Scene,SceneDialogue,Custom,,Player Default: Here's your money.,We got nothing to talk about then.,,Disgust,MS13MarowskiRevengePayment
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Never mind.,You're one of the dumbest assholes I've ever had to deal with. And that's saying a lot.,,Disgust,MS13MarowskiRevengePayment
Scene,SceneDialogue,Custom,,Player Default: Never mind.,"Clock's ticking, remember.",,Stern,MS13MarowskiRevengePayment
Scene,SceneDialogue,Custom,,Player Default: I just wanted to check if you were as fat and ugly as I remembered.,"Pretty soon it will be mine, like it or not.",,Angry,MS13MarowskiRevengePayment
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: What if I could tell you who knocked over your chem warehouse 20 years ago?,"If you really had that kind of information, I'd consider us square. I've been looking for those assholes forever.",Player Default: Take a look.,Thinking,MS13MarowskiRevengePayment
Scene,SceneDialogue,Custom,,Player Default: What if I could tell you who knocked over your chem warehouse 20 years ago?,"Fine. You've got a week starting now. That's my last favor for you, though.",,Stern,MS13MarowskiRevengePayment
Scene,SceneDialogue,Custom,,Player Default: What if I could tell you who knocked over your chem warehouse 20 years ago?,"You never stop, do you? I gave you a week. That's all you get.",,Disbelief,MS13MarowskiRevengePayment
Scene,SceneDialogue,Custom,,,Too late for that pal. I gave you a week. Price has gone back up to 2000. Take it or leave it.,Player Default: Here's your money.,Disgust,MS13MarowskiRevengePaymentTooLate
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I understand you wanted to see me.,You know exactly what this is about.,Marowski: You stole from me. But I'm giving you the benefit of the doubt. Maybe you didn't know who you were stealing from. It happens.,Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: Your goons said you wanted to talk to me.,Don't make me regret giving you a chance to make this right.,Marowski: You stole from me. But I'm giving you the benefit of the doubt. Maybe you didn't know who you were stealing from. It happens.,Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: I don't know what you're talking about.,The fuck you don't.,Marowski: You stole from me. But I'm giving you the benefit of the doubt. Maybe you didn't know who you were stealing from. It happens.,Disbelief,MS13MarowskiRevengeScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: You know exactly what this is about.,You stole from me. But I'm giving you the benefit of the doubt. Maybe you didn't know who you were stealing from. It happens.,,Angry,MS13MarowskiRevengeScene
Miscellaneous,Miscellaneous,SharedInfo,,,Now you do. Those were my chems you took when you ambushed Trish.,Player Default: I'm sorry. I didn't know those were your chems.,Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: I'm sorry. I didn't know those were your chems.,That's a good start.,"Marowski: Here's the deal. You pay me 2000 caps, and I'll forget this ever happened. Just this once.",Stern,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: I didn't steal your chems.,That's not what Trish says. And she has a little bit more credibility than you do. So I guess we're done here.,"Marowski: Stan, my friend here was just leaving.",Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: I didn't steal your chems.,"That's not what Nelson says. And, although he is a weaselly little shit, I still believe him over you.","Marowski: Stan, my friend here was just leaving.",Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: I didn't steal your chems.,Oh yeah? Then I guess we've got nothing else to talk about.,"Marowski: Stan, my friend here was just leaving.",Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,"Player Default: You win some, you lose some. That's business.",That's not how I do business.,"Marowski: Here's the deal. You pay me 2000 caps, and I'll forget this ever happened. Just this once.",Disgust,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: What makes you think I had anything to do with that?,"Here's a tip. When you steal from me, don't leave witnesses. Makes it real easy to figure out who did it.",Player Default: I'm sorry. I didn't know those were your chems.,Sarcastic,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,"Marowski: You've got a week to come up with 2000 caps. After that, no more Mr. Nice Guy.","Stan, my friend here was just leaving.",StanSlavin: You heard the boss. Let's go.,Stern,MS13MarowskiRevengeStanEscortOut
Scene,SceneDialogue,Custom,,Player Default: That's a good start.,"Here's the deal. You pay me 2000 caps, and I'll forget this ever happened. Just this once.","Player Default: You're a reasonable man, Marowski. Here's your money. No hard feelings, I hope.",Stern,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,"Player Default: You're a reasonable man, Marowski. Here's your money. No hard feelings, I hope.",You've got a week. Then no more Mr. Nice Guy.,,Stern,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: Not a chance.,Then we're done here.,"Marowski: Stan, my friend here was just leaving.",Angry,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: Be reasonable. That's way more than those chems were worth.,"You probably don't even have it, do you? I don't know why I'm doing this, but... fine. 1000 caps to square things. You've got a week.","Marowski: Stan, my friend here was just leaving.",Disgust,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: Be reasonable. That's way more than those chems were worth.,This is me being reasonable. 2000 caps. You've got a week.,"Marowski: Stan, my friend here was just leaving.",Disgust,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,Player Default: What if I could tell you who knocked over your chem warehouse 20 years ago?,There's one really easy way to find out. If you're that kind of stupid.,,SinisterSmile,MS13MarowskiRevengeScene
Scene,SceneDialogue,Custom,,,I'm getting very tired of looking at your ugly face. It's 2000 caps to square things. What'll it be?,"Player Default: You're a reasonable man, Marowski. Here's your money. No hard feelings, I hope.",Disgust,MS13MarowskiRevengeScene
Miscellaneous,Miscellaneous,Greeting,,,Too late. Your time's run out.,Player Default: Here's your money.,Angry,MS13MarowskiRevengePayment
Miscellaneous,Miscellaneous,Greeting,,,I hope you're here to pay up.,Player Default: Here's your money.,Suspicious,MS13MarowskiRevengePayment
Miscellaneous,Miscellaneous,Greeting,,,"I've got nothing else to say to you, unless you've changed your mind and are ready to make things right between us.",Player Default: I'm sorry. I didn't know those were your chems.,Disgust,MS13MarowskiRevengeScene
Miscellaneous,Miscellaneous,Greeting,,,Changed your mind? Ready to make it right for what you stole from me?,Player Default: I'm sorry. I didn't know those were your chems.,Suspicious,MS13MarowskiRevengeScene
Miscellaneous,Miscellaneous,Greeting,,,"You and me, we're not done.",Player Default: I understand you wanted to see me.,Angry,MS13MarowskiRevengeScene
Miscellaneous,Miscellaneous,Greeting,,,"Well, well. You've got a lot of nerve showing your face around here.","StanSlavin: You want I should kick his ass, boss?",Impressed,MS13MarowskiRevengeIntro
Miscellaneous,Miscellaneous,SharedInfo,,,Now we're getting somewhere.,,SinisterSmile,
Miscellaneous,Miscellaneous,SharedInfo,,,"I think you were either directly involved, or know who did it.",,Stern,
Scene,SceneDialogue,Custom,,,"Stan, why don't you go home? Maybe take some time with that girl you've been seeing. What's her name?","Stan: It don't matter anymore, Boss. She, uh, she asked me to stop comin' 'round.",,ConvGoodneighborHotelMarowskiStan01Scene
