CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,DLC04Gage: Colter's dead. We've got ourselves a new Overboss.,This guy? Are you sure Gage?,DLC04Nisha_TA: You better know what the hell you're doing.,Projected. Loudly complaining. / Suspicious,DLC04MQ01_800_GagePostFightAddress
Scene,SceneDialogue,Custom,,DLC04Gage: Colter's dead. We've got ourselves a new Overboss.,This girl? Are you sure Gage?,DLC04Nisha_TA: You better know what the hell you're doing.,Projected. Loudly complaining. / Suspicious,DLC04MQ01_800_GagePostFightAddress
Scene,SceneDialogue,Custom,,PackLeader: I want you to have this. Consider it a token of our mutual understanding - and respect.,One last thing before I let you go.,,Surprised,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,,There's always work to do around here keeping the Zoo in order.,,"""the zoo"" meaning all his responsibilities: animals, slaves, murder, etc. gang stuff / Amused",DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,,If you're ever able to lend a hand. Drop by.,,Friendly,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,,Loyalty's a two way street.,,Confident,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,Player Default: You got enough to worry about without a dominance struggle inside the Pack to deal with.,You know what? ...I think we're not so different me and you.,,going to make peace with someone who demonstrated they are equal to you / Thinking,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,,I want you to have this. Consider it a token of our mutual understanding - and respect.,PackLeader: One last thing before I let you go.,"emphasis on ""mutual"" - making it clear that you consider the other guy of equal not greater status / Friendly",DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,Player Default: No shit. We've all seen it worse.,"Sure, this place beats living in the shit holes we had out there. But it ain't the palace of caps we signed on for.",,on an angry soap box / Angry,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,,Ain't none of us happy - not even the Disciples. And they're normally a chipper bunch so long as they're drenched in blood.,,Puzzled,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,,"Things were going to hell fast, but Gage put the brakes on that. Got us together and promised he'd find someone to deal with Colter.",Player Default: You can trust me. I'll be a good leader.,Neutral,DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,Player Default: Things could be worse. Trust me. I've seen it.,No shit. We've all seen it worse.,"PackLeader: Sure, this place beats living in the shit holes we had out there. But it ain't the palace of caps we signed on for.","""no duh."" - ""seen it"" is repeated phrase from previous line for effect / Irritated",DLC04MQ02PackScene01
Scene,SceneDialogue,Custom,,Player Default: I think you're a bunch of ungrateful children.,"Careful there, boss.",,"irritated, but brushing off a rude remark / Irritated",DLC04MQ02PackScene01
