CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"I know that we've discussed this matter before, but I'm not sure I've made the extent of my concerns clear to you.",,"Professional, but concerned",InstituteHolotapeSynthSpouse
Scene,SceneDialogue,Custom,,,Many of us are increasingly uncomfortable with the idea of a synth living with Doctor Binet.,,"Professional, but concerned",InstituteHolotapeSynthSpouse
Scene,SceneDialogue,Custom,,,"Frankly, many of us believe Alan doesn't understand how inappropriate his relationship with the third-generation unit is.",Player Default: I hope you'll consider having a word with Doctor Binet.,"Professional, but concerned",InstituteHolotapeSynthSpouse
Scene,SceneDialogue,Custom,,NPCMMaxLoken: You've arrived at a momentous time.,"Our third-generation synths are a true breakthrough, the culmination of centuries of research.",,,DialogueInstituteMaxFirstGreeting
Scene,SceneDialogue,Custom,,,It's no exaggeration to say that they're superior in almost every way to human beings.,Player Default: What I've seen so far is pretty impressive.,,DialogueInstituteMaxFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: What I've seen so far is pretty impressive.,It's just the beginning.,"MaxLoken: Like I said, a momentous time.",,DialogueInstituteMaxFirstGreeting
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: No robot is superior to me.,"You might think so now, but just wait.",,,DialogueInstituteMaxFirstGreeting
Miscellaneous,Miscellaneous,SharedInfo,,,You've only seen a fraction of what our synths can do. Their potential is limitless.,"MaxLoken: Like I said, a momentous time.",,DialogueInstituteMaxFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: What makes them superior?,The list of improvements is exhaustive. I can talk for an hour and still not cover all of it.,,,DialogueInstituteMaxFirstGreeting
Scene,SceneDialogue,Custom,,,Imagine what you could accomplish if you could live without fear of hunger or disease.,,,DialogueInstituteMaxFirstGreeting
Scene,SceneDialogue,Custom,,,"Imagine what you could create if you could use every waking moment of your life as you saw fit, with no need of sleep?","MaxLoken: Like I said, a momentous time.",,DialogueInstituteMaxFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: It's just the beginning.,"Like I said, a momentous time.",,,DialogueInstituteMaxFirstGreeting
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Well I think it's interesting.,,"Emphasis on ""I"". Filling an awkward pause in the conversation... the player has stopped talking.",
Miscellaneous,Miscellaneous,Greeting,,,You've arrived at a momentous time.,"MaxLoken: Our third-generation synths are a true breakthrough, the culmination of centuries of research.","Profound, with great important",DialogueInstituteMaxFirstGreeting
Miscellaneous,Miscellaneous,Hello,,,"With our third-generation synths, we've improved upon humanity.",,"Proud, almost reverent",
Miscellaneous,Miscellaneous,Hello,,,"All our divisions are important, but I tend to think of Robotics as the first among equals.",,"Proud, with a hint of arrogance",
Miscellaneous,Miscellaneous,Hello,,,"The synths aren't just Father's legacy, they're his gift to humanity.",,Reverent,
