CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: He attacked me, but it's over now. Your residents are safe.","You did the right thing coming to me, Detective. I've alerted the staff and we shall converge on him. Quickly, let's go!",Receptionist: I only wish we had managed to catch him sooner. There must have been something we missed.,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,Player Default: I killed him. He had it coming.,"You did the right thing, Detective.",Receptionist: I only wish we had managed to catch him sooner. There must have been something we missed.,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,Player Default: He got away before I could catch him.,"I can't say the residents will be pleased that you let him get away, but I suppose there is nothing to be done about it. At least it's over.",Receptionist: I only wish we had managed to catch him sooner. There must have been something we missed.,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,Player Default: He got away before I could catch him.,"Well, bravo I suppose.",Receptionist: I only wish we had managed to catch him sooner. There must have been something we missed.,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,Player Default: Does it really matter?,"Yes of course it matters! The man is a murderer, we need to know if he is still at large!","Player Default: He attacked me, but it's over now. Your residents are safe.",,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,Player Default: It was Santiago.,That's just terrible. I can't believe it. And after all this time.,,,DLC03DialogueV118_ReceptionistKillerExposed
Scene,SceneDialogue,Custom,,,"Thank you for your assistance, Detective. The residents pooled this to pay for your services.",,,DLC03DialogueV118_ReceptionistKillerExposed
Scene,SceneDialogue,Custom,,,My word! I never thought Mr. Parker was capable of something like this. What happened when you confronted him?,"Player Default: He attacked me, but it's over now. Your residents are safe.",,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,"Player Default: You did the right thing coming to me, Detective. I've alerted the staff and we shall converge on him. Quickly, let's go!",I only wish we had managed to catch him sooner. There must have been something we missed.,,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,,Here. Your payment for returning to uncover the true killer.,,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,"Player Default: You did the right thing coming to me, Detective. I've alerted the staff and we shall converge on him. Quickly, let's go!","Here you are, Detective. Payment for your services and a bonus for uncovering such a heinous plot. I don't think we could have done it without you.",,,DLC03DialogueV118_ReceptionistOptions
Scene,SceneDialogue,Custom,,"RobotMrHandy: Thank goodness you're back, Detective!","I'm afraid the worst has happened. We must have got the wrong killer, because there has been another disappearance.",,,DLC03DialogueV118_ReceptionistReturnScene
Scene,SceneDialogue,Custom,,,Julianna and Bert have gone missing.,,,DLC03DialogueV118_ReceptionistReturnScene
Scene,SceneDialogue,Custom,,,"We've locked the residents down in separate rooms for their safety, but we need you to find the Riggs if they are still alive.",,,DLC03DialogueV118_ReceptionistReturnScene
Scene,SceneDialogue,Custom,,,I'll stay here to make sure the killer can't escape.,,,DLC03DialogueV118_ReceptionistReturnScene
Miscellaneous,Miscellaneous,Greeting,,,"Thank you for your help, Detective.",,,
Miscellaneous,Miscellaneous,Greeting,,,"What happened with Ezra, Detective?","Player Default: He attacked me, but it's over now. Your residents are safe.",,DLC03DialogueV118_ReceptionistOptions
Miscellaneous,Miscellaneous,Greeting,,,"Thank goodness you're back, Detective!","Receptionist: I'm afraid the worst has happened. We must have got the wrong killer, because there has been another disappearance.",,DLC03DialogueV118_ReceptionistReturnScene
Miscellaneous,Miscellaneous,SharedInfo,,,We got him. It's finally over.,Receptionist: I only wish we had managed to catch him sooner. There must have been something we missed.,,DLC03DialogueV118_ReceptionistOptions
Miscellaneous,Miscellaneous,SharedInfo,,,"Well, it seems you were wrong about it being over, Detective.",,,
Scene,SceneDialogue,Custom,,"RobotMrHandy: Well, it's about time the police sent someone out to investigate.",We have many important residents and they are very worried.,"Player Default: I'm here now, we'll get to the bottom of this.",,DLC03_V118_FrontDeskInvestigator
