CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Mel: Yeah, I wouldn't touch that pie.",I don't trust anything that looks that perfectly preserved after 200 years.,,Talking about a 200 year old pie that does not look rotted at all.,MS16AmbientCommentaryPie
Scene,SceneDialogue,Custom,,,Looks like a subway tunnel.,Bobbi: Then we're on the right track.,,MS16AmbientReachedSubway
Scene,SceneDialogue,Custom,,Bobbi: Then we're on the right track.,I see what you did there.,Bobbi: What? No.,Commenting on the pun,MS16AmbientReachedSubway
Scene,SceneDialogue,Custom,,,"How come it's been so long since we worked together, Bobbi?","Bobbi: I've been trying to keep a low profile on this one, Mel.",,MS16AmbientBobbiMel01
Scene,SceneDialogue,Custom,,Bobbi: And I didn't want to get you wrapped up in it unless I had to.,We've been through worse jobs than this...,"Bobbi: We're not done yet, are we?",Gets cut off,MS16AmbientBobbiMel01
Scene,SceneDialogue,Custom,,"Bobbi: We're not done yet, are we?",Encouraging.,,Sarcastic,MS16AmbientBobbiMel01
Scene,SceneDialogue,Custom,,,"Hey, looks like this place was run by Mr. Handy units.",,Enthusiastic,MS16AmbientCommentaryRobotRoom
Scene,SceneDialogue,Custom,,,Maybe I can fix one up and...,"Bobbi: I think the one robot is enough, Mel.",Your enthusiasm is interrupted.,MS16AmbientCommentaryRobotRoom
Scene,SceneDialogue,Custom,,"Bobbi: I think the one robot is enough, Mel.",Alright. It wouldn't have taken long.,,Disappointed,MS16AmbientCommentaryRobotRoom
Scene,SceneDialogue,Custom,,"Bobbi: No flesh off my face, but you two might want to watch out for the radiation around here.",The thing on this one's wrist has a Geiger counter equipped. I'll just keep my ears open for clicks.,"Mel: I didn't want to nerd out over it, but a Robco Pip-Boy is a rare find my friend.",Referring to the player.,MS16AmbientCommentaryRadiation
Scene,SceneDialogue,Custom,,"Bobbi: There is a brewery near our strongroom, this has to be the basement to that brewery.","Brewery, you say?","Bobbi: Mel, No.",You want to find beer.,MS16AmbientReachedIndustrial
Scene,SceneDialogue,Custom,,"Bobbi: Mel, No.",Just kidding. Geez.,,,MS16AmbientReachedIndustrial
Scene,SceneDialogue,Custom,,Mel: The thing on this one's wrist has a Geiger counter equipped. I'll just keep my ears open for clicks.,"I didn't want to nerd out over it, but a Robco Pip-Boy is a rare find my friend.",,,MS16AmbientCommentaryRadiation
Scene,SceneDialogue,Custom,,,You're going to have to let me play with it later.,,,MS16AmbientCommentaryRadiation
Scene,SceneDialogue,Custom,,,"Oh, no. No. No. Sonya!","Bobbi: Pull yourself together, Mel.","Sad, you broke something you spent a long time working on. / Afraid",MS16MelSonyaDead
Scene,SceneDialogue,Custom,,Bobbi: We don't need that thing anymore anyway.,But...,Bobbi: You can make another robot with the haul we get from the strongroom.,Depressed,MS16MelSonyaDead
Scene,SceneDialogue,Custom,,,"I don't know about you, but this seems like a dead end to me.",Mel: Let's see if we can backtrack and blast another path.,,MS16AmbientCommentaryDeadEnd
Scene,SceneDialogue,Custom,,,"Yeah, I wouldn't touch that pie.",Mel: I don't trust anything that looks that perfectly preserved after 200 years.,Talking about a 200 year old pie that does not look rotted at all.,MS16AmbientCommentaryPie
Scene,SceneDialogue,Custom,,"Mel: I don't know about you, but this seems like a dead end to me.",Let's see if we can backtrack and blast another path.,,,MS16AmbientCommentaryDeadEnd
Scene,SceneDialogue,Custom,,"Mel: So, uh, brace yourselves.","Sonya, do your thing.",,,MS16MelDigStart
Scene,SceneDialogue,Custom,,"Mel: Sonya, prepare yourself for a blast at maximum power.",Here we go.,Mel: That didn't sound good. I hope Sonya's ok.,About to trigger an explosion,MS16SonyaFinalBlast
Miscellaneous,Miscellaneous,SharedInfo,,Bobbi: The loot must be in that closed train car. Let's open it up.,Fahrenheit probably had the key. See if you can find it.,,,MS16BobbiAsksPlayerToOpenTrain
Scene,SceneDialogue,Custom,,Player Default: I'm ready.,You got it. Let's do this.,Mel: Ready Sonya?,,MS16MelLastBarrier
Scene,SceneDialogue,Custom,,"Player Default: Wait, I need to do something first.",No worries. Let me know when you're ready.,Mel: Ready Sonya?,,MS16MelLastBarrier
