CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Stop crowdin' my stall then.,,Irritated,MoeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Yeah, yeah.",,Irritated,MoeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,*sigh* No respect for the sport...,,Irritated,MoeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Fine. Get going.,,Irritated,MoeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"You're missing out, pal.",,Irritated,MoeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"You're missing out, sister.",,Irritated,MoeGreetScene
Scene,SceneDialogue,Custom,,Player Default: You got a deal.,Here's your caps. And... thank you! Thank you!,,Happy,MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,Player Default: Forget it. No deal.,"*sigh* I hate to see her go, but... all right. Let me know if you change your mind.",,Depressed,MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,Player Default: This is a rare find. 250 caps.,Oh...dang... all right. Deal.,Player Default: You got a deal.,"negotiating for the baseball bat, giving in to how much you want it / Nervous",MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,Player Default: This is a rare find. 250 caps.,That's outrageous! No... you can't put a price on history. I'll pay it.,Player Default: You got a deal.,"negotiating for the baseball bat, giving in to how much you want it / Nervous",MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,Player Default: This is a rare find. 250 caps.,"All right! All right! Just hand it over, already.",Player Default: You got a deal.,"negotiating for the baseball bat, giving in to how much you want it / Nervous",MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,Player Default: This is a rare find. 250 caps.,"No. No, as much as I want it. I gotta stand my ground. 200 caps. That's my final offer.",Player Default: You got a deal.,"negotiating for the baseball bat, standing strong against temptation / Stern",MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,Player Default: So I take it this bat is valuable?,"Now, now. Let me be clear. I want it. You bet your socks I do. But I'm a collector. Anyone else, that bat's just a piece of wood.",,Nervous,MoeWorldSeriesBatScene
Scene,SceneDialogue,Custom,,,"You want her to be in the hands of someone who appreciates what she means to history, don't ya? What d'ya say?",Player Default: You got a deal.,Pleading,MoeWorldSeriesBatScene
