CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,RobotMolly: I have been instructed to inform you that Director Elwood has issued mandatory overtime due to uncompleted milestones.,Have you completed the research on the Piezonucleic Lining Project?,Player Default: The prototype is done.,,DN015_RobotCleanRoomRepeat
Scene,SceneDialogue,Custom,,Player Default: The prototype is done.,Wonderful. Mandatory overtime mode disengaged. Clean room override disengaged.,Robot: The director will want to see this immediately. Please follow me.,,DN015_RobotCleanRoomRepeat
Scene,SceneDialogue,Custom,,Player Default: The prototype is done.,Please see Dr. Elwood-Woolum for project assignment.,,,DN015_RobotCleanRoomRepeat
Scene,SceneDialogue,Custom,,Player Default: Let me out of here you stupid robot!,Employment will be terminated for any researchers attempting to leave before completion of the project.,,,DN015_RobotCleanRoomRepeat
Scene,SceneDialogue,Custom,,Player Default: I'm not sure where to begin.,Please see Dr. Elwood-Woolum for project assignment.,,,DN015_RobotCleanRoomRepeat
Scene,SceneDialogue,Custom,,Player Default: What am I supposed to do?,Perhaps you could begin by familiarizing yourself with the current state of the research. The console at your workstation should provide access.,Robot: Have you completed the research on the Piezonucleic Lining Project?,,DN015_RobotCleanRoomRepeat
Scene,SceneDialogue,Custom,,,The director will want to see this immediately. Please follow me.,Robot: This is Director Elwood's office. I expect he will be quite excited to see the prototype.,,DN015_RobotToDirectorScene
Scene,SceneDialogue,Custom,,Robot: The director will want to see this immediately. Please follow me.,This is Director Elwood's office. I expect he will be quite excited to see the prototype.,"Robot: Sir, wonderful news. The Nucleostrictive Plating Project has finally produced a working prototype.",,DN015_RobotToDirectorScene
Scene,SceneDialogue,Custom,,,"Sir, wonderful news. The Nucleostrictive Plating Project has finally produced a working prototype.","Robot: Director Elwood, HR has requested that I remind you to respect employee's personal space.",,DN015_DirectorScene
Scene,SceneDialogue,Custom,,"Robot: Sir, wonderful news. The Nucleostrictive Plating Project has finally produced a working prototype.","Director Elwood, HR has requested that I remind you to respect employee's personal space.",Robot: I must apologize for the Director. He hasn't been himself lately. Must be the office flu.,,DN015_DirectorScene
