CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,A bit of everything...,,about to show your wares,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here's what we got.,,about to show your wares,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Odds and ends...,,about to show your wares,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Everything you need.,,about to show your wares,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Just don't call it junk.,,about to show your wares,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Fine. Leave.,,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,All right.,,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Remember. We don't serve synths.,,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Probably a synth anyway...,,"under your breath, to yourself",MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,That's something a synth would say...,,"under your breath, to yourself",MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Pft. Of course.,,Irritated,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Yeah, sure.",,Irritated,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Fine.,,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Suit yourself.,,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,NPCFMyrna: Oh no. You're not allowed to shop here. No synths.,"Fine. As long as the SYNTH doesn't touch anything, we can do business.",Player Default: Let's see what you've got.,talking to the player / Stern,MyrnaNickScene
Scene,SceneDialogue,Custom,,Player Default: Keep calm. I'm standing still.,That's exactly what a synth would say. But... I don't know. Are you really... human?,Player Default: Human as the day I was born.,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: You're acting all kinds of crazy.,"I am not crazy! I read the paper! I know the synths are here, walking among us.",,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,,So wait... are you telling me you're human?,Player Default: Human as the day I was born.,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,"Player Default: One statue of David impression, coming up.",Good. Good... Now just answer me one simple question: are you human?,,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,,Because I will not serve a synth...,Player Default: Human as the day I was born.,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Why?,"Because I don't know you, and I will not serve a synth pretending to be... human.",,,MyrnaGreetScene
Scene,SceneDialogue,Custom,,,So are you? Human?,Player Default: Human as the day I was born.,,MyrnaGreetScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Human as the day I was born.,"Well, you do look human enough, but I'll be watching you. I have eyes like a.... well, they're good eyes, got it?",,,MyrnaGreetScene
Miscellaneous,Miscellaneous,SharedInfo,,,All right. We can do business. But no funny stuff.,Player Default: Let's see what you've got.,,MyrnaGreetScene
