CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"NPCMNeilFreund: Hey, an outsider with a Vault suit. There's something you don't see everyday.","Don't say anything, but man, I'd love to be out there.",Player Default: You should check it out. It's got a lot of offer these days.,Friendly / Friendly,Vault81NeilGreet
Scene,SceneDialogue,Custom,,Player Default: Hope you guys get some breaks at least. You can't work all the time.,Tell me about it.,Neil: They say it's all the moving parts that have us working 'round the clock these days.,Knows the truth all too well. / Concerned,Vault81NeilGreet
Scene,SceneDialogue,Custom,,"Player Default: Screw work, do you what you want.",I wish.,Neil: They say it's all the moving parts that have us working 'round the clock these days.,Amused / Amused,Vault81NeilGreet
Scene,SceneDialogue,Custom,,"Player Default: Hard work pays off, and you guys are maintaining the Vault, right?",Trying to at least.,Neil: They say it's all the moving parts that have us working 'round the clock these days.,Hopes their work is worth it. / Concerned,Vault81NeilGreet
Scene,SceneDialogue,Custom,,Player Default: Why the long hours?,We're just making sure this roof over our heads doesn't cave in on us.,Neil: They say it's all the moving parts that have us working 'round the clock these days.,"Friendly, lighthearted answer / Friendly",Vault81NeilGreet
Scene,SceneDialogue,Custom,,Player Default: You should check it out. It's got a lot of offer these days.,"Maybe someday. At the rate we're working these days, maybe sooner than later.",Player Default: Hope you guys get some breaks at least. You can't work all the time.,Thinking / Thinking,Vault81NeilGreet
Scene,SceneDialogue,Custom,,Player Default: It's pretty dangerous. You wouldn't last a day.,"Yeah, that's the fear. Least with the way the Overseer has us working, 81 will still be around for a while.",Player Default: Hope you guys get some breaks at least. You can't work all the time.,Disappointed / Neutral,Vault81NeilGreet
Scene,SceneDialogue,Custom,,Player Default: It takes some preparation. I'd learn how to use a gun and be ready to use it before I went out there.,I've never even touched a gun. I can even say if our Security has seen any real combat.,,Disappointed / Neutral,Vault81NeilGreet
Scene,SceneDialogue,Custom,,,"But with the hours we're working these days, I'm not even sure where I'd find time to practice.",Player Default: Hope you guys get some breaks at least. You can't work all the time.,Matter of fact / Neutral,Vault81NeilGreet
Scene,SceneDialogue,Custom,,"Player Default: If you want to leave, why don't you just go?","Wish it was that easy. It's scary, leaving the Vault. And the Commonwealth? It's all so... unpredictable.",Player Default: You should check it out. It's got a lot of offer these days.,Matter of fact / Neutral,Vault81NeilGreet
Scene,SceneDialogue,Custom,,Player Default: Tell me about it.,They say it's all the moving parts that have us working 'round the clock these days.,,Recalling information / Neutral,Vault81NeilGreet
Scene,SceneDialogue,Custom,,,"Structurally, I guess 81 is still pretty sound. Vault-Tec sure knew what they were doing when they set these places up.","Neil: Well, I don't want to keep you, and I gotta get back to work. Maybe I'll see you around.",Friendly / Friendly,Vault81NeilGreet
Scene,SceneDialogue,Custom,,"Neil: Structurally, I guess 81 is still pretty sound. Vault-Tec sure knew what they were doing when they set these places up.","Well, I don't want to keep you, and I gotta get back to work. Maybe I'll see you around.",,Friendly / Neutral,Vault81NeilGreet
Miscellaneous,Miscellaneous,Greeting,,,"Hey, an outsider with a Vault suit. There's something you don't see everyday.","Neil: Don't say anything, but man, I'd love to be out there.","Friendly, surprised the player is wearing a Vault suit. / Friendly",Vault81NeilGreet
Miscellaneous,Miscellaneous,Greeting,,,Power Armor? There's something you don't see everyday.,"Neil: Don't say anything, but man, I'd love to be out there.","Friendly, surprised the player is wearing Power Armor. / Friendly",Vault81NeilGreet
Miscellaneous,Miscellaneous,Greeting,,,So we got a new visitor today.,"Neil: Don't say anything, but man, I'd love to be out there.",Friendly / Friendly,Vault81NeilGreet
Miscellaneous,Miscellaneous,Hello,,,Someday I'll make it out there.,,Hopeful.  / Friendly,
Miscellaneous,Miscellaneous,Hello,,,"I heard Diamond City is pretty nice, tucked behind some walls. Sounds safe enough.",,Daydreaming about the Commonwealth. / Friendly,
Miscellaneous,Miscellaneous,Hello,,,If only the Commonwealth wasn't so dangerous. I'd love to see more of it.,,Daydreaming about the Commonwealth. / Friendly,
Miscellaneous,Miscellaneous,Hello,,,"Miranda likes to tell me that I'm just taking 81 for granted, but I can't help but feel trapped here sometimes.",,Gossiping / Friendly,
Miscellaneous,Miscellaneous,Hello,,,Calvin told me I just want out so I can slack off. Maybe he's right. This work is just killing me.,,Gossiping / Friendly,
Miscellaneous,Miscellaneous,Hello,,,"I hope you know, that's no small thing you did back there, saving Austin.",,Grateful / Grateful,
Miscellaneous,Miscellaneous,Hello,,,Austin was just a kid. I'm beginning to see why Miranda hates outsiders so much.,,Upset with player for saving himself instead of a child. / Irritated,
Miscellaneous,Miscellaneous,Hello,,,"I'm not usually wrong about people, but damn, letting a child die? Maybe the Commonwealth isn't for me.",,Disgusted that the player chose to let a child die. / Disgust,
Miscellaneous,Miscellaneous,Hello,,,"If the Commonwealth is filled with people like you, I want no part of it.",,Disgusted the player let a child die. / Disgust,
Miscellaneous,Miscellaneous,Hello,,,You outsiders sure are cold.,,Disgusted the player let a child die. / Disgust,
Miscellaneous,Miscellaneous,Hello,,,What kind of person lets a child die?,,Disgusted with the player for letting a child die. / Disgust,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Did I say something wrong?,,Doesn't want to offend. Player isn't responding. / Nervous,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You were saying?,,Doesn't want to offend. Player isn't responding. / Nervous,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Take your time. I'm not going anywhere.,,Doesn't want to offend. Player isn't responding. / Nervous,
Scene,SceneDialogue,Custom,,CitizenFemale: How's your head feeling today?,"Still a little pounding, but getting better.",,Matter of fact. / Neutral,V81_Conv_Entry_01_Scene
Scene,SceneDialogue,Custom,,,Nothing I can't handle.,CitizenFemale: Nice to know it wasn't another migraine kicking in.,Matter of fact / Neutral,V81_Conv_Entry_01_Scene
Scene,SceneDialogue,Custom,,CitizenFemale: Nice to know it wasn't another migraine kicking in.,"Tell me about it. Cal, would bust my ass if I called out again, too.",,Glad he didn't miss work. / Grateful,V81_Conv_Entry_01_Scene
Scene,SceneDialogue,Custom,,,How's it looking?,"CitizenFemale: Eh, same old, same old.",Asking a question / Question,V81_Conv_Entry_02_Scene
Scene,SceneDialogue,Custom,,"CitizenFemale: Another day, another double shift.",I hear ya. Maybe you could see about working in Doctor Penske's lab again?,"CitizenFemale: Yeah, maybe, but no way I'm sampling anymore of her creations.",Conversational / Friendly,V81_Conv_Entry_02_Scene
