CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,Are you lost?,,arrogant,
Miscellaneous,Miscellaneous,Hello,,,"If I wanted to talk to you, you'd know it.",,arrogant,
Miscellaneous,Miscellaneous,Hello,,,I'm an important man. You better not be trying to waste my time.,,arrogant,
Miscellaneous,Miscellaneous,Hello,,,"You're bothering me. You don't want to bother a man like me, okay?",,arrogant,
Miscellaneous,Miscellaneous,Hello,,,"You want something? Listen up, everyone wants something from me, so don't make a fool of yourself.",,arrogant,
Scene,SceneDialogue,Custom,,NPCFGibson: Who the hell are you?,Let me deal with this fool.,Player Default: Cooke sent me. He has a message for you.,SinisterSmile,MS13CAmbushNelsonIntro
Miscellaneous,Miscellaneous,SharedInfo,,NelsonLatimer: Let me deal with this fool.,You better get the fuck out of here if you know what's good for you.,Player Default: Cooke sent me. He has a message for you.,Angry,MS13CAmbushNelsonIntro
Scene,SceneDialogue,Custom,,,"I'll meet you there, then. Don't be late.",HenryCooke: I'll be there. I just have to close up.,Conspiratorial,MS13BConfrontCookeNelsonIntro
Scene,SceneDialogue,Custom,,Player Default: Cooke sent me. He has a message for you.,Cooke told you about this? Where the hell is Cooke anyway?,"Trish: What is this, Nelson?",Suspicious,MS13CAmbushNelsonIntro
Scene,SceneDialogue,Custom,,"Player Default: I'm here for the chems and the money. Oh, and to kill you all.",What? Shit!,"Player Default: Cooke couldn't make it, so he sent me instead.",Surprised,MS13CAmbushNelsonIntro
Scene,SceneDialogue,Custom,,Player Default: I'm just passing through.,"Well, then you better keep right on walking, asshole. Now.",Trish: We don't want any trouble. Just get out of here.,Angry,MS13CAmbushNelsonIntro
Scene,SceneDialogue,Custom,,Player Default: What's going on here?,"Nothing to do with you, unless you want your face blown off. Got it, asshole?","Player Default: Cooke couldn't make it, so he sent me instead.",SinisterSmile,MS13CAmbushNelsonIntro
Scene,SceneDialogue,Custom,,"Player Default: Cooke couldn't make it, so he sent me instead.","The fuck he did. Trish, kill this asshole!",,Angry,MS13CAmbushNelsonIntro
