CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: It'll take some time, but I could learn to like it here.",I'm so glad to hear you say so. and promise I'll work hard to make sure that you do.,NewtonOberly: You should know that many of us consider it a great honor to have you here.,,DialogueInstituteNewtonFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: The only place I want to call home was destroyed a long time ago.,I'm truly sorry. This must all be terribly difficult for you.,NewtonOberly: You should know that many of us consider it a great honor to have you here.,,DialogueInstituteNewtonFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: I think it's a little too science-fiction for my taste.,"Of course, I understand. Nearly all of us were born here, but you come form a very different world.",NewtonOberly: You should know that many of us consider it a great honor to have you here.,,DialogueInstituteNewtonFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: What do you do here?,I'm in charge of housing and provisions.,,,DialogueInstituteNewtonFirstGreeting
Scene,SceneDialogue,Custom,,,It's my mission to ensure that everyone lives a comfortable and productive life.,NewtonOberly: You should know that many of us consider it a great honor to have you here.,,DialogueInstituteNewtonFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: I'm so glad to hear you say so. and promise I'll work hard to make sure that you do.,You should know that many of us consider it a great honor to have you here.,,,DialogueInstituteNewtonFirstGreeting
Miscellaneous,Miscellaneous,Greeting,,,"Welcome, welcome! It's so good to meet you. I truly hope you'll come to think of the Institute as your home.","Player Default: It'll take some time, but I could learn to like it here.","Very friendly, perhaps laying it on a bit thick",DialogueInstituteNewtonFirstGreeting
Miscellaneous,Miscellaneous,Hello,,,Good to see you. Feeling well today?,,"Sincere, friendly",
Miscellaneous,Miscellaneous,Hello,,,I hope all your needs are being seen to. You just let me know if they're not.,,"Sincere, friendly",
Miscellaneous,Miscellaneous,Hello,,,People on the surface have got it pretty bad. Makes me thankful for being down here.,,Genuine compassion,
Miscellaneous,Miscellaneous,Hello,,,"When the lights go down and the stars come out, a man just forgets all his troubles.",,Wistful,
Miscellaneous,Miscellaneous,Hello,,,"Our newest synths are so lifelike, I keep mistaking them for real people.",,"Impressed, amused",
Miscellaneous,Miscellaneous,SharedInfo,,Newton: I gathered these items together for you. I think you'll find them useful.,I'll see that the mess in Hydroponics is cleaned up.,,,InstM03NewtonBranchPunishment
Miscellaneous,Miscellaneous,SharedInfo,,,I suppose I should also make the funeral arrangements.,,Sad,InstM03NewtonBranchPunishment
Miscellaneous,Miscellaneous,SharedInfo,,,"Well, there's much to do, so I'll get about it. In the meantime, I'm sure everyone will be relieved that this is over.",,,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: I'm just glad they listened to reason.,Indeed.,,,InstM03NewtonSceneEndGood
Scene,SceneDialogue,Custom,,Player Default: Keeping our food supply secure is your responsibility. This better not happen again.,I'll make it my top priority.,,Confident,InstM03NewtonSceneEndGood
Scene,SceneDialogue,Custom,,Player Default: I'm starting to get used to that.,I apologize. I won't doubt you again.,,Apologetic / Apologetic,InstM03NewtonSceneEndGood
Scene,SceneDialogue,Custom,,"Player Default: What do you mean ""you feared the worst?""",I just didn't want to see anyone get hurt.,,Apologetic / Apologetic,InstM03NewtonSceneEndGood
Scene,SceneDialogue,Custom,,Player Default: There's no need to drag this out. I believe they learned their lesson.,Your compassion and understanding speak well of you.,Companion: Cait interjects,"Relieved, satisfied / Relieved",InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: They were prepared to let everyone starve to death. They have to die.,"I... I understand. I'll make the necessary arrangements, though it saddens me to do so.",Newton: I'll see that the mess in Hydroponics is cleaned up.,Sad / Sad,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: They were prepared to let everyone starve to death. They have to die.,What?! Execute them? But that's not how we do things here.,,"Surprised, aghast / Surprised",InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,"Please, I beg you, choose something else. Anything.",Player Default: There's no need to drag this out. I believe they learned their lesson.,Pleading / Pleading,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: They were prepared to let everyone starve to death. They have to die.,"I'm sorry, but I won't do that. We're not savages.",,Firm rejection / Confident,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,I must insist that you choose another form of punishment.,Player Default: There's no need to drag this out. I believe they learned their lesson.,"Firm, resolute / Confident",InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: Put them on probation. Limit their access to quarters and non-working areas.,That's more than fair. I'll see to it that everyone's notified.,Companion: Cait interjects,,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: Give them supplies and then throw them out. They're banned for life.,"I wish I could say that would be unfair, but there's no denying those men put all our lives at risk.",,,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,"I'll see to those supplies. At least they'll have a fighting chance, which is perhaps more than they deserve.",Companion: Cait interjects,,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Newton: I'll take that holotape back.,I also wanted to offer you something as a more personal expression of gratitude.,,Grateful / Grateful,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,I know that your work often takes you to the surface where supplies are scarce.,,Grateful / Grateful,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,I gathered these items together for you. I think you'll find them useful.,Newton: I'll see that the mess in Hydroponics is cleaned up.,Grateful / Grateful,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,There is one further matter to discuss.,,,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,,"Obviously, some kind of disciplinary action must be taken here. The question of what form it takes is up to you.",Player Default: There's no need to drag this out. I believe they learned their lesson.,Broaching a difficult subject,InstM03NewtonBranchPunishment
Scene,SceneDialogue,Custom,,Player Default: The food supply is secure. I'd still call that a win.,"In the short-term, perhaps, but choosing violence always carries a cost.",Newton: I'll see that the mess in Hydroponics is cleaned up.,Lecturing / Neutral,InstM03NewtonSceneEndBad
Scene,SceneDialogue,Custom,,Player Default: Stop whining and be grateful I got your food supply back.,"Yes, of course. Sorry if I seemed ungrateful.",Newton: I'll see that the mess in Hydroponics is cleaned up.,Apologetic / Apologetic,InstM03NewtonSceneEndBad
Scene,SceneDialogue,Custom,,Player Default: The important thing is that we got the food supply back.,"You're right, of course.",,Relieved,InstM03NewtonSceneEndBad
Scene,SceneDialogue,Custom,,,"When Higgs and Loken chose their path, they chose the consequences that go with it.",Newton: I'll see that the mess in Hydroponics is cleaned up.,Hint of sadness. / Sad,InstM03NewtonSceneEndBad
Scene,SceneDialogue,Custom,,"Player Default: What was I supposed to do, let everyone starve?",I don't meant to preach. I simply wish that matters could have been resolved more peacefully.,Newton: I'll see that the mess in Hydroponics is cleaned up.,Apologetic / Apologetic,InstM03NewtonSceneEndBad
Scene,SceneDialogue,Custom,,,Here we are. Just give me a moment...,"Newton: There, it's unlocked.",Tiinkering with something... almost rhetorical,InstM03NewtonUnlocksTunnel
Scene,SceneDialogue,Custom,,Newton: Here we are. Just give me a moment...,"There, it's unlocked.",,,InstM03NewtonUnlocksTunnel
Scene,SceneDialogue,Custom,,,"For goodness' sake, be reasonable!",,Frustrated... shouting through a door at someone / Irritated,InstM03NewtonScene0Door
Scene,SceneDialogue,Custom,,,"I know you can hear me, now open this door!","Newton: Oh, what's the use.",Angry... shouting through a door at someone / Angry,InstM03NewtonScene0Door
Scene,SceneDialogue,Custom,,"Newton: I know you can hear me, now open this door!","Oh, what's the use.",,"Defeated, giving up / Tired",InstM03NewtonScene0Door
Scene,SceneDialogue,Custom,,PlayerVoiceFemale01: What's going on?,Doctor Higgs and Doctor Loken have decided to protest your appointment as Father's successor.,,"Irritated, exasperated / Irritated",InstM03NewtonScene1Intro
Scene,SceneDialogue,Custom,,,They've taken control of the BioScience security systems and cut off our food supply.,,Frustrated / Irritated,InstM03NewtonScene1Intro
Scene,SceneDialogue,Custom,,Player Default: I'm sure they'll calm down in time.,"I know these men, and I can assure you they're completely serious.",Player Default: Maybe I can reason with them.,"Serious, somber / Somber",InstM03NewtonScene1Intro
