CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,Hell of a game.,Moe: ... I like my version better.,Happy,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",You sure you're remembering that right?,Moe: ... I like my version better.,Puzzled,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.",Great way to waste an afternoon.,Moe: ... I like my version better.,Neutral,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,NPCFMyrna: Oh no. You're not allowed to shop here. No synths.,"Good to see you too, Myrna. And I'm not the one shopping here. My friend is.","MyrnaAlias: Fine. As long as the SYNTH doesn't touch anything, we can do business.",Stern,MyrnaNickScene
Miscellaneous,Miscellaneous,Hello,,,McDonough being a synth isn't gonna make my life in Diamond City any easier. Least most people think I'm just a robot.,,"McDonough was revealed to be a Synth and is dead or gone, you fear the Synth paranoia that might follow",
Miscellaneous,Miscellaneous,Hello,,,Good to be back in Diamond City.,,in Diamond City,
Miscellaneous,Miscellaneous,Hello,,,This place has kind of a song to it. You listen you can hear people's lives and problems as they rush on by.,,in Diamond City,
Miscellaneous,Miscellaneous,Hello,,,"Night is when the green jewel feels the most honest. Bright lights, but a lot of shadows.",,in Diamond City,
Miscellaneous,Miscellaneous,Hello,,,Yeah? What is it?,,neutral tone,
Scene,SceneDialogue,Custom,,Player Default: Always believed in freedom of the press.,Someone needs to air out all the Commonwealth's dirty laundry.,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",Neutral,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,Player Default: Newspapers just like to stir up trouble.,Don't be quick to judge. Sometimes folks need some trouble to get them on their feet.,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",objecting to what the player said / Stern,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,,"Well, what have we here?",Player Default: There's an awful lot of blood leading into the Surgery Center basement. Should try and find a way down there...,"Looking at a trail of blood, a clue to a case he and the player are on. / Question",002a_MS07aPlayerFindsBlood
Scene,SceneDialogue,Custom,,,I'll start in here. Why don't you check out the living room? Must be some hint where that boy ran off to.,"Nick: You know, for all the talk, I'd put the chances of this being an Institute snatch job somewhere between zero and none. Just think about it.",Walking into the home of someone who's murder Nick is currently investigating. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,,"A receipt from the Mega Surgery Center, huh? Wonder what the good doctors have to say about that.",,Commenting on a receipt the player just picked up. / Neutral,001b_MS07aPlayerAcquiresReceipt
Scene,SceneDialogue,Custom,,,Guess we ought to give her the news.,,Entering his office. The news being the death of the client you and the player were supposed to find. / Somber,007b_MS07aNickReturnsScene
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.","Drop the weapon, doc. Haven't enough people suffered today?",DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,Pleading,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: Oh, screw this. Say ""hi"" to Earl for me.",It doesn't have to shake out like this!,,Rerecord. You're trying to stop a gun fight. The player is about to open fire on a friend who is threatening the two of them with a gun. / Pleading,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.",Let's not do anything rash.,"DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",Pleading,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,We can't blame ourselves. That man decided to die.,Companion: Crocker got exactly what was comin' to him.,Stern,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,"You got a piss-poor negotiation style, you know that?",,Irritated,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,"No one knew Earl better than these folks. Oughta ask around, see what people know.",,Entering a bar where a possible murder victim previously worked. / Neutral,001a_MS07aNickEntersDugoutInn
Scene,SceneDialogue,Custom,,"Nick: You know, for all the talk, I'd put the chances of this being an Institute snatch job somewhere between zero and none. Just think about it.","Earl Sterling, local ASSISTANT bartender. Why not nab the bartender himself?",Nick: Lord knows Vadim samples his own wares enough that some weird behavior wouldn't make anyone bat an eyelash.,Searching through the belongings of someone who may have been murdered. / Question,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"NPCFElliePerkins: So, you find out where Earl Sterling ran off to?",We found him alright.,Player Default: Earl never went anywhere. Doc Crocker killed him during a botched surgery.,A little shocked. You were hoping to find a live person. Instead you found a butchered corpse. / Neutral,007a_MS07aElliePlayerScene
Scene,SceneDialogue,Custom,,Nick: I'll start in here. Why don't you check out the living room? Must be some hint where that boy ran off to.,"You know, for all the talk, I'd put the chances of this being an Institute snatch job somewhere between zero and none. Just think about it.","Nick: Earl Sterling, local ASSISTANT bartender. Why not nab the bartender himself?",Searching through the belongings of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Nick: Earl Sterling, local ASSISTANT bartender. Why not nab the bartender himself?",Lord knows Vadim samples his own wares enough that some weird behavior wouldn't make anyone bat an eyelash.,Nick: Hmm. Nothing over here.,Searching through the belongings of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,Nick: Hmm. Nothing over here.,"And Earl had lousy people skills. Might score the Institute some points in the ""last person you'd ever suspect"" category...",,Searching through the belongings of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,,...but why not snatch someone with charm.,Nick: Someone who could get you what you want? Earl could barely get you a drink by closing on a busy night.,Searching through the belongings of someone who may have been murdered. / Puzzled,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,Nick: ...but why not snatch someone with charm.,Someone who could get you what you want? Earl could barely get you a drink by closing on a busy night.,"Nick: So where's that leave us? No known enemies. Wasn't much for the great outdoors, so likely not Raiders or Mutants.",Searching through the belongings of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,Nick: Someone who could get you what you want? Earl could barely get you a drink by closing on a busy night.,"So where's that leave us? No known enemies. Wasn't much for the great outdoors, so likely not Raiders or Mutants.","Nick: No, this all screams accident. Now, what was Earl into that might've gotten him in this kinda trouble.",Searching through the belongings of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Nick: No, this all screams accident. Now, what was Earl into that might've gotten him in this kinda trouble.","Hello. Hey, come here. I think I found something!",,Just found a solid clue while searching the home of someone who may have been murdered. / Surprised,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Nick: No, this all screams accident. Now, what was Earl into that might've gotten him in this kinda trouble.",Think you ought to see this.,,Just found a solid clue while searching the home of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Nick: No, this all screams accident. Now, what was Earl into that might've gotten him in this kinda trouble.",Hey. Come take a look at this.,,Just found a solid clue while searching the home of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Nick: No, this all screams accident. Now, what was Earl into that might've gotten him in this kinda trouble.",You seeing what I'm seeing over here?,,Just found a solid clue while searching the home of someone who may have been murdered. / Question,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Nick: So where's that leave us? No known enemies. Wasn't much for the great outdoors, so likely not Raiders or Mutants.","No, this all screams accident. Now, what was Earl into that might've gotten him in this kinda trouble.","Nick: Hello. Hey, come here. I think I found something!",Searching through the belongings of someone who may have been murdered. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,Nick: Lord knows Vadim samples his own wares enough that some weird behavior wouldn't make anyone bat an eyelash.,Hmm. Nothing over here.,"Nick: And Earl had lousy people skills. Might score the Institute some points in the ""last person you'd ever suspect"" category...",To yourself. You're searching a house for clues. / Neutral,001a_MS07aNickEntersEarlsPlace
Scene,SceneDialogue,Custom,,"Player Default: Refresh my memory, why was I looking into Earl Sterling?",We got a case on his dissapearance. Vadim Bobrov over at the Dugout Inn didn't trust the official report. Hired us to get at the truth.,,Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,,"So, did you find anything out?","Player Default: This was a weird one, Nick. Turns out Doc Crocker killed Earl and hid his body in the surgery cellar.",Question,007_MS07aNickPlayerScene
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: This was a weird one, Nick. Turns out Doc Crocker killed Earl and hid his body in the surgery cellar.","So, the doctor did it. Feels like there's a cliche in there somewhere...","Player Default: The case is solved, at least. He won't hurt anyone ever again.",Doc Crocker was revealed to be the killer / Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,"Player Default: The case is solved, at least. He won't hurt anyone ever again.","You're better at this than I thought you'd be, and I already thought you'd be good.",,Impressed,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,,Ellie's holding the fee for this one. Ought to go talk to her.,,Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,Player Default: What a waste of time. Earl was already dead when I got to him.,"Well, you uncovered the truth, and that's what counts. No sense brooding over what else you could have done. It'll just keep you up at night.",,Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,,Ought to chat with Ellie. She's holding the caps for this one.,,Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,"Player Default: Yeah, there's a cliche all right. It's buried underneath your bad sense of humor.","You keep that kind of talk up, I might just start thinking we're friends.",,Amused,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,,And talk to Ellie. She's got the caps you earned for this one.,,Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,Player Default: So that's it? Case closed?,"That's right. I doubt Diamond City Security will do anything, but I'll forward our report on to them anyway.",,Neutral,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,,"I wish I could say most cases end better, but well, that's Diamond City for ya.",,Irritated,007_MS07aNickPlayerScene
Scene,SceneDialogue,Custom,,,"Anyway, ought to go chat with Ellie, collect your fee.",,Neutral,007_MS07aNickPlayerScene
Miscellaneous,Miscellaneous,Greeting,,,"So, you ever figure out what happened to Earl Sterling?","Player Default: This was a weird one, Nick. Turns out Doc Crocker killed Earl and hid his body in the surgery cellar.",player comes back to you after finishing up the case / Question,007_MS07aNickPlayerScene
Miscellaneous,Miscellaneous,Greeting,,,You ever figure out what happened to Earl Sterling?,"Player Default: This was a weird one, Nick. Turns out Doc Crocker killed Earl and hid his body in the surgery cellar.",player comes back to you after finishing up the case / Question,007_MS07aNickPlayerScene
Miscellaneous,Miscellaneous,Greeting,,,The doctor did it. Feels like there's a cliche in there somewhere...,"Player Default: The case is solved, at least. He won't hurt anyone ever again.",Doc Crocker was revealed to be the killer / Neutral,007_MS07aNickPlayerScene
Miscellaneous,Miscellaneous,Hello,,,Might want to pick up Earl's key from Vadim Bobrov. He runs the Dugout Inn.,,player just started the case / Neutral,
Miscellaneous,Miscellaneous,Hello,,,Be sure to check every corner of Earl's house. Never know what kind of clues you'll find.,,player has found the surgery center receipt / Neutral,
Miscellaneous,Miscellaneous,Hello,,,Interesting receipt. Looks like it's from the Mega Surgery Center.,,player has found the surgery center receipt / Neutral,
Miscellaneous,Miscellaneous,Hello,,,"Found some tracks of blood, eh? Might as well see where they go.",,player has found the blood inside the surgery center / Puzzled,
Miscellaneous,Miscellaneous,Hello,,,"Sounds like the next stop in Earl's case is a dark, dank cellar. What's the worst that could happen?",,player has to head into the Surgery Cellar / Neutral,
Scene,SceneDialogue,Custom,,Player Default: Don't worry. I won't.,"You've got our word, Abbot.","Abbot: Thinking you need a little education. Maybe a bit of community service, what do you say?",Friendly,FFDiamondCity01QuestScene
Scene,SceneDialogue,Custom,,"Player Default: Forget you, pal.",Why don't you trying showin' a little respect.,"Abbot: Thinking you need a little education. Maybe a bit of community service, what do you say?",Stern,FFDiamondCity01QuestScene
Scene,SceneDialogue,Custom,,Abbot: Here's your payment. Now get going. I got work to do.,Some folks just have no appreciation for art.,,Amused,FFDiamondCity01WallNotGreenScene
Scene,SceneDialogue,Custom,,Abbot: Here's your payment and a little bonus for getting the right shade of green. Don't do anything with it I wouldn't do.,"Folks around here need the Wall. It's a symbol. Something incorruptible, you know? Good on ya for helping her.",,Happy,FFDiamondCity01WallGreenScene
Scene,SceneDialogue,Custom,,,"If you get locked out of the terminal, don't worry. The system will reset itself. Just give it a minute.",,Project voice -- yelled through a thick window to the guy rescuing you from inside a locked room,002_MQ104_NickPlayerScene02
Scene,SceneDialogue,Custom,,,You gotta hack that terminal to open up this door.,,Project voice -- yelled through a thick window to the guy rescuing you from inside a locked room,002_MQ104_NickPlayerScene02
Scene,SceneDialogue,Custom,,,There's no lock on my end. You gotta use that terminal by the door.,,Project voice -- yelled through a thick window to the guy rescuing you from inside a locked room,002_MQ104_NickPlayerScene02
Scene,SceneDialogue,Custom,,"Nick: You better get to know the major players here in town. Goodneigbor's where the filth washes up, which means it always has what you need.",Close by we've got Bobbi No-Nose and her gang. Small town operator. Big town brains.,,,z013_MQ104_MemoryDen
Scene,SceneDialogue,Custom,,,"She's always recruiting for the next big job, if you're ever low on caps and don't mind where the money comes from, look her up.","Nick: Then we've got The Third Rail. Dirtiest drinks in the Commonwealth, but a great place to meet mercs and other unsavory contacts.",,z013_MQ104_MemoryDen
Scene,SceneDialogue,Custom,,"Nick: Good music, too.","And all the way across town is the Hotel Rexford, run by Marowski.",,,z013_MQ104_MemoryDen
Scene,SceneDialogue,Custom,,,Used to be the biggest chip in the pile before someone knocked over his chem operation.,Nick: That's just how Goodneighbor is. Always something cooking. Always another angle to play.,,z013_MQ104_MemoryDen
Scene,SceneDialogue,Custom,,"Nick: She's always recruiting for the next big job, if you're ever low on caps and don't mind where the money comes from, look her up.","Then we've got The Third Rail. Dirtiest drinks in the Commonwealth, but a great place to meet mercs and other unsavory contacts.",,,z013_MQ104_MemoryDen
Scene,SceneDialogue,Custom,,,"Good music, too.","Nick: And all the way across town is the Hotel Rexford, run by Marowski.",,z013_MQ104_MemoryDen
Scene,SceneDialogue,Custom,,"Player Default: My son Shaun is missing. He was kidnapped, but I don't know who took him, or where they went.","A missing kid, huh? Well, you came to the right man. If not the right place.","Nick: I've been cooped up in here for weeks. Turns out the runaway daughter I came here to find wasn't kidnapped. She's Skinny Malone's new flame, and she's got a mean streak.",/ Question,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,Player Default: Tracking a murderer. The bastard who shot my wife. Took my son. I don't even have a clue who he is or where he's gone.,"So, you need a little angel of vengeance, huh? Well, I don't usually go after blood money, but I guess I can make an exception.","Nick: I've been cooped up in here for weeks. Turns out the runaway daughter I came here to find wasn't kidnapped. She's Skinny Malone's new flame, and she's got a mean streak.",/ Question,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,"Player Default: I need you to find someone, but it's... complicated. I don't exactly know where they could be, or how long they've been gone.","Well, I've done jobs with less. Somehow ""nice and simple"" never makes it onto the menu in my world.","Nick: I've been cooped up in here for weeks. Turns out the runaway daughter I came here to find wasn't kidnapped. She's Skinny Malone's new flame, and she's got a mean streak.",/ Thinking,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,Player Default: What... are you?,"Told you. I'm a detective. Look, I know the skin and the metal parts ain't comforting, but it's not important right now.",,/ Stern,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,,The only thing that matters is why you went to all this trouble to cut me loose.,"Player Default: My son Shaun is missing. He was kidnapped, but I don't know who took him, or where they went.",/ Stern,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,Player Default: What... are you?,"Hope that's not going to be a problem, because there's not much I can do about it, if it is.",,/ Stern,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,,"Now since you know about me, why don't you return the favor. What brought you out all this way?","Player Default: My son Shaun is missing. He was kidnapped, but I don't know who took him, or where they went.",/ Stern,004_MQ104_NickPlayer
Scene,SceneDialogue,Custom,,"Player Default: A missing kid, huh? Well, you came to the right man. If not the right place.","I've been cooped up in here for weeks. Turns out the runaway daughter I came here to find wasn't kidnapped. She's Skinny Malone's new flame, and she's got a mean streak.",,"ironic chuckle when talking about the ""mean streak"". this woman knocked you out cold with a baseball bat / Tired",004_MQ104_NickPlayer
