CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,DLC04Mason_TA: This guy? Are you sure Gage?,You better know what the hell you're doing.,"DLC04Gage: Hey, we talked about this!",Projected. Loudly complaining. / Angry,DLC04MQ01_800_GagePostFightAddress
Scene,SceneDialogue,Custom,,"Player Default: Good. You're either smart or you value your life. Either way, that's exactly what I wanted to hear.","Now, if you're really looking to get on my good side...","DisciplesLeader: There's no shortage of work around here, so if you're looking to prove you've got what it takes... you know where to find me.",Amused,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,Player Default: Looks like you're already a step above Colter. I'll see how this plays out... for now.,"But, if you change your tune and decide to play nice...","DisciplesLeader: There's no shortage of work around here, so if you're looking to prove you've got what it takes... you know where to find me.",Amused,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,Player Default: Of course. Just remember to think about it like this: how much do you value your life?,"Then, when you realize just how much...","DisciplesLeader: There's no shortage of work around here, so if you're looking to prove you've got what it takes... you know where to find me.",Amused,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,"DisciplesLeader: Now, if you're really looking to get on my good side...","There's no shortage of work around here, so if you're looking to prove you've got what it takes... you know where to find me.",,Amused,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,"Player Default: Last I checked, I'm the Overboss.","You survived the Gauntlet, you killed Colter, with Gage's help, of course.",,Thinking,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,,"So sure, you're the ""Overboss,"" but that title hasn't meant anything for a long time now.",,Overboss said with disrespect. / Conspiratorial,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,,"If Gage thinks that'll change overnight, he's dead wrong.","DisciplesLeader: You see, the Disciples don't make empty threats, we make good on them.",Disgust,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,"Player Default: Watch it, lady. I'm no one's pet.","Really? Gage made Colter, and now here you are. I'm just calling it as I see it.","DisciplesLeader: You see, the Disciples don't make empty threats, we make good on them.",SinisterSmile,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,Player Default: And what are you? His grandma?,"Heh. If I was, I would've slit that little suckup's throat a long time ago.",,Disgust,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,,Gage will never be one of us. He's a failure. He's lucky we're giving him a second chance.,"DisciplesLeader: You see, the Disciples don't make empty threats, we make good on them.",Disgust,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,Player Default: Pet Project? What's that supposed to mean?,Gage didn't say anything?,,Mock surprise/sarcastic. / SinisterSmile,DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,,"Apparently, we're not good enough to run this place ourselves. Gage wanted to bring in his own little puppy to replace Colter.",,"Calm, but with disgust. / SinisterSmile",DLC04MQ02DisciplesScene01
Scene,SceneDialogue,Custom,,,But I guess training a puppy is way easier than getting us to do what he wants.,"DisciplesLeader: You see, the Disciples don't make empty threats, we make good on them.",Calm but with disgust. / Disgust,DLC04MQ02DisciplesScene01
