CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Topic,PlayerDialogue,Custom,,,"My turn, big guy...",,"playful banter, moving your spouse out of the way to use the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,"Okay, come on...",,"playful banter, moving your spouse out of the way to use the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Such a cute nose.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,As handsome as the day we met.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Ohh... Lookin' good.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,That's the face I fell in love with.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,I love that face.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,You look as good as the day we met.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,So handsome.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Hmm. That's my handsome guy.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Oh. Very strapping.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,There's my strappin' husband.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,My handsome husband.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,So handsome.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,You have such strong cheekbones.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,You have such a strong chin.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,What's... different about you?,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,There's... something different. What is it?,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,"I have the best hairdresser, I swear.",,"commenting to yourself, at the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,"Sweetie, you like my nose, right?",,with your spouse at the mirror,
,,,,,,,,
Topic,PlayerDialogue,Custom,,,I think Shaun has my eyes.,,with your spouse at the mirror,
,,,,,,,,
Topic,PlayerDialogue,Custom,,,That looks nice.,,"referring to yourself, looking in the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Hmm... Yeah. I like that.,,"referring to yourself, looking in the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Not bad. Not bad... At. All.,,"referring to yourself, looking in the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,I still got it.,,"referring to yourself, looking in the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Oh yeah. That works.,,"referring to yourself, looking in the mirror",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Oooh. I like the beard.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,"I wasn't sure, but... I like the beard.",,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,"Hmm. Beard... Okay, I like it.",,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Ooooh. Scruff. Very manly.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Mmmhmm. I like the scruff. It's cute.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,I like the scruff. Accents your chin.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Oooh. Moustache. Very cool.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Hmm. Moustache huh?,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,New hairstyle? I like it.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,I like it. It makes you look... younger.,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Wait. Did you get a haircut yesterday?,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Nice. Did you get a haircut?,,"playful banter, lovingly married for years",
,,,,,,,,
Topic,PlayerDialogue,Custom,,,Nice haircut.,,"playful banter, lovingly married for years",
,,,,,,,,
