CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Preston: Take care, Codsworth.","I'll head for home, then. Good luck.",,,COMPrestonFollowStartScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Good luck, General. I hope you find your son.",,Concerned,
Scene,SceneDialogue,Custom,,,Good riddance. Let's keep movin'.,"OldLongfellow: Up ahead, the air's clean. No Fog.",,DLC03MQ02_0600b_OldLongfellowEscortEnd
Scene,SceneDialogue,Custom,,,"If you're done wastin' time with the fanatic, let's move on.","OldLongfellow: Up ahead, the air's clean. No Fog.",,DLC03MQ02_0600b_OldLongfellowEscortEnd
Scene,SceneDialogue,Custom,,,Good riddance. Let's keep movin'.,,,DLC03MQ02_0650c_PreacherKilled
Scene,SceneDialogue,Custom,,"Player Default: If that's the way you choose to live, that's your affair.","Christ almighty, you've seen better days, haven't ya?.",,Surprise mixed with derision / Surprised,DLC03MQ02_0500a_CompassionLongfellow
Scene,SceneDialogue,Custom,,,Can't imagine livin' with a face like that. Suppose I'll have to help you out of pity.,"OldLongfellow: I can get you to Acadia, but you've got to listen to me. Go where I say. When I say it.","Snarky, good-antured mocking / Thinking",DLC03MQ02_0500a_CompassionLongfellow
Scene,SceneDialogue,Custom,,Player Default: You should come with me. I can still use your help.,"Hm. Alright, why the hell not. Beats drinkin' alone.",,"Thinking it over, then warming up to the player, making a joke / Friendly",DLC03MQ02_0700_LongfellowEnd
Scene,SceneDialogue,Custom,,Player Default: I can handle things from here.,Good luck in there. And I'm serious about the offer.,,"Measured, halfway between neutral and friendly, admiration / Neutral",DLC03MQ02_0700_LongfellowEnd
Scene,SceneDialogue,Custom,,,"You ever want to hunt the forests and waters of the island together, I could think of worse things to do.",,Neutral,DLC03MQ02_0700_LongfellowEnd
Scene,SceneDialogue,Custom,,"Player Default: Maybe later, Longfellow.","All right, but I'm serious about the offer.",,"With respect, almost friendly / Neutral",DLC03MQ02_0700_LongfellowEnd
Scene,SceneDialogue,Custom,,,"You ever want to hunt the forests and waters of the island together, I could think of worse things to do.",,,DLC03MQ02_0700_LongfellowEnd
Scene,SceneDialogue,Custom,,Player Default: Leaving already? Don't you want to see what happens next?,You sayin' you want me to stick around an' watch your back?,Player Default: You should come with me. I can still use your help.,Intrigued / Neutral,DLC03MQ02_0700_LongfellowEnd
Scene,SceneDialogue,Custom,,"ChildrenPreacher: Stringing one more soul to their damnation, old man?","Well, what have we here? Another rad-worshippin' lunatic, that's what.",ChildrenPreacher: Your barbs do not harm me. I am shielded by my faith.,"Derisive, hostile / Disgust",DLC03MQ02_0650a_ChildrenLongfellow
Scene,SceneDialogue,Custom,,ChildrenPreacher: Your barbs do not harm me. I am shielded by my faith.,"How 'bout bullets? Faith shield ya against those, too?","Player Default: Let's just settle down, OK?",Irritated,DLC03MQ02_0650a_ChildrenLongfellow
Scene,SceneDialogue,Custom,,"Player Default: Let's just settle down, OK?",You're right. Waste of ammo.,"ChildrenPreacher: Do not sully this one with your blasphemy, old man.",,DLC03MQ02_0650a_ChildrenLongfellow
Scene,SceneDialogue,Custom,,"Player Default: Go ahead and shoot her, then.",She ain't worth wastin' ammo on. Too bad I left my huntin' knife at home.,"ChildrenPreacher: Do not sully this one with your blasphemy, old man.",,DLC03MQ02_0650a_ChildrenLongfellow
Scene,SceneDialogue,Custom,,Player Default: Sounds like none of my business.,Lucky for you.,"ChildrenPreacher: Do not sully this one with your blasphemy, old man.",,DLC03MQ02_0650a_ChildrenLongfellow
