CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,"I'm Stockton. You've heard of Old Man Stockton, yes?",,,
Miscellaneous,Miscellaneous,Hello,,,I run three caravans that travel throughout the Commonwealth.,,,
Miscellaneous,Miscellaneous,Hello,,,"You ever buy anything from Goodneighbor or Diamond City? Odds are, it's been delivered by my men.",,,
Miscellaneous,Miscellaneous,Hello,,,"If you ever find yourself needing to buy or sell something, especially in bulk, talk to one of my employees in the market.",,,
Miscellaneous,Miscellaneous,Hello,,,"You look thirsty. Enjoy an iced cold Nuka-Cola on me, friend.",,,
Miscellaneous,Miscellaneous,Hello,,,I hope you find your visit here profitable.,,,
Scene,SceneDialogue,Custom,,NPCMOldManStockton: Thank you for saving Amelia.,But right now is a perilous time for any Railroad agents.,"OldManStockton: I'm leaving the Commonwealth, and I recommend you do, as well.","Rushed, intense / Afraid",MS17_600c_StocktonTurnInDeadRailroad
Scene,SceneDialogue,Custom,,OldManStockton: But right now is a perilous time for any Railroad agents.,"I'm leaving the Commonwealth, and I recommend you do, as well.",,"Scared, warning to someone he respects / Afraid",MS17_600c_StocktonTurnInDeadRailroad
Scene,SceneDialogue,Custom,,NPCMOldManStockton: There you are. You're the one that rescued my Amelia.,From what she told me it sounds just... horrible. Just horrible.,Player Default: Happy to help.,"Can't imagine it, sounds concerned for his daughter / Sad",MS17_600a_StocktonTurnIn
Scene,SceneDialogue,Custom,,Player Default: Happy to help.,Here's your amply deserved reward.,"OldManStockton: I had hired a mercenary to do the job, but clearly I should've hired you instead, eh? Thank you.",Happy to give it / Grateful,MS17_600a_StocktonTurnIn
Scene,SceneDialogue,Custom,,Player Default: Amelia said something about a reward.,"Of course she did. And you'll be paid, never you fear.","OldManStockton: I had hired a mercenary to do the job, but clearly I should've hired you instead, eh? Thank you.",Happy to give it,MS17_600a_StocktonTurnIn
Scene,SceneDialogue,Custom,,"Player Default: Well, she's safe now.",Here's your amply deserved reward.,"OldManStockton: I had hired a mercenary to do the job, but clearly I should've hired you instead, eh? Thank you.",Happy to give it / Grateful,MS17_600a_StocktonTurnIn
Scene,SceneDialogue,Custom,,Player Default: Doctor Chambers said Amelia was a synth. Is that true?,Is that what they said? That whole Compound sounds... insane. Amelia's my daughter and that is that.,,Sounds shocked - but he's so suave it's hard to tell if he's acting (he is) / Sad,MS17_600a_StocktonTurnIn
Scene,SceneDialogue,Custom,,,"You've helped my family out dearly and for that, you deserve a reward.","OldManStockton: I had hired a mercenary to do the job, but clearly I should've hired you instead, eh? Thank you.",Happy to give it / Grateful,MS17_600a_StocktonTurnIn
