CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: I don't have any requests.,"Better for the both of us. Unless you like waiting, of course.",,"Friendly, relieved / Friendly",Vault81OldRusty
Scene,SceneDialogue,Custom,,,"Mister DeLuca has good intentions, but let's just say his ability to prioritize is a bit lacking.",,"Friendly, gossipy / Neutral",Vault81OldRusty
Scene,SceneDialogue,Custom,,,I believe it has something to do with his sobriety.,Player Default: Sounds like a typical boss to me.,Curious / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,Player Default: This Vault is a mess.,"I couldn't agree more, but believe me, it's not from lack of trying.",,"Gossipy tone, feeling is mutual. / Conspiratorial",Vault81OldRusty
Scene,SceneDialogue,Custom,,,If only Mister DeLuca would allow me to assist with general maintenance and cleanliness more often.,,Making friendly conversation. / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,,"But I believe he prefers to keep me reserved for his own needs, and those of his sister, of course.",Player Default: Sounds like a typical boss to me.,Friendly / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,Player Default: So you're programmed for Vault maintenance.,An astute observation.,,Matter of fact / Neutral,Vault81OldRusty
Scene,SceneDialogue,Custom,,,"I assist Mister DeLuca with reactor maintenance, tending to the heart of the Vault.",,Friendly explanation of his job. / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,,He prefers to supervise while giving me the privilege of fulfilling the tasks.,Player Default: Sounds like a typical boss to me.,Friendly / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,Player Default: Staying pretty busy these days?,Quite so. Mister DeLuca has made it his life's work to occupy my time.,,Answering a question / Neutral,Vault81OldRusty
Scene,SceneDialogue,Custom,,,"Not only do I specialize in reactor maintenance, but now I am trained in doing his laundry, fetching libations, and generally picking up after him.",Player Default: Sounds like a typical boss to me.,Friendly / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,Player Default: Sounds like a typical boss to me.,"It's a relief to hear you say so. Compared to his predecessor, Mister DeLuca has very little mechanical knowledge.",,Relieved / Relieved,Vault81OldRusty
Scene,SceneDialogue,Custom,,,"I almost thought him unqualified, but when it comes to delegation, he's top notch.",,Gossiping / Conspiratorial,Vault81OldRusty
Scene,SceneDialogue,Custom,,Player Default: Mister DeLuca sounds like he prefers slacking off to actual work.,"Ah yes, I've heard those very words repeated by several citizens of the Vault. However, they should be grateful.",,Friendly gossiping / Friendly,Vault81OldRusty
Scene,SceneDialogue,Custom,,,"Mister DeLuca's knowledge of reactors is limited at best. It's really better he remains ""hands off"".",,Friendly gossiping / Friendly,Vault81OldRusty
