CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Oswald: I'll gather what remains of my friends and we'll leave this place in your care.,"Don't worry about the radiation, it will no longer be a burden to you and your kind.",,,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"Here, you should have this. Consider it an apology for misjudging you.",Oswald: Farewell.,Apologetic,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Oswald: Here, you should have this. Consider it an apology for misjudging you.",Farewell.,,Somber,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"I'll admit, I didn't think you'd make it this far.","Oswald: I can tell you're different than the usual invaders, so I'll not bother with the usual tricks and illusions I use to scare off the superstitious.",Impressed,DLC04_KiddieKingdomShowNew
Scene,SceneDialogue,Custom,,"Oswald: I'll admit, I didn't think you'd make it this far.","I can tell you're different than the usual invaders, so I'll not bother with the usual tricks and illusions I use to scare off the superstitious.",,Conspiratorial,DLC04_KiddieKingdomShowNew
Scene,SceneDialogue,Custom,,,"When the bombs fell, everything changed.",Oswald: We changed.,Happy,DLC04_KiddieKingdomShowNewB
Scene,SceneDialogue,Custom,,"Oswald: When the bombs fell, everything changed.",We changed.,Oswald: And somehow I received a gift. Actual magic. The stuff of legends. Perhaps you'd like to see some?,Emphasis on WE. Referring to him and his ghoul friends / Somber,DLC04_KiddieKingdomShowNewB
Scene,SceneDialogue,Custom,,Oswald: We changed.,And somehow I received a gift. Actual magic. The stuff of legends. Perhaps you'd like to see some?,Oswald: Up!,Question,DLC04_KiddieKingdomShowNewB
Scene,SceneDialogue,Custom,,Oswald: And somehow I received a gift. Actual magic. The stuff of legends. Perhaps you'd like to see some?,Up!,"Oswald: No matter what you do, I can heal my friends, and we will protect what is ours.","Huge emphasis, this is essentially casting a spell to raise your ghoul friends back to life. May even be processed by the theater sound system. / Defiant",DLC04_KiddieKingdomShowNewB
Scene,SceneDialogue,Custom,,Oswald: Up!,"No matter what you do, I can heal my friends, and we will protect what is ours.",,SinisterSmile,DLC04_KiddieKingdomShowNewB
Scene,SceneDialogue,Custom,,"Player Default: You're wrong! Rachel is going to find a way to cure them, we're going to fix this!",My beloved left this place years ago to find a cure to this disease.,,Stern,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"In return, I swore that I'd keep our people safe by defending our home.",,Somber,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"When Rachel walks back through those gates with the cure in hand, then you'll see, everyone will see, that I was right!","Player Default: Rachel's dead. Here, she left this for you.",Defiant,DLC04_KiddieKingdomRoof
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Well that does it, then. It's up to me to leave here and find the cure myself.",I'll gather what remains of my friends and we'll leave this place in your care.,"Oswald: Don't worry about the radiation, it will no longer be a burden to you and your kind.",Neutral,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Oswald: You Raiders are all the same. You come into someone's home, steal their belongings and kill those they care about.","I'm not going to let you kill any more of my friends. This is our home, not yours.",Player Default: I'm not your enemy. This can end without bloodshed.,Stern,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Player Default: You come here, attack my friends, try to steal our home and have the gall to claim you aren't my enemy?","We've defended this place for over 200 years. Do you think you're the first outsider I've met that's chosen to brand ""feral"" ghouls as monsters?",,Defiant,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,How many of them have you needlessly slaughtered while ignorantly thinking you're doing the world a favor?!,"Player Default: Ghouls like your friends, it's too late for them. The radiation changed them forever.",Disgust,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Player Default: Ghouls like your friends, it's too late for them. The radiation changed them forever.",So you're admitting my friends are sick and yet you try to kill them anyway?,,Disbelief,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,I'd say that makes you the only monster around here.,"Player Default: Ghouls like your friends, it's too late for them. The radiation changed them forever.",Disgust,DLC04_KiddieKingdomRoof
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Ghouls like your friends, it's too late for them. The radiation changed them forever.","You're wrong! Rachel is going to find a way to cure them, we're going to fix this!",Oswald: My beloved left this place years ago to find a cure to this disease.,Angry,DLC04_KiddieKingdomRoof
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'm done talking. Let's just get this over with.,"Fine, I've been looking forward to making you disappear.",Oswald: My beloved left this place years ago to find a cure to this disease.,SinisterSmile,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,Player Default: There's no point in arguing anymore. Just leave!,"Perhaps I would leave, but I made a promise to keep this place safe until my Rachel finds the cure.",Oswald: My beloved left this place years ago to find a cure to this disease.,Tired,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,Player Default: You've been here for 200 years? Why?,"We worked here as entertainers until the bombs fell. The radiation may have changed us, but we decided to make this place our home.",,Suspicious,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"Over time, the illness took the minds of my friends... and those that we love.",,Tired,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"I am going to find a cure, and fix my friends before someone like you comes along and exterminates us all.","Player Default: Ghouls like your friends, it's too late for them. The radiation changed them forever.",Defiant,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Player Default: Rachel's dead. Here, she left this for you.",She's dead? No... no... my poor Rachel.,,Sad,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,How could I allow her to leave my side on such a difficult journey alone? This is all my fault.,,Sad,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"Well that does it, then. It's up to me to leave here and find the cure myself.",Oswald: I'll gather what remains of my friends and we'll leave this place in your care.,Confident,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Player Default: Rachel's dead. Here, she left this for you.",Maybe you're right.,,Thinking,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"If Rachel is still out there, I'll find her and we'll search for this cure together.",Oswald: I'll gather what remains of my friends and we'll leave this place in your care.,Relieved,DLC04_KiddieKingdomRoof
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Rachel's dead. Here, she left this for you.",No! You're wrong!,,Angry,DLC04_KiddieKingdomRoof
Miscellaneous,Miscellaneous,SharedInfo,,,I'm tired of this debate and I refuse to have your presence here threaten us any longer!,Oswald: I'll gather what remains of my friends and we'll leave this place in your care.,Irritated,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,Player Default: It's obvious she thinks you're a lunatic and left you behind.,How dare you say that about her! You'll pay for that with your life!,Oswald: I'll gather what remains of my friends and we'll leave this place in your care.,Angry,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,"Player Default: I promise you, there is no cure. You'd be better off trying to find her so you can be together.","You're wrong. There is a cure, there has to be. But... maybe she needs my help.",,Stern,DLC04_KiddieKingdomRoof
Scene,SceneDialogue,Custom,,,"If Rachel is still out there, I'll find her and we'll search for this cure together.",Oswald: I'll gather what remains of my friends and we'll leave this place in your care.,Thinking,DLC04_KiddieKingdomRoof
