CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,Warning: this unit is suffering from fragmented memory system. Computational abilities may be compromised.,,,
Miscellaneous,Miscellaneous,Greeting,,,"Core functionality on this unit is still available, but primary directives have been altered. Proceed with caution.",,,
Miscellaneous,Miscellaneous,Greeting,,,System reformat initiated by unit designated as Quinlan is in progress. Estimated time of completion is unknown.,,,
Miscellaneous,Miscellaneous,Greeting,,,This unit is currently attempting to interface with Prydwen central computer. Handshake accepted... data transfer in progress.,,,
Miscellaneous,Miscellaneous,Greeting,,,"Warning: functionality change is now in effect. New directive: Serve the Brotherhood of Steel, serve Elder Maxson.",,,
Miscellaneous,Miscellaneous,Greeting,,,Master override complete. All data pertaining to Railroad has been uploaded to Prydwen central computer.,,,
Miscellaneous,Miscellaneous,Greeting,,,"Unable to comply with command ""transfer prediction algorithms to central computer."" Conclusion: error in interface functionality.",,,
Miscellaneous,Miscellaneous,Greeting,,,"Scanning memory. Error detected in block 178, sector 45. This unit is now in self-correction and maintenance mode.",,,
Miscellaneous,Miscellaneous,Greeting,,,"Quinlan parse error. Unfamiliar syntax ""useless pile of rusty scrap"" logged for future translation.",,,
Miscellaneous,Miscellaneous,Greeting,,,New directive accepted. Synth units are a rogue element and must be eliminated at all costs. Conclusion: destroy on sight.,,,
Miscellaneous,Miscellaneous,Greeting,,,New directive accepted. Super Mutants are abominations of science and must be eliminated at all costs. Conclusion: kill on sight.,,,
Miscellaneous,Miscellaneous,Greeting,,,New directive accepted. Feral ghouls are an infestation and must be exterminated. Conclusion: kill on sight.,,,
Miscellaneous,Miscellaneous,Greeting,,,Prydwen central computer storage has insufficient memory for all of this unit's functions. Conclusion: this unit should remain online indefinitely.,,,
Miscellaneous,Miscellaneous,Greeting,,,Warning: kicking this unit in the leg will not increase computational speed. Conclusion: suggest Proctor Quinlan use alternate method.,,,
Miscellaneous,Miscellaneous,Greeting,,,Improvement detected: This unit has enhanced Prydwen navigational efficiency by 17 percent.,,,
Miscellaneous,Miscellaneous,Greeting,,,Improvement detected: This unit has enhanced battlefield tactics efficiency by 38 percent.,,,
Miscellaneous,Miscellaneous,Greeting,,,Improvement detected: This unit has enhanced vertibird flight model capability by 22 percent.,,,
Miscellaneous,Miscellaneous,Greeting,,,Improvement detected: This unit has enhanced communications encryption capabilities by 45 percent.,,,
Miscellaneous,Miscellaneous,Greeting,,,Improvement detected: This unit has enhanced recipe quality by 65 percent. Mess hall induced sicknesses reduced by 33 percent.,,,
Miscellaneous,Miscellaneous,Greeting,,,This unit is occupied. Please stand by.,,,
Miscellaneous,Miscellaneous,Greeting,,,This unit is in power-saver mode. Please stand by.,,,
Miscellaneous,Miscellaneous,Greeting,,,Warning: long-term calculation in progress. Please return later.,,,
Miscellaneous,Miscellaneous,Greeting,,,Warning: voice interface shutting down. Please return later.,,,
