CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Whuh. Where am I...?,"Now, now, now. How are the subject's vitals?",Player Default: A little unsteady but within-,"""Shh"" in her tone to the first. Barking an order to a subordinate",MS17aProcessingRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: &lt;zot&gt; Son of a bitch. Do that- &lt;zot&gt;,"I will only say this once: speak only when spoken to. Please, continue.",Player Default: The subject is ready for base line testing.,"Said with malice to the subject, then talking casually with her assistant",MS17aProcessingRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: The subject is ready for base line testing.,Subject. Answer the questions quickly and with what first comes to mind.,,Barking an order,MS17aProcessingRoomHolotape
Scene,SceneDialogue,Custom,,,"You are approached by a frenzied scientist, who yells, ""I'm going to put my quantum harmonizer in your photonic resonation chamber!"" What's your response?",Player Default: Is that? That SAFE test? &lt;zot&gt;,Said clinically and carefully - emphasize a couple words carefully,MS17aProcessingRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: Is that? That SAFE test? &lt;zot&gt;,Answer the question.,Player Default: I-I don't know. I don't know science stuff. I... ignore him.,"Firm, irritated",MS17aProcessingRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: I-I don't know. I don't know science stuff. I... ignore him.,"Ignore him, you say? Fascinating.",,"Considering, darkly pleased",MS17aProcessingRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: Please... I've got a kid. I've...,Do you want another treatment?,Player Default: No.,Dark promise - referring to shocking him,MS17bTortureRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: No.,So. Again. Congratulations! You made it onto a baseball team! Which position do you prefer?,Player Default: I've already told you. Catcher.,"Barking an order at the beginning, then the question is asked very precisely",MS17bTortureRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: I've already told you. Catcher.,Again. Which position?,"Player Default: Catcher, I'd be the Catcher.",Firm,MS17bTortureRoomHolotape
Scene,SceneDialogue,Custom,,"Player Default: Catcher, I'd be the Catcher.",Why?,Player Default: I... I don't know. They got the funny... the funny helmets. I saw a picture when I was a kid.,Pondering,MS17bTortureRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: I... I don't know. They got the funny... the funny helmets. I saw a picture when I was a kid.,Do synths even know the rules of baseball?,"Player Default: No. Please, I'm not a... Just let me... &lt;zot&gt;",Hmmm at the beginning. Thinking aloud.,MS17bTortureRoomHolotape
Scene,SceneDialogue,Custom,,"Player Default: No. Please, I'm not a... Just let me... &lt;zot&gt;",Just answer the questions and only the questions. Congratulations! You made it onto a baseball team! Which position do you prefer?,Player Default: Catcher.,"Very stern, then carefully asking questions",MS17bTortureRoomHolotape
Scene,SceneDialogue,Custom,,,Confidence on Subject 12 is high. We'll know for certain post mortem.,Player Default: And any progress on Question 3?,Giving an update,MS17cDebriefRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: And any progress on Question 3?,None. The EKG shows nothing unexpected. The answers are too damned predicatable.,Player Default: You've made your opinions quite clear on the value of Question 3. Removing it could invalidate all the data we've accumulated to date.,"Delivering a report, and then brining up on an old argument",MS17cDebriefRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: Moving on. Question 4. The data on this is fascinating. Why does baseball have the highest degree of correlation? Even more than question 8.,Our metholodology was exhaustive. Subject 12's answers in regards to baseball and his childhood were particularly fascinating. See here. And here.,Player Default: I wonder. Do they play baseball in the Institute? Or is there some sort of defect in their programming?,"Proud of her research, showing different charts to her boss",MS17cDebriefRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: I wonder. Do they play baseball in the Institute? Or is there some sort of defect in their programming?,We need another failure to explore this further. We can do nothing more with Subject 12 except final processing.,Player Default: I'll let the reclamation team know.,Insistent,MS17cDebriefRoomHolotape
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Very well.,,,DoctorGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Fine.,,,DoctorGreetScene
