CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Bottoms up...,,selling drinks,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here's the menu...,,selling drinks,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Cheers...,,selling drinks,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Plenty on tap.,,selling drinks,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here's what we got.,,selling drinks,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"All right, then.",,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Well, we're always open...",,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Gotcha.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Let me know if that changes.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Some other time.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Take as much time as you need.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Not a problem.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Later, then.",,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,All right.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Okay. Let me know.,,,PaulVendorScene
Scene,SceneDialogue,Custom,,Player Default: You look good Paul. How are you?,"Let me tell ya, it's like I finally woke up, you know? You helping me out. It turned everything around.",,"chipper, upbeat",PaulVendorScene
Scene,SceneDialogue,Custom,,,Now how about a drink?,"PaulPembroke: Let me tell ya, it's like I finally woke up, you know? You helping me out. It turned everything around.",,PaulVendorScene
Miscellaneous,Miscellaneous,Greeting,,,Feels good to be here. Like I'm finally where I belong. Now what'll it be?,Player Default: Let's see what you've got.,"now owner of the Colonial Taphouse, chipper, upbeat",PaulVendorScene
Miscellaneous,Miscellaneous,Greeting,,,"You drinking, friend?",Player Default: Let's see what you've got.,"now owner of the Colonial Taphouse, chipper, upbeat",PaulVendorScene
Miscellaneous,Miscellaneous,Greeting,,,What's your poison?,Player Default: Let's see what you've got.,"now owner of the Colonial Taphouse, chipper, upbeat",PaulVendorScene
Miscellaneous,Miscellaneous,Greeting,,,You're always welcome here. What'll it be?,Player Default: Let's see what you've got.,"now owner of the Colonial Taphouse, chipper, upbeat",PaulVendorScene
Miscellaneous,Miscellaneous,Greeting,,,Let me pour you a glass.,Player Default: Let's see what you've got.,"now owner of the Colonial Taphouse, chipper, upbeat",PaulVendorScene
Miscellaneous,Miscellaneous,Hello,,,Come to laugh at a man down on his luck? Huh?,,"private, quiet, glum",
Miscellaneous,Miscellaneous,Hello,,,Leave me alone. Not looking to make friends.,,"private, quiet, glum",
Miscellaneous,Miscellaneous,Hello,,,"Get a long day of work ahead of me, if I'm lucky, so beat it.",,"private, quiet, glum",
Miscellaneous,Miscellaneous,Hello,,,You're bothering me.,,"private, quiet, glum",
Miscellaneous,Miscellaneous,Hello,,,Got my own problems.,,"private, quiet, glum",
Scene,SceneDialogue,Custom,,,You son of a bitch!,"DarcyPembroke: Don't hurt him, Henry!",taking a swing at your wife's lover / Angry,MS13IntroFightScene
Scene,SceneDialogue,Custom,,"HenryCooke: There's no plausible way I could explain to Marowski how I wasn't involved in this - unless I ""die"" here along with everyone else.",Just like that? You're leaving town and never coming back?,HenryCooke: Yeah. You won't be able to blame me for all your problems any more.,Surprised,MS13DivideSpoilsCooke
Scene,SceneDialogue,Custom,,"HenryCooke: Trust me, Paul. This is all going to work out for the best.",We'll see. You better not be trying to screw me over again.,"HenryCooke: Jesus, Paul. Why would you think that?",Suspicious,MS13CTravelChatterCookePaul
Scene,SceneDialogue,Custom,,"HenryCooke: Jesus, Paul. Why would you think that?","I know you and Malcolm have been laughing at me for years. ""Poor Paul, why's he such a screw up at everything.""",HenryCooke: What? No. Of course not. I thought we were friends.,Disgust,MS13CTravelChatterCookePaul
Scene,SceneDialogue,Custom,,HenryCooke: What? No. Of course not. I thought we were friends.,"Yeah, so did I.","HenryCooke: Okay, I deserve that. But you've got it all wrong. This whole thing with Darcy... like I said... it just happened. It wasn't about you, Paul.",bitterly / Depressed,MS13CTravelChatterCookePaul
Scene,SceneDialogue,Custom,,"HenryCooke: Okay, I deserve that. But you've got it all wrong. This whole thing with Darcy... like I said... it just happened. It wasn't about you, Paul.",I don't want to talk about it any more.,HenryCooke: Whatever you want.,bitterly / Depressed,MS13CTravelChatterCookePaul
Scene,SceneDialogue,Custom,,,We need to talk.,"PaulPembroke: It's time for you to shut up and listen, Cooke.",Angry,MS13BConfrontCooke
Scene,SceneDialogue,Custom,,,This looks like it. That's Nelson Latimer talking to that ghoul.,"PaulPembroke: Why don't you work your way around these buildings to get a good angle on them. I'll wait for the shooting to start, then join in from here.",quietly - you don't want your voice to carry / Nervous,MS13CAmbushPaul
Scene,SceneDialogue,Custom,,PaulPembroke: This looks like it. That's Nelson Latimer talking to that ghoul.,"Why don't you work your way around these buildings to get a good angle on them. I'll wait for the shooting to start, then join in from here.",Player Default: Sounds good.,Nervous,MS13CAmbushPaul
Scene,SceneDialogue,Custom,,Player Default: You first. I'll back you up.,"God dammit, really? Fine. But you better back me up or this isn't going to be much of an ambush.",,quietly - you don't want your voice to carry / Worried,MS13CAmbushPaul
Scene,SceneDialogue,Custom,,Player Default: You first. I'll back you up.,"No way. There's too many of them for me to take on alone. When you're ready, start shooting and I'll back you up.",,quietly - you don't want your voice to carry / Worried,MS13CAmbushPaul
Scene,SceneDialogue,Custom,,Player Default: What about Nelson?,If he's smart he'll get the hell out of here when the shooting starts. If he's not... too bad for him.,,with a shrug - you don't care what happens to Nelson / Neutral,MS13CAmbushPaul
Scene,SceneDialogue,Custom,,,"Now, are we all set?",Player Default: Sounds good.,Question,MS13CAmbushPaul
Miscellaneous,Miscellaneous,SharedInfo,,,"Great. Then you take the money from Nelson, I'll take the chems and we'll call it even.",,Happy,MS13EDivideSpoils
Miscellaneous,Miscellaneous,SharedInfo,,,Great. Then we'll each take half the chems.,,Happy,MS13EDivideSpoils
Miscellaneous,Miscellaneous,SharedInfo,,PaulPembroke: You may as well check Cooke's body. He's probably got money. More than I could pay you.,"Hell, I've got to get out of here. You should too. Before someone walks in here and pins this on us.",,suddenly snapping back to reality from your shock at Cooke's death / Worried,MS13BAfterConfrontationPaul
Scene,SceneDialogue,Custom,,PlayerVoiceFemale01: Cooke won't be bothering Darcy any more.,Good! I knew you could handle him.,"PaulPembroke: Oh, and I managed to scrape together what I promised. Here. It was worth it to get Darcy back.",Grateful,MS13BPaulAlone
Scene,SceneDialogue,Custom,,Player Default: Yeah. I ended up having to kill him.,"Oh. Wow. Well... I guess he had it coming, right?",,Worried,MS13BPaulAlone
Scene,SceneDialogue,Custom,,,Bastard should have thought of that before he started messing around with my wife.,"PaulPembroke: Anyway... thanks for your help. I'll uh, see you around.",Angry,MS13BPaulAlone
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Yeah. I ended up having to kill him.,Okay. I don't care what you had to do. Just as long as he leaves Darcy alone from now on.,"PaulPembroke: Anyway... thanks for your help. I'll uh, see you around.",Defiant,MS13BPaulAlone
Scene,SceneDialogue,Custom,,Player Default: What are you going to do now?,Well... start trying to win Darcy back. This was only step one.,"PaulPembroke: Anyway... thanks for your help. I'll uh, see you around.",Concerned,MS13BPaulAlone
Scene,SceneDialogue,Custom,,PaulPembroke: Good! I knew you could handle him.,"Oh, and I managed to scrape together what I promised. Here. It was worth it to get Darcy back.",PaulPembroke: So... what happened? Did he give you any trouble?,Concerned,MS13BPaulAlone
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Bastard should have thought of that before he started messing around with my wife.,"Anyway... thanks for your help. I'll uh, see you around.",Player Default: Good luck. I hope it all works out.,Nervous,MS13BPaulAlone
Scene,SceneDialogue,Custom,,"PaulPembroke: Oh, and I managed to scrape together what I promised. Here. It was worth it to get Darcy back.",So... what happened? Did he give you any trouble?,Player Default: Yeah. I ended up having to kill him.,Worried,MS13BPaulAlone
Scene,SceneDialogue,Custom,,Player Default: Good luck. I hope it all works out.,Thanks.,,Grateful,MS13BPaulAlone
Scene,SceneDialogue,Custom,,Player Default: Not likely.,Okay. Bye.,,Puzzled,MS13BPaulAlone
Scene,SceneDialogue,Custom,,Player Default: Bye.,"Yeah, good-bye.",,Grateful,MS13BPaulAlone
Scene,SceneDialogue,Custom,,Player Default: Good luck. I hope it all works out.,Thanks.,Player Default: Good. I could use some backup for this. The meet is near the Back Street Apparel building.,Grateful,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,Player Default: Nothing.,Okay. Bye.,Player Default: Good. I could use some backup for this. The meet is near the Back Street Apparel building.,Puzzled,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,Player Default: Bye.,"Uh, okay. Bye.",Player Default: Good. I could use some backup for this. The meet is near the Back Street Apparel building.,Puzzled,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,Player Default: Good. I could use some backup for this. The meet is near the Back Street Apparel building.,I know where that is. Let's go.,,Confident,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,Player Default: I just hope you don't screw this up. The meet is near the Back Street Apparel building. Let's go.,Don't worry. This isn't my first rodeo.,,Irritated,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,Player Default: The meet is near the Back Street Apparel building.,"Right, down along the river. Let's do this.",,Confident,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,Player Default: Note says the meet is near the Back Street Apparel building. You know where that is?,"Oh yeah, down along the river. Come on, let's do this.",,Confident,MS13BPaulAloneChemsDeal
Scene,SceneDialogue,Custom,,,Holy shit.,PaulPembroke: I can't believe it. He's dead.,Suspicious,MS13BAfterConfrontationPaul
Scene,SceneDialogue,Custom,,PaulPembroke: Holy shit.,I can't believe it. He's dead.,PaulPembroke: You may as well check Cooke's body. He's probably got money. More than I could pay you.,Disbelief,MS13BAfterConfrontationPaul
