CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"Compound? Who said anything about a Compound? You know what, I really am very busy.",,"Nervous, obviously hiding something / Nervous",MS17_200_PennyCompound
Scene,SceneDialogue,Custom,,,"Thank god, we don't. None of those machines are in here.",Player Default: Do you know anything about a missing caravan?,Super judgmental,MS17_200_PennySynths
Scene,SceneDialogue,Custom,,,"Well, I don't know. I'm awfully busy. Make it quick.",Player Default: Do you know anything about a missing caravan?,Nervous / Nervous,MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,,"For you, certainly.",Player Default: Do you know anything about a missing caravan?,Likes the player / Flirting,MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,Player Default: I have to go.,"Well, you take care now.",,Super friendly / Flirting,MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,Player Default: Could you tell me anything about the Compound?,"Oh, thank you for noticing. The men folk would say good old-fashion elbow grease keeps Covenant as the prettiest place in the Commonwealth.",,"Friendly, making a dig at the men",MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,,"But between you and me, I think shrewd trading may play a big part.",Player Default: Do you know anything about a missing caravan?,Giving herself a pat on the back / Conspiratorial,MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,Player Default: Does Covenant have some sort of problem with synths?,Everyone that passes the test is welcome to visit. But we are particular on who can live here.,,Creepy cheery,MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,,And having a positive attitude is important to us.,Player Default: Do you know anything about a missing caravan?,Emphasizes this too much,MS17_200_Penny_QHub
Scene,SceneDialogue,Custom,,,You've been talking to Mr. Dan. I don't know what he's carrying on about.,"PennyFitzgerald: He's just stirring the pot, if you ask me.","Friendly, trying to deflect / Irritated",MS17_200_PennyCaravan
