CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,Tula: I am the rim. The spoke and hub support me.,I am the rim. The spoke and hub support me.,DaraHubbell: We fought a great battle today.,Awed,MS02DaraJunkyardSpeech
Scene,SceneDialogue,Custom,,DaraHubbell: Everyone gather! Form the wheel.,I am the rim. The spoke and hub support me.,"DaraHubbell: The time has come. The Hub's grand plan can enter its next, important phase.",,MS02DaraSpeech
Miscellaneous,Miscellaneous,Hello,,,Dara is outside. You should really talk to her first.,,Neutral,
Miscellaneous,Miscellaneous,Hello,,,Talk to me if you want an alignment.,,Neutral,
Miscellaneous,Miscellaneous,Hello,,,I can just feel the neurodynes flooding your system. You really should get an alignment soon.,,Disgust,
Miscellaneous,Miscellaneous,Idle,,,Don't fall too far behind.,,Concerned,
Scene,SceneDialogue,Custom,,,Let me start up the zeta rays.,"Phil: Okay, locking onto the neurodynes.",Confident,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: Let me start up the zeta rays.,"Okay, locking onto the neurodynes.",,Confident,PhilDoAlignment
Scene,SceneDialogue,Custom,,,There are so many of them! What have you been doing?,Phil: Good. The zeta rays are withering them.,Concerned,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: Let me start up the zeta rays.,Locking onto the neurodynes.,,Confident,PhilDoAlignment
Scene,SceneDialogue,Custom,,,You seem to have gathered almost as many as I removed before.,Phil: Good. The zeta rays are withering them.,Concerned,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: Let me start up the zeta rays.,Neurodynes are locked.,Phil: Good. The zeta rays are withering them.,Confident,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,Good. The zeta rays are withering them.,,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,,"Well, some of them at least.",Phil: And we're done. For now. You'll need many more treatments.,Apologetic,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,You really should be more careful about the company you keep.,Phil: And we're done. For now. You'll need many more treatments.,Concerned,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,The zeta rays are destroying them.,Phil: And we're done. For now. You'll need many more treatments.,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,I like watching them squirm and die.,Phil: And we're done. For now. You'll need many more treatments.,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,These are more active than normal.,,Concerned,PhilDoAlignment
Scene,SceneDialogue,Custom,,,There they go. All gone now.,Phil: And we're done. For now. You'll need many more treatments.,Relieved,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,25 percent... 50 percent... 75 percent... gone.,Phil: And we're done. For now. You'll need many more treatments.,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: There are so many of them! What have you been doing?,They're trying to hide. They know the end is near. There. Gone.,Phil: And we're done. For now. You'll need many more treatments.,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,"Phil: Well, some of them at least.",And we're done. For now. You'll need many more treatments.,Phil: Congratulations! You are now an AHS-1.,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,"Phil: Well, some of them at least.",The process is complete. You are doing quite well.,Phil: Congratulations! You are now an AHS-1.,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: And we're done. For now. You'll need many more treatments.,Congratulations! You are now an AHS-1.,,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,,That stands for Aligned Hub Seeker. You have taken the first step in a long journey.,,Conspiratorial,PhilDoAlignment
Scene,SceneDialogue,Custom,,,Here are your robes.,,Happy,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: And we're done. For now. You'll need many more treatments.,"Well done, AHS-2. Of course you'll need more treatments.",,Impressed,PhilDoAlignment
Scene,SceneDialogue,Custom,,,Neurodynes build up with exposure to infected people.,,Concerned,PhilDoAlignment
Scene,SceneDialogue,Custom,,,That's why we recommend only interacting with other hubologists.,,Concerned,PhilDoAlignment
Scene,SceneDialogue,Custom,,Phil: And we're done. For now. You'll need many more treatments.,You are now officially an AHS-3. Congratulations!,,Impressed,PhilDoAlignment
