CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,Wait. That's what baseball was like? Really?,Moe: ... I like my version better.,Honestly confused. / Puzzled,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",Oh my god. That sounds...,,Shocked by the brutality of a story the player is telling. / Surprised,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,,Wait a minute...,Moe: ... I like my version better.,Realizing the player is pulling her leg. / Amused,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.",Huh. Sounds almost elegant. You sure that's baseball?,Moe: ... I like my version better.,Puzzled,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: No, that's not what I mean. We're not just closed for the day. We're closed permanently. The detective's gone missing.",Nicky's missing? What has he gotten himself into this time?,"Player Default: Don't worry, I can help. Tell me what happened.",you and Nick are friends / Worried,EllieGreetScene
Miscellaneous,Miscellaneous,SharedInfo,,,Then it's settled! Let's head out and see how the Commonwealth and you collide.,,,
Miscellaneous,Miscellaneous,Hello,,,"Mayor McDonough's finally gone, and people know the truth. Not bad, Blue.",,Mayor McDonough was outted as a Synth and is now either dead or gone,
Miscellaneous,Miscellaneous,Hello,,,"Thanks again for sharing your story, Blue. I'll make sure no one forgets what happened.",,player told you how he was frozen in a Vault and lost his family,
Miscellaneous,Miscellaneous,Hello,,,Talk to Nick Valentine. He'll help you find your son. He's got a way with hard luck cases.,,you told the player that Nick Valentine could help him,
Miscellaneous,Miscellaneous,Hello,,,"The great, green jewel. Diamond City is a place where everyone knows everyone, and no one talks to anyone.",,Amused,
Miscellaneous,Miscellaneous,Hello,,,"Get used to this town. For all its faults, everything comes here or leaves here.",,Amused,
Miscellaneous,Miscellaneous,Hello,,,"You can't stop the press. Oh, but they try. They try...",,Amused,
Miscellaneous,Miscellaneous,Hello,,,"A bit busy. I'll talk to you later, Blue.",,,
Scene,SceneDialogue,Custom,,"TicketTakerAlias: I'm sorry, but Mayor McDonough's really steamed, Piper. Sayin' that article you wrote was all lies. The whole city's in a tizzy.","Agh... You open this gate right now, Danny Sullivan! I live here. You can't just lock me out! *sigh*","PiperAlias: Open this gate, right now!","frustrated, indignant shouting at a speakerphone",01DmndIntroSceneLong
Scene,SceneDialogue,Custom,,"PiperAlias: Agh... You open this gate right now, Danny Sullivan! I live here. You can't just lock me out! *sigh*","Open this gate, right now!",,shouting at a loudspeaker,01DmndIntroSceneLong
Scene,SceneDialogue,Custom,,"PiperAlias: Agh... You open this gate right now, Danny Sullivan! I live here. You can't just lock me out! *sigh*","Damn it, Danny, open up!",,shouting at a loudspeaker,01DmndIntroSceneLong
Scene,SceneDialogue,Custom,,"PiperAlias: Agh... You open this gate right now, Danny Sullivan! I live here. You can't just lock me out! *sigh*","I know you're listening, Danny! Open the gate.",,shouting at a loudspeaker,01DmndIntroSceneLong
Scene,SceneDialogue,Custom,,"PiperAlias: Agh... You open this gate right now, Danny Sullivan! I live here. You can't just lock me out! *sigh*","I can wait all day, Danny. Open up!",,shouting at a loudspeaker,01DmndIntroSceneLong
Scene,SceneDialogue,Custom,,"PiperAlias: Agh... You open this gate right now, Danny Sullivan! I live here. You can't just lock me out! *sigh*",Open uuuup!,,shouting at a loudspeaker,01DmndIntroSceneLong
Miscellaneous,Miscellaneous,SharedInfo,,,"You. You want into Diamond City, right?","Player Default: I just got here, but yeah.","opportunistic, confident",04PiperIntroScene1
Miscellaneous,Miscellaneous,SharedInfo,,,Better head inside quick before ole' Danny catches on to the bluff.,Player Default: Sounds good. Let's go.,(VOICE -- matter-of-fact),06PiperIntroScene3
Miscellaneous,Miscellaneous,SharedInfo,,,Why don't we ask the newcomer? You support the news? 'Cause the mayor's threatening to throw free speech in the dumpster.,Player Default: Always believed in freedom of the press.,addressing the player,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,"TicketTakerAlias: I got orders not to let you in, Ms. Piper. I'm sorry. I'm just doing my job.","""Just doing your job?"" Protecting Diamond City means keeping me out, is that it? ""Oh look, it's the scary reporter!"" Boo!","TicketTakerAlias: I'm sorry, but Mayor McDonough's really steamed, Piper. Sayin' that article you wrote was all lies. The whole city's in a tizzy.","indignant, sarcastic",01DmndIntroSceneLong
Scene,SceneDialogue,Custom,,Player Default: What newspaper are you talking about?,"Mine. Publick Occurrences, and we're the hard look at the truth. So are you with us or not?",Player Default: Always believed in freedom of the press.,"proud of your paper, and adamant that people support it",08MayorIntroScene2a
