CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Preston: Take care, Codsworth.","I'll head for home, then. Good luck.",,,COMPrestonFollowStartScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Good luck, General. I hope you find your son.",,Concerned,
Scene,SceneDialogue,Custom,,,Anything in here?....,"myActor: Hey, this might be worth your time.",Question,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,"Hey, this might be worth your time.",,Surprised,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,"Nope, just crap in here.",,Surprised,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,"Nope, locked up tight.",,Irritated,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,Got some armor - can't ever have too much of that.,,Surprised,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,"Stims here, boss.",,Surprised,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,"Found some chems, if you want 'em.",,Surprised,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,myActor: Anything in here?....,"Hey boss, got ammo here.",,Surprised,AO_Companion_LoiterSearch_Scene
Scene,SceneDialogue,Custom,,GageTalkingActivator: Tell you what...,"The monorail will take you to Nuka-World. If caps and killing are your thing, I got the offer of a lifetime for you.",GageTalkingActivator: But.... only if you think you can handle it.,SinisterSmile,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,,"Well, well, that wasn't very nice! Killing an innocent man?","GageTalkingActivator: You're one ruthless son-of-a-bitch, aren't you?",Amused,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,"GageTalkingActivator: Well, well, that wasn't very nice! Killing an innocent man?","You're one ruthless son-of-a-bitch, aren't you?",GageTalkingActivator: Tell you what...,Amused,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,"GageTalkingActivator: You're one ruthless son-of-a-bitch, aren't you?",Tell you what...,"GageTalkingActivator: The monorail will take you to Nuka-World. If caps and killing are your thing, I got the offer of a lifetime for you.",Confident,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,"GageTalkingActivator: You're one ruthless son-of-a-bitch, aren't you?",Tell you what. You use that password you got off old Harv to unlock the control terminal in there and power up the Nuka-Express.,"GageTalkingActivator: The monorail will take you to Nuka-World. If caps and killing are your thing, I got the offer of a lifetime for you.",Confident,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,"GageTalkingActivator: You're one ruthless son-of-a-bitch, aren't you?","Tell you what. Old Harv's got a password on him. Take it, and use it to unlock the control terminal and power up the Nuka-Express.","GageTalkingActivator: The monorail will take you to Nuka-World. If caps and killing are your thing, I got the offer of a lifetime for you.",Confident,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,"GageTalkingActivator: The monorail will take you to Nuka-World. If caps and killing are your thing, I got the offer of a lifetime for you.",But.... only if you think you can handle it.,,Taunting. / Amused,DLC04MQ00_800_Gage
Scene,SceneDialogue,Custom,,Player Default: Sounds like fun. Count me in.,That's the spirit.,"DLC04Gage: Now, I'm sure you got a lot of questions, but this ain't the place.",Amused,DLC04MQ01_800_GagePostFightDialogue
Scene,SceneDialogue,Custom,,"Player Default: If this is a trick, I'll make sure you end up like Colter.",See? You're fitting in already.,"DLC04Gage: Now, I'm sure you got a lot of questions, but this ain't the place.",Amused,DLC04MQ01_800_GagePostFightDialogue
