CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,Sounds great. We should bring that back.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",Good lord... you people were savages.,Moe: ... I like my version better.,Disbelief,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.",Sounds complicated.,Moe: ... I like my version better.,Puzzled,MoeGreetSceneBaseball02
Topic,PlayerDialogue,Custom,,,"I'd like to help, but I've got to get these folks somewhere safe first. Come with me to Sanctuary and we'll see what we see.",,Apologetic,
Scene,SceneDialogue,Custom,,"SturgesAlias: Huh. No, that ain't it.","Just folks lookin' for a new home. A fresh start. I've been with 'em since Quincy. Lexington looked good for a while, but the Ghouls drove us outta there. A month ago, there were 20 of us. Yesterday there were 8. Now, we're 5. It's just me, the Longs - Marcy and Jun - that's old Mama Murphy on the couch. And this here's Sturges.",PrestonGarveyAlias: Sturges? Tell him.,like a soldier explaining his current situation / Sad,006SurvivorSceneIntro
Scene,SceneDialogue,Custom,,SturgesAlias: Hey.,"Wow, you really aren't from around here, are you? Ghouls are... irradiated people. Most are just like you and me. They look pretty messed up, and live a long time, but they're still just... people. The ones I'm talking about are different. The radiation's rotted their brains. Made them feral. They'll rip you apart, just as soon as look at you. Anyway, we figured Concord would be a safe place to settle. Those Raiders proved us wrong. But... well, we do have one idea.",PrestonGarveyAlias: Sturges? Tell him.,"a little shocked, you were just asked a question about something everyone knows / Surprised",006SurvivorSceneIntro
Scene,SceneDialogue,Custom,,SturgesAlias: Hey.,"Full-on feral. Radiation completely rotted their brains. We barely made it out alive. Anyway, we figured Concord would be a safe place to settle. Those Raiders proved us wrong. But... well, we do have one idea.",PrestonGarveyAlias: Sturges? Tell him.,"""feral"" references ""Feral Ghouls"", who are rabid monsters",006SurvivorSceneIntro
Scene,SceneDialogue,Custom,,Player Default: My son Shaun's been kidnapped. He's not even a year old.,That's messed up. I'm sorry. I know how this world can be.,"PrestonGarveyAlias: A month ago, there were 20 of us. Yesterday there were 8. Now, we're 5. First it was the Ghouls in Lexington. Now this mess.",Concerned,006SurvivorSceneIntroShaun
Scene,SceneDialogue,Custom,,Player Default: That's my business.,"All right, fine. Forget I asked, but we do need your help.","PrestonGarveyAlias: A month ago, there were 20 of us. Yesterday there were 8. Now, we're 5. First it was the Ghouls in Lexington. Now this mess.",Suspicious,006SurvivorSceneIntroShaun
Scene,SceneDialogue,Custom,,Player Default: Looking for an infant boy. He's been kidnapped.,Yours? Or tracking for someone else? Used to be a lot of families in this group. More than a few missing relatives.,"PrestonGarveyAlias: A month ago, there were 20 of us. Yesterday there were 8. Now, we're 5. First it was the Ghouls in Lexington. Now this mess.",Question,006SurvivorSceneIntroShaun
