CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,Doctor Duff handles all the visitors. Bother her.,,,
Miscellaneous,Miscellaneous,Hello,,,"Despite my recommendations, the city allows anyone to use our equipment. *sigh* Feel free.",,"annoyed, but resigned",
Miscellaneous,Miscellaneous,Hello,,,I'm in the middle of million things. I have to stay focused.,,,
Miscellaneous,Miscellaneous,Hello,,,Please. The research I do here is delicate. Stay out of my way.,,,
Miscellaneous,Miscellaneous,Greeting,,,"I'm glad you returned safely from the Institute, Sentinel.",,Confident,
Miscellaneous,Miscellaneous,Greeting,,,"You did a fine job helping to destroy the Institute, Sentinel.",,Confident,
Miscellaneous,Miscellaneous,Greeting,,,"Sorry, Sentinel... I have quite a few things I must attend to.",,Confident,
Miscellaneous,Miscellaneous,Greeting,,,"As a reward for my service, Elder Maxson allows Doctor Duff to visit me sometimes.",,Friendly,
Miscellaneous,Miscellaneous,Greeting,,,"Hello again, Sentinel. I trust all is well with you.",,Friendly,
Miscellaneous,Miscellaneous,Greeting,,,I've taken over robotic repair duties from Proctor Ingram. It's the least I can do.,,Confident,
Miscellaneous,Miscellaneous,Greeting,,,There's plenty to fix aboard this ship. How did it ever get in such a state?,,Concerned,
Miscellaneous,Miscellaneous,Greeting,,,Proctor Ingram's been kind enough to allow me to stay aboard the Prydwen.,,Friendly,
Miscellaneous,Miscellaneous,Greeting,,,Hopefully I can bring some order to the chaos up here on the Prydwen.,,Concerned,
Miscellaneous,Miscellaneous,Greeting,,,It's much more interesting working up here than scouring the Commonwealth for robot parts.,,Confident,
Scene,SceneDialogue,Custom,,Player Default: I appreciate that.,Proctor? All the readouts look green. I think it's time for you to activate the power transfer.,"BoS301Ingram: Actually, I think I'm going to let you press the button.",Confident,BoS301_11_IngramStage0195
Scene,SceneDialogue,Custom,,,Hm. Where are you going? Was it something I said?,,Suspicious,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"BoS301Li: It would be better if a trained technician performed that task, but I suppose you deserve to be the one to do it.",I'm in total agreement with Proctor Ingram. The honor should belong to you.,,Friendly,BoS301_11_IngramStage0195
Scene,SceneDialogue,Custom,,"BoS301Li: Give him a moment, he needs to adjust to his new configuration.","Give him a moment, he needs to adjust to his new configuration.",BoS301LibertyPrime: Voice module... online. Audio functionality test... initialized.,Confident,BoS301_12_LibertyPrimeStage200
Scene,SceneDialogue,Custom,,"Player Default: Actually, I was looking for you.","Oh! Well, that puts an entirely different spin on everything, doesn't it.",BoS301Scara: My name's Professor Scara.,Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: I'm not leaving until I've spoken to you first.,"I see... well, forgive me for the false assumption.",BoS301Scara: My name's Professor Scara.,Friendly,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: I'm not interested in robots. I came here to find you.,"Hm. Not the answer I expected, but not altogether unexpected at the same time.",,Thinking,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,Perhaps we should start again...,BoS301Scara: My name's Professor Scara.,Friendly,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: Who's private research site?,"Well... mine, of course.",,Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,The General Atomics Galleria is a rare and unique opportunity to study the robot manufacturer's patented Director software system.,,Confident,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"A single master robot controlling a staff of servitor robots which in turn maintain a facility in a self-sufficient manner is... well, remarkable!",,Impressed,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Bah... I've already told you too much. Like I said, if you want to study the system yourself, you're going to have to do it somewhere else.","Player Default: Actually, I was looking for you.",Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"Player Default: Oh! Well, that puts an entirely different spin on everything, doesn't it.",My name's Professor Scara.,,Friendly,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"And in answer to what I expect to be your next question, ""Professor"" is my first name, not my title.",,Friendly,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"The whole thing's rather complicated, perhaps I'll explain it to you sometime.","Companion: I once knew a guy who called himself ""Doctor,"" but he didn't tell me that was his actual name until after the physical examination.",Apologetic,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"BoS301Scara: The whole thing's rather complicated, perhaps I'll explain it to you sometime.","So, now that I've formally introduced myself, perhaps you'd care to tell me why you're here?",Player Default: I've been sent by the Brotherhood of Steel to ask for your help.,Question,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: I've been sent by the Brotherhood of Steel to ask for your help.,"How very interesting. I wasn't aware that you people ever ""asked"" for anything.","BoS301Scara: While I'm flattered that the Brotherhood of Steel would find me useful, I can't help but be wary of your methods and motivations.",Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: Pack your things. You're working for the Brotherhood of Steel now.,Am I? I don't seem to recall agreeing to anything of the sort.,"BoS301Scara: While I'm flattered that the Brotherhood of Steel would find me useful, I can't help but be wary of your methods and motivations.",Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: I've been sent by the Brotherhood of Steel to find you.,That seems rather vague.,"BoS301Scara: While I'm flattered that the Brotherhood of Steel would find me useful, I can't help but be wary of your methods and motivations.",Puzzled,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: Did you know Doctor Duff was looking for you? She's very worried.,Ugh... not this again.,,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Time after time, I've asked Doctor Duff to join me on these trips but she insists on staying behind in case anyone requires a biology lesson.",,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Then, when I return after being gone for more than a few days, she scolds me as if I'm a child.",,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"I swear, that woman acts as though we're married.",,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"*Sigh* Obviously you're not here to bring me a message from Doctor Duff, so why don't you tell me the real reason you've tracked me down.",Player Default: I've been sent by the Brotherhood of Steel to ask for your help.,Suspicious,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"Player Default: How very interesting. I wasn't aware that you people ever ""asked"" for anything.","While I'm flattered that the Brotherhood of Steel would find me useful, I can't help but be wary of your methods and motivations.",,Suspicious,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Perhaps if you were more specific, we could come to some kind of a mutual understanding.",Player Default: We need your expertise to get Liberty Prime back online.,Friendly,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: We need your expertise to get Liberty Prime back online.,Liberty... Prime? Where have I heard that before?,,Thinking,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,Oh... yes... I believe it's some kind of an enormous robot.,,Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Intriguing as it sounds, I'm afraid my work at General Atomics isn't complete.",,Apologetic,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,Perhaps you could come back another time?,Player Default: Maybe this will change your mind.,Question,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: We have some robots that need repairing.,Please don't insult my intelligence. I'm sure that ship of yours has plenty of able-bodied technicians that can fix up your robots.,,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"If they sent you out here to find me, they're looking for something a little more specialized.",,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"So, you want to try again?",Player Default: We need your expertise to get Liberty Prime back online.,Question,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"Player Default: It's classified, but I can tell you that it involves Liberty Prime.",Liberty... Prime? Why does that sound so familiar?,,Thinking,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,Ah! I remember now. I believe it's some kind of an enormous robot.,,Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Well, I'm not sure what types of people you normally deal with, but I certainly won't walk blindly into a situation without all of the details.",Player Default: Maybe this will change your mind.,Concerned,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: You know the Brotherhood of Steel?,"You're joking, right?",,Sarcastic,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Ever since that behemoth you call an airship arrived here, everyone in Diamond City's talking about it.",,Confident,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"The Brotherhood's the biggest thing to hit the Commonwealth since, well... since the Institute set up shop here.",,Confident,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Now, don't avoid the question by changing the subject. Tell me why the Brotherhood's looking for my help.",Player Default: We need your expertise to get Liberty Prime back online.,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: Maybe this will change your mind.,Intriguing.,,Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"So, your technicians must use these to calibrate Liberty Prime's internal power system.",,Surprised,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"It's quite an ingenious little device, but it could use some work.","BoS301Scara: Hmmm... All right, you've got a deal.",Confident,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: We'll just find someone else I suppose.,"Now hold on a moment. If you think you're going to find someone else in the Commonwealth with my level of expertise, you're sorely mistaken.","BoS301Scara: Hmmm... All right, you've got a deal.",Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,Player Default: We'll just find someone else I suppose.,I would advise against that.,,Irritated,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,,"Look, I'm interested, I just don't want to abandon my research here.",Player Default: Maybe this will change your mind.,Confident,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"Player Default: If we wait too long, Liberty Prime will never walk again.",It would be a shame if such a technological marvel went to waste.,"BoS301Scara: Hmmm... All right, you've got a deal.",Thinking,BoS301_05_ScaraStage0060
Scene,SceneDialogue,Custom,,"Player Default: If we wait too long, Liberty Prime will never walk again.",I don't know. I'd really like to get all of my work done here first.,Player Default: Maybe this will change your mind.,Thinking,BoS301_05_ScaraStage0060
