CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,We must find that cure.,,anxious / Worried,
Scene,SceneDialogue,Custom,,Player Default: Bobby DeLuca is on his way here to treat his addiction.,You persuaded him to quit?,,Curious / Question,V81_03_Rachel
Scene,SceneDialogue,Custom,,,Good.,Rachel: I'll be ready for him when he arrives.,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,Player Default: Nothing. Never mind.,Alright then.,Rachel: I'll be ready for him when he arrives.,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,Player Default: I've got a new patient for you. He's on his way to get treated for addiction.,Good.,Rachel: I'll be ready for him when he arrives.,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,Player Default: You've got time for a patient?,Always. We've never been too busy to see someone.,Rachel: I'll be ready for him when he arrives.,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,Player Default: Good.,I'll be ready for him when he arrives.,,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,,Addiction is difficult to overcome without the necessary support.,,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,,He's lucky to have a friend like you.,,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,Player Default: I have a friend who is addicted to chems.,"I have Addictol to treat any chem addiction, should your ""friend"" need it.",Player Default: It's for Bobby DeLuca.,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: I'm looking for some Jet.,I'm sorry. We don't supply chems of that nature to patients.,Player Default: It's for Bobby DeLuca.,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: Never mind. It's nothing.,The medical center is always open should you need assistance.,Player Default: It's for Bobby DeLuca.,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: Do you have chems to treat addiction?,"Yes, I have an adequate supply of Addictol.",,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,,"However, if the patient doesn't want to quit, he or she will just go back to using.",Player Default: It's for Bobby DeLuca.,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: It's for Bobby DeLuca.,"I'm relieved to hear you say so. After the incident, I've seen his symptoms progress rapidly.",,Undertones of relief and then worry. / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,,"If you can bring him here, I'll administer the drug.",,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: I'm just looking for some Jet.,We don't supply chems of that nature.,,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,,Using Jet to treat its own symptoms only encourages the addiction and may lead to overdose.,,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: I'm fine. It really is for a friend.,"Bring your friend by the medical center, then, and I will administer the treatment.",,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,Player Default: What's Addictol? How does it work?,Addictol works both physically and psychologically to remove both the symptoms and the need. It's very effective.,,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,,"Bring your friend here, and I can administer the treatment.",,Matter of fact / Neutral,V81_03_Rachel_Addictol
Scene,SceneDialogue,Custom,,,Bobby? I'm glad you came.,Bobby: I want to get clean.,Friendly,V81_03_RachelAndBobby_End
Scene,SceneDialogue,Custom,,"Bobby: Okay, I'm ready.",Thank you for bringing him.,,Neutral,V81_03_RachelAndBobby_End
Scene,SceneDialogue,Custom,,,I'll take it from here.,,Neutral,V81_03_RachelAndBobby_End
Scene,SceneDialogue,Custom,,,"If you ever need anything, come see me.",,Neutral,V81_03_RachelAndBobby_End
Scene,SceneDialogue,Custom,,Bobby: I want to get clean.,"I can help you, but you're going to have to trust me.",Bobby: Is it going to hurt?,Friendly,V81_03_RachelAndBobby_End
Scene,SceneDialogue,Custom,,Bobby: Is it going to hurt?,You may feel uneasy for a few hours while the Addictol takes effect. But then you'll feel better than you ever have before.,Bobby: Thanks for being honest.,Friendly,V81_03_RachelAndBobby_End
Miscellaneous,Miscellaneous,Greeting,,,Is everything alright? Do you need medical assistance?,Player Default: I have a friend who is addicted to chems.,Inquiring as a doctor. / Question,V81_03_Rachel_Addictol
Miscellaneous,Miscellaneous,Greeting,,,"Welcome to the medical center, traveler. I'm Rachel. Dr. Forsythe's assistant here. Is there something I can help you with?",Player Default: Bobby DeLuca is on his way here to treat his addiction.,Matter of fact / Neutral,V81_03_Rachel
Miscellaneous,Miscellaneous,Greeting,,,You're back. And your friend?,Player Default: Bobby DeLuca is on his way here to treat his addiction.,Matter of fact / Neutral,V81_03_Rachel
Miscellaneous,Miscellaneous,Greeting,,,Good to see you again. Something I can help with today?,Player Default: Bobby DeLuca is on his way here to treat his addiction.,Matter of fact / Neutral,V81_03_Rachel
Scene,SceneDialogue,Custom,,Forsythe: Did you clean the autoclave?,"Yes, Dr. Forsythe. I clean it every day.",Forsythe: And all of my packs are wrapped?,some she has said every day for years / Tired,Forsythe_Rachel_01
Scene,SceneDialogue,Custom,,Forsythe: And all of my packs are wrapped?,"Yes, Dr. Forsythe. I make sure all the packs are sterilized and wrapped every day.",Forsythe: I suppose that will do for now.,something she says every day for years. / Tired,Forsythe_Rachel_01
Scene,SceneDialogue,Custom,,Forsythe: I suppose that will do for now.,I look forward to having this same conversation tomorrow.,Forsythe: What was that?,"muttered, with eye roll / Irritated",Forsythe_Rachel_01
Scene,SceneDialogue,Custom,,Forsythe: What was that?,"Nothing, Dr. Forsythe.",,reassuring him / Amused,Forsythe_Rachel_01
Scene,SceneDialogue,Custom,,,I've cultured the latest samples. The results are in your logbook.,Forsythe: And?,Matter of fact. / Neutral,Forsythe_Rachel_02
Scene,SceneDialogue,Custom,,Forsythe: And?,"Inconclusive. Better than our last trial, but not as good as last week's trial.",Forsythe: Not very promising. Even the serum from last week's trial was of limited value.,Matter of fact. / Neutral,Forsythe_Rachel_02
Scene,SceneDialogue,Custom,,Forsythe: Not very promising. Even the serum from last week's trial was of limited value.,We might have better luck with the next sample.,"Forsythe: You have the patience of a saint, Rachel.",Matter of fact. / Neutral,Forsythe_Rachel_02
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Very well.,,,DoctorGreetScene
