CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Gonna take more than turning some valves to stop the flow of this gas.,"DLC04RedEyeGauntletInterior_XMarker: What's that? Someone lock you in? Just take a nice, deep breath. It'll all be over soon.",SinisterSmile,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,,"Wasting time, vic. Just wasting time...","DLC04RedEyeGauntletInterior_XMarker: What's that? Someone lock you in? Just take a nice, deep breath. It'll all be over soon.",SinisterSmile,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,,Told you those valves were a waste! Look who's still choking down gas.,"DLC04RedEyeGauntletInterior_XMarker: What's that? Someone lock you in? Just take a nice, deep breath. It'll all be over soon.",SinisterSmile,DLC04MQ01_PAGauntletInterior
Miscellaneous,Miscellaneous,SharedInfo,,"DLC04RedEyeGauntletInterior_XMarker: Aw, what? Call me crazy, but I think our vic's got something against fun.","Aw, what? Call me crazy, but I think our vic's got something against fun.",,Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Hell yeah! Looks like our vic's got some unexpected playmates!,"Outsmarted by a monkey! Not our victim's best moment, but unfortunately, not her last!",DLC04RedEyeGauntletInterior_XMarker: Looks like our little vic wised up. Last time we'll see that happen.,Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Hell yeah! Looks like our vic's got some unexpected playmates!,"Outsmarted by a monkey! Not our victim's best moment, but unfortunately, not his last!",DLC04RedEyeGauntletInterior_XMarker: Looks like our little vic wised up. Last time we'll see that happen.,Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,"DLC04RedEyeGauntletInterior_XMarker: Outsmarted by a monkey! Not our victim's best moment, but unfortunately, not her last!",Looks like our little vic wised up. Last time we'll see that happen.,"DLC04RedEyeGauntletInterior_XMarker: Aw, what? Call me crazy, but I think our vic's got something against fun.",Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Time for things to get dangerous. See if she survives what's next!,Hell yeah! Looks like our vic's got some unexpected playmates!,"DLC04RedEyeGauntletInterior_XMarker: Outsmarted by a monkey! Not our victim's best moment, but unfortunately, not her last!",Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Is this some kind of joke? I knew we should have put turrets in there.,Time for things to get dangerous. See if she survives what's next!,DLC04RedEyeGauntletInterior_XMarker: Hell yeah! Looks like our vic's got some unexpected playmates!,Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Is this some kind of joke? I knew we should have put turrets in there.,Time for things to get dangerous. See if he survives what's next!,DLC04RedEyeGauntletInterior_XMarker: Hell yeah! Looks like our vic's got some unexpected playmates!,Announcing player's progress. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,"DLC04RedEyeGauntletInterior_XMarker: Haha! Get in there, sucker. Hope she doesn't forget to feed the Mirelurks!",The hell? Goddamn Derrick. That door's supposed to be boarded up.,DLC04RedEyeGauntletInterior_XMarker: Is this some kind of joke? I knew we should have put turrets in there.,Announcing player's progress. / Irritated,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Haha! Who doesn't love a good explosion!,"Haha! Get in there, sucker. Hope she doesn't forget to feed the Mirelurks!",DLC04RedEyeGauntletInterior_XMarker: The hell? Goddamn Derrick. That door's supposed to be boarded up.,Announcing player's progress. Player fell into a pool filled with Mirelurks. / Amused,DLC04MQ01_PAGauntletInterior
Scene,SceneDialogue,Custom,,DLC04RedEyeGauntletInterior_XMarker: Haha! Who doesn't love a good explosion!,"Haha! Get in there, sucker. Hope he doesn't forget to feed the Mirelurks.",DLC04RedEyeGauntletInterior_XMarker: The hell? Goddamn Derrick. That door's supposed to be boarded up.,Announcing player's progress. Player fell into a pool of Mirelurks. / Amused,DLC04MQ01_PAGauntletInterior
