CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"KenjiNakano: There's no time to waste, you have to go after her!","Wait! Did you find out why she left, detective? Who she was speaking to?",KenjiNakano: What does it matter?,Nervous,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,KenjiNakano: What does it matter?,"Because I know my daughter, and if she didn't tell us where she went, then she had a reason. Don't you want to know if she wants to be found?","KenjiNakano: *sigh* You're right. Detective, did you find any clue to why Kasumi left home?",Nervous,DLC03MQ01_008_FarHarborBranch01
Scene,SceneDialogue,Custom,,Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,"My daughter is strong. Focused, careful. That's how I know she's still alive.",,Concerned,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,,But why would she leave without telling us? Maybe we... No... never mind... I don't want to waste your time...,Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,Thinking,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,It's just that... we've been fighting a lot more. All of us. Ever since Kasumi's grandfather passed away.,,player convinces you to open up / Concerned,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,,"He was the only one that could really... talk to her. Kenji and I don't understand machines, but those two could work together for hours.",,Worried,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,,"She started staying in her grandfather's boathouse late into the night. I thought she was just trying to cope with the loss, but now I wonder what she was up to...",Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,Worried,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,"No, it's nothing. I don't want to distract you, detective.",Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,player fails to convince you to open up / Concerned,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: Tell me about this radio your daughter was working on.,I remember Kasumi was very excited about it. I figured she was secretly trying to make contact with Diamond City or another settlement.,,Worried,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,,"We're pretty isolated out here. She only has us for company, and Kenji can be... overprotective.",Player Default: I'd like to know more about Kasumi. Might shine a light on where she's gone.,Worried,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,Player Default: You and your husband don't seem to agree about why your daughter left.,*sigh* We both want to find her. The world out there isn't a place where you want to be alone.,,Worried,DLC03MQ01_006_MrsNakanoQuestions
Scene,SceneDialogue,Custom,,,But Kenji still sees her swaddled in diapers. He doesn't see a young woman with her own decisions to make.,,Worried,DLC03MQ01_006_MrsNakanoQuestions
