CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,What the hell are you doing up here?,,Gruff,
Miscellaneous,Miscellaneous,Hello,,,What's a man got to do to be alone?,,Gruff,
Scene,SceneDialogue,Custom,,"Player Default: What do you mean by ""chrome-dome synths""?","You know, them early model synths. Looks like metal wrapped over mechanical innards. You see them here and there doing who-knows-what for the Institute.",Player Default: I appreciate all you've done.,Folksy / Irritated,RR102_300_Ricky_Dalton
Scene,SceneDialogue,Custom,,RickyDalton: That's better. My heart almost burst outta my chest.,Who the hell is he? HQ said they were sending one agent. Not two.,Deacon: Sorry. I'm new. He's just showing me the ropes.,"Annoyed, suspicious / Suspicious",RR102_300_Ricky_Dalton
Scene,SceneDialogue,Custom,,RickyDalton: That's better. My heart almost burst outta my chest.,Who the hell is she? HQ said they were sending one agent. Not two.,Deacon: Sorry. I'm new. He's just showing me the ropes.,"Annoyed, suspicious / Suspicious",RR102_300_Ricky_Dalton
Scene,SceneDialogue,Custom,,Player Default: Have you seen anything else? The tiniest detail could save our lives.,"Well, chrome-domes have been going in and out for days. They keep taking things out. Crates and the like.",,,RR102_400a_Ricky_Followup
Scene,SceneDialogue,Custom,,,"I got no idea what's in the crates, but there sure are a lot of them. I can't think of nothing else.",Player Default: We're entering Slocum's through an escape tunnel. Know anything useful?,,RR102_400a_Ricky_Followup
Scene,SceneDialogue,Custom,,Player Default: We're entering Slocum's through an escape tunnel. Know anything useful?,Escape tunnel? I don't know a goddamn thing about that. Listen if you headquarter's fellows want more help you got to give me more information.,,Irritation bubbling over / Irritated,RR102_400a_Ricky_Followup
Scene,SceneDialogue,Custom,,,The only activity I saw was at Slocum's Joes. But I wasn't watching every damned nook and cranny out there.,Player Default: We're entering Slocum's through an escape tunnel. Know anything useful?,Irritation,RR102_400a_Ricky_Followup
Scene,SceneDialogue,Custom,,Player Default: The Railroad values your service. But we could really use more help from you.,I feel for the synths and what they go through. But I have done more than my fair share. My patience is about worn thin with you Railroad types. What do you want?,Player Default: You scavenge anything that can help us? We're risking out lives out there.,"Against his better judgment, think he's already a martyr",RR102_400a_Ricky_Followup
Scene,SceneDialogue,Custom,,Player Default: The Railroad values your service. But we could really use more help from you.,"You son of a bitch. After all I've risked you want more. Screw you, I'm leaving now.",Player Default: You scavenge anything that can help us? We're risking out lives out there.,Boils into anger / Angry,RR102_400a_Ricky_Followup
