CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"NPCFRonnieShaw: Now that we have the armory back, you can resupply here whenever you run low on supplies.",Anything you need right now?,Player Default: Let me see what you've got.,Question,WorkshopVendorRonnieShawIntro
Scene,SceneDialogue,Custom,,Player Default: Let me see what you've got.,"Sure thing, General.",,,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Let me see what you've got.,Here's what we have on hand.,,,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Let me see what you've got.,Take a look.,,,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Not right now.,"What are you pestering me for, then?",,Irritated,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Not right now.,"Ok, then.",,Neutral,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Not right now.,Then I'll get back to my busy schedule.,,Sarcastic,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Maybe. Let me take a look.,"The armory's always at your disposal, General.",,,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Maybe. Let me take a look.,Help yourself.,,,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,Player Default: Maybe. Let me take a look.,Must be something you need.,,,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,"Player Default: The Castle armory is at your service, General. What do you need?",Nothing you need to worry about. We'll hold this place for the Minutemen as long as any of us are still breathing.,,Confident,WorkshopVendorRonnieShawScene
Scene,SceneDialogue,Custom,,,"Now, did you need anything or not?",Player Default: Let me see what you've got.,Question,WorkshopVendorRonnieShawScene
Miscellaneous,Miscellaneous,Greeting,,,"Now that we have the armory back, you can resupply here whenever you run low on supplies.",RonnieShaw: Anything you need right now?,Confident,WorkshopVendorRonnieShawIntro
Miscellaneous,Miscellaneous,Greeting,,,"The Castle armory is at your service, General. What do you need?",Player Default: Let me see what you've got.,Question,WorkshopVendorRonnieShawScene
Miscellaneous,Miscellaneous,Greeting,,,"Running low on supplies, General?",Player Default: Let me see what you've got.,Question,WorkshopVendorRonnieShawScene
Miscellaneous,Miscellaneous,Greeting,,,Looking to resupply?,Player Default: Let me see what you've got.,Question,WorkshopVendorRonnieShawScene
Miscellaneous,Miscellaneous,Hello,,,"I'll get these kids whipped into shape, don't worry.",,,
