CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"NPCFRosalindOrman: Hm? Oh, hi there!",Sorry if I seem distracted. I memorized five sets of design schematics and now I'm doing detailed mental comparisons.,Player Default: That's amazing.,,DialogueInstituteRosalindFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: That's amazing.,"Oh, well, a lot of us do that.","RosalindOrman: Anyway, I'm glad you're here. I just wanted to say how much I admire Father, and that's it an honor to meet you.",,DialogueInstituteRosalindFirstGreeting
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Come on, don't bullshit me.","I didn't say it was easy, but I've been practicing at it since I was a little girl.","RosalindOrman: Anyway, I'm glad you're here. I just wanted to say how much I admire Father, and that's it an honor to meet you.",,DialogueInstituteRosalindFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: What kinds of blueprints?,Mostly components for a new plasma pistol concept I've been toying with.,,,DialogueInstituteRosalindFirstGreeting
Scene,SceneDialogue,Custom,,,High-energy weapons are sort of a hobby of mine.,"RosalindOrman: Anyway, I'm glad you're here. I just wanted to say how much I admire Father, and that's it an honor to meet you.",,DialogueInstituteRosalindFirstGreeting
Scene,SceneDialogue,Custom,,"Player Default: Oh, well, a lot of us do that.","Anyway, I'm glad you're here. I just wanted to say how much I admire Father, and that's it an honor to meet you.",,,DialogueInstituteRosalindFirstGreeting
Scene,SceneDialogue,Custom,,,I really hope you'll stay here with us.,,,DialogueInstituteRosalindFirstGreeting
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"I'm not boring you, I hope.",,,
Miscellaneous,Miscellaneous,Greeting,,,"Hm? Oh, hi there!",RosalindOrman: Sorry if I seem distracted. I memorized five sets of design schematics and now I'm doing detailed mental comparisons.,"Distracted, but then friendly. You were deep in thought. / Friendly",DialogueInstituteRosalindFirstGreeting
Miscellaneous,Miscellaneous,Hello,,,"It's really exciting, having you here. I can't wait to see what you can do.",,"Eager, upbeat",
Miscellaneous,Miscellaneous,Hello,,,"If you ask me, we're only scratching the surface with the latest synths.",,Enthusiastic,
Miscellaneous,Miscellaneous,Hello,,,Sleep is such a waste of time. I'd rather be designing more efficient plasma emitters.,,"Upbeat, bubbly, excited at the idea of designing things around the clock",
Miscellaneous,Miscellaneous,Hello,,,"One day, I'll design a more efficient reactor to replace that old clunker in the basement.",,"Rhetorical, excited",
Scene,SceneDialogue,Custom,,"Rosalind: We've taken everything we know, made a few modifications based on what we think they've done with it in the past ten years...","...and... (this part was my idea) uploaded the whole thing into a modified synth, capable of delivering the virus directly into Liberty Prime.","Rosalind: The little guy is going to be exposed and vulnerable, so you'll have to keep an eye on him. Make sure he doesn't get shot, you know?",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: So your end goal is ultimately pretty simple. Get to the robot, then hold the position while the synth does his thing.","Oh, and don't worry. We'll pull you out of there before everything explodes.","MadisonLi: If you have any questions, now's the time to ask. Otherwise they'll be waiting for you in the Relay room.",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: For every generator you take down, it means we can start Relaying in synths, giving you even more of an advantage.","And... oh, I almost forgot! Take these.","Player Default: Oh thanks. Grenades? Sure, I can always use grenades.",Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,,"We've taken everything we know, made a few modifications based on what we think they've done with it in the past ten years...","Rosalind: ...and... (this part was my idea) uploaded the whole thing into a modified synth, capable of delivering the virus directly into Liberty Prime.",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: ...and... (this part was my idea) uploaded the whole thing into a modified synth, capable of delivering the virus directly into Liberty Prime.","The little guy is going to be exposed and vulnerable, so you'll have to keep an eye on him. Make sure he doesn't get shot, you know?","Player Default: With Liberty Prime on our side, that'll give us a hell of an advantage.",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,"Player Default: With Liberty Prime on our side, that'll give us a hell of an advantage.","He's not going to go stomping around, and he won't be taking orders. But he will have his weapons and targeting systems overridden.",,,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,,And he'll absolutely recognize their airship as the primary Communist target in the Commonwealth.,"Rosalind: So your end goal is ultimately pretty simple. Get to the robot, then hold the position while the synth does his thing.",very amused,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,Player Default: I don't need some walking tin can to take them down.,"Need? Maybe not. But we want to send them a message, right? Make sure they leave us alone for good. Turning Prime against them will do that.","Rosalind: So your end goal is ultimately pretty simple. Get to the robot, then hold the position while the synth does his thing.",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,Player Default: I don't know if this is a good idea. Seems unnecessary to go to these lengths.,"Oh I think it's a great idea. I mean really, who do they think they are? Using robots, against the Institute? Come on.","Rosalind: So your end goal is ultimately pretty simple. Get to the robot, then hold the position while the synth does his thing.",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,Player Default: What exactly is this virus going to do for us?,"Well, if nothing else it'll take over the weapons systems, and establish their airship as a primary target. You can figure out what happens next.","Rosalind: So your end goal is ultimately pretty simple. Get to the robot, then hold the position while the synth does his thing.",amused,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,Player Default: And he'll absolutely recognize their airship as the primary Communist target in the Commonwealth.,"So your end goal is ultimately pretty simple. Get to the robot, then hold the position while the synth does his thing.","Rosalind: Oh, and don't worry. We'll pull you out of there before everything explodes.",,Inst307LPBriefingScene
Scene,SceneDialogue,Custom,,"Evan: Doctor Orman has done most of the hands-on work, so I'll let her explain the basics to you.","Okay, thanks. Is this really exciting, or is it just me?","Rosalind: So, you know that the Brotherhood's main operation is at the airport, right?",excited / Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: Okay, thanks. Is this really exciting, or is it just me?","So, you know that the Brotherhood's main operation is at the airport, right?","Player Default: I'm aware of that, yes.",Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: I'm aware of that, yes.","Okay, good.","Rosalind: If they were a little less intelligent, we wouldn't even be talking about this. We'd have just swarmed them with synths.",,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: I don't know much about their situation.,"Okay, well I guess I just told you. It's their main base in the Commonwealth.","Rosalind: If they were a little less intelligent, we wouldn't even be talking about this. We'd have just swarmed them with synths.",,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: I didn't really know for sure.,"Well, I guess now you do.","Rosalind: If they were a little less intelligent, we wouldn't even be talking about this. We'd have just swarmed them with synths.",,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: What can you tell me about the Airport?,"Well, there are a few key buildings that are still structurally sound, but no pre-war aircraft are still in service.","Rosalind: If they were a little less intelligent, we wouldn't even be talking about this. We'd have just swarmed them with synths.",,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: Okay, good.","If they were a little less intelligent, we wouldn't even be talking about this. We'd have just swarmed them with synths.",Rosalind: But they're not idiots. They've managed to generate an EM field that's messing with our ability to Relay in.,Amused,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: If they were a little less intelligent, we wouldn't even be talking about this. We'd have just swarmed them with synths.",But they're not idiots. They've managed to generate an EM field that's messing with our ability to Relay in.,Player Default: So we just relay on to the airship and sabotage it.,Concerned,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: So we just relay on to the airship and sabotage it.,Won't do us any good. There's no direct connection between their robot and the airship.,"Rosalind: So the immediate area around their encampment is a no-go. They don't, however, have the entire airport covered.",Apologetic,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: Synths are still the best option.,"The problem is getting them there. And you too, for that matter.","Rosalind: So the immediate area around their encampment is a no-go. They don't, however, have the entire airport covered.",Concerned,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: Sounds like a ground assault will be necessary, then.","Maybe, but not just that. They'll be somewhat prepared for it.","Rosalind: So the immediate area around their encampment is a no-go. They don't, however, have the entire airport covered.",Concerned,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: What sort of EM field? What's it doing?,Basically just scattering any suitably complex signals - like the ones from our Relay - preventing us from getting close.,"Rosalind: So the immediate area around their encampment is a no-go. They don't, however, have the entire airport covered.",Concerned,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: Won't do us any good. There's no direct connection between their robot and the airship.,"So the immediate area around their encampment is a no-go. They don't, however, have the entire airport covered.","Rosalind: We can relay you in to a point at the edge of the airport, and then you can get in and take down the generators.",Neutral,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: So the immediate area around their encampment is a no-go. They don't, however, have the entire airport covered.","We can relay you in to a point at the edge of the airport, and then you can get in and take down the generators.","Player Default: We'll have the element of surprise, if nothing else.",Confident,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: We'll have the element of surprise, if nothing else.",Exactly!,Rosalind: You'll have surprise on your side. Should give you some time before they can organize a real defense.,Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: So I'm by myself, out in the open? Way too much risk.","Only at first, and it won't be that bad.",Rosalind: You'll have surprise on your side. Should give you some time before they can organize a real defense.,Apologetic,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: That can't be the whole plan.,"No, it's just the first part. Your job then is to get closer to the main camp.",Rosalind: You'll have surprise on your side. Should give you some time before they can organize a real defense.,Concerned,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: Am I going to know these generators when I see them?,"You should, yeah. They're just blanketing the whole spectrum so there should be quite a light show.",Rosalind: You'll have surprise on your side. Should give you some time before they can organize a real defense.,Nervous,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: Exactly!,You'll have surprise on your side. Should give you some time before they can organize a real defense.,"Rosalind: For every generator you take down, it means we can start Relaying in synths, giving you even more of an advantage.",Confident,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Rosalind: You'll have surprise on your side. Should give you some time before they can organize a real defense.,"For every generator you take down, it means we can start Relaying in synths, giving you even more of an advantage.","Rosalind: And... oh, I almost forgot! Take these.",Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: Oh thanks. Grenades? Sure, I can always use grenades.","No no, they're not grenades!",Rosalind: This thing... and I haven't come up with a good name for it yet... It basically deploys a beacon marker.,,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: Whatever it is, I hope it's reliable.",Of course it is!,Rosalind: This thing... and I haven't come up with a good name for it yet... It basically deploys a beacon marker.,"surprised, slightly offended",Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: Uhh, thanks. More ammo is always useful, I guess.","No, no... let me explain.",Rosalind: This thing... and I haven't come up with a good name for it yet... It basically deploys a beacon marker.,"upbeat, enthusiastic / Amused",Inst307BriefingScene
Scene,SceneDialogue,Custom,,Player Default: And these would be...?,"Oh, you'll like this.",Rosalind: This thing... and I haven't come up with a good name for it yet... It basically deploys a beacon marker.,Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: No no, they're not grenades!",This thing... and I haven't come up with a good name for it yet... It basically deploys a beacon marker.,"Rosalind: Wherever they land, we can lock on to them and relay synths directly to that position. If there's a hot spot, you can drop synths right on it.",Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,Rosalind: This thing... and I haven't come up with a good name for it yet... It basically deploys a beacon marker.,"Wherever they land, we can lock on to them and relay synths directly to that position. If there's a hot spot, you can drop synths right on it.","Rosalind: We've only got a few of these, so put them to good use. Don't go tossing them into the bay.",Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Rosalind: Wherever they land, we can lock on to them and relay synths directly to that position. If there's a hot spot, you can drop synths right on it.","We've only got a few of these, so put them to good use. Don't go tossing them into the bay.","Player Default: Okay, that's pretty good. I'm impressed.",Happy,Inst307BriefingScene
Scene,SceneDialogue,Custom,,"Player Default: Okay, that's pretty good. I'm impressed.","I know, right? I mean... Thanks. I thought it was neat. But still, it's just to help.","Rosalind: Your real job will be to reach Liberty Prime. You know the deal with that, right?",,Inst307BriefingScene
