CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,,,,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,,,,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,,,,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,"I used to run with a raider gang a while back. Just didn't know any other way, ya know?",,Somber,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,"Well, one time a raid went wrong and I was left for dead on a highway somewhere.",,Somber,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,"Zeke and his boys found me while looking for spare parts. Took me in, fixed me up, and showed me I could make better use of my skills.",,Somber,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,"Now I stay, cuz I know these knuckleheads wouldn't leave me like that.",Player Default: Let's see what you've got.,Amused,DN054RowdyAtomCatsScene
Scene,SceneDialogue,Custom,,,,,,DN054RowdyGarageQuestionScene
Scene,SceneDialogue,Custom,,,,,,DN054RowdyGarageQuestionScene
Scene,SceneDialogue,Custom,,,,,,DN054RowdyGarageQuestionScene
Scene,SceneDialogue,Custom,,,"The Atom Cats Garage, dummy. Its a haven for cats too cool to live anywhere else in the Commonwealth.",,"Dryly sracastic, but friendly",DN054RowdyGarageQuestionScene
Scene,SceneDialogue,Custom,,,"We got a thing for custom power armor jobs, because what's cooler than power armor?",,,DN054RowdyGarageQuestionScene
Scene,SceneDialogue,Custom,,,"Nothing, that's what.",Player Default: Let's see what you've got.,,DN054RowdyGarageQuestionScene
Scene,SceneDialogue,Custom,,"Player Default: That June is a doll, and her mirelurk cakes are the most far out thing I have ever tasted.","Just so you know, I will be checking your work. The Cats won't take credit for shoddy craftsmanship.",DN054Zeke: So he had the skills to spiff up the Warwick pump. Should we rustle his jimmies with somethin' else?,Playful ribbing,DN054RepairReturn
Scene,SceneDialogue,Custom,,Player Default: Here to help.,Tops.,"DN054Rowdy: From the looks of it, I'd say boss man thinks you have a little Atom Cat in ya.","Slang for ""good"". She is pleased.",DN054RowdyChallengeScene
