CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,"Something sounded exciting, Detective.",,,
Miscellaneous,Miscellaneous,Greeting,,,"Well, that was certainly something.",,,
Miscellaneous,Miscellaneous,Greeting,,,Is it done? Can I get back to my painting?,,,
Scene,SceneDialogue,Custom,,Keith: What the hell do you think you're doing? This is a crime scene!,Do you not see it? The glory of the thing? The artistry?,Keith: What the hell is wrong with you?,,DLC03_V118_Quest_IntroMurderScene
Scene,SceneDialogue,Custom,,Player Default: You're still in love with Gilda and you wanted Keith out of the picture.,Just like my critics. Always willing to paint passion as madness!,Santiago: I see you've made up your mind. I'm not going down without a fight!,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,Player Default: You're still in love with Gilda and you wanted Keith out of the picture.,"Oh, I'm sure you'll invent something. I look forward to seeing what fanciful idea you have next, Detective.",Santiago: I see you've made up your mind. I'm not going down without a fight!,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,Player Default: Never mind.,Indeed. Perhaps you should rethink your accusations.,Santiago: I see you've made up your mind. I'm not going down without a fight!,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,Player Default: The motive doesn't matter. All the clues point to you.,"Bah! Medium without message, what use would that be to me?",Santiago: I see you've made up your mind. I'm not going down without a fight!,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,Player Default: Maybe you can give me a reason it couldn't be you.,"No, Detective. I don't need to go throwing around empty accusations like you do.",Player Default: You're still in love with Gilda and you wanted Keith out of the picture.,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,Player Default: Maybe you can give me a reason it couldn't be you.,"You should be looking at Julianna Riggs, Detective. That woman was a nightmare and very few people become more calm around a murder.",Player Default: You're still in love with Gilda and you wanted Keith out of the picture.,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,,What else did you need?,Player Default: I think you're the murderer. You used Keith's bat to frame him and left a trail of paint so we would find it.,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,Player Default: Just like my critics. Always willing to paint passion as madness!,I see you've made up your mind. I'm not going down without a fight!,,,DLC03_V118_QuestSantiagoMain
Scene,SceneDialogue,Custom,,,How absolutely inspiring!,,,DLC03_V118_QuestIntroSantiagoWait
Scene,SceneDialogue,Custom,,,Over two hundred years of life and then poof! Gone! The tragedy! The hilarity!,,,DLC03_V118_QuestIntroSantiagoWait
Scene,SceneDialogue,Custom,,,I may have to do a whole series on this.,,,DLC03_V118_QuestIntroSantiagoWait
Scene,SceneDialogue,Custom,,,I haven't felt this inspired since that time security spent all day chasing a molerat through the halls!,,,DLC03_V118_QuestIntroSantiagoWait
Scene,SceneDialogue,Custom,,,"Tell me, are you a devotee of the arts? Does that cruel muse call you to her entrapping bosom?","Player Default: Art is life, without it we are no different than animals.",,DLC03_V118_QuestIntroSantiagoPainting
Scene,SceneDialogue,Custom,,"Player Default: Art is life, without it we are no different than animals.","Perhaps. If all we are is a sentience floating in a suit of flesh, or metal I suppose, then art is the only true communion with the world.",Santiago: Come with me.,,DLC03_V118_QuestIntroSantiagoPainting
Scene,SceneDialogue,Custom,,"Player Default: Art is life, without it we are no different than animals.",Pah! Dogs and elephants can put paint to canvas.,,,DLC03_V118_QuestIntroSantiagoPainting
Scene,SceneDialogue,Custom,,,What's to say our every action isn't a spastic death twitch of a creature that hasn't realized it's already dead?,Santiago: Come with me.,,DLC03_V118_QuestIntroSantiagoPainting
