CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here you are...,,about to show the menu,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Everything's cooked or brewed here.,,about to show the menu,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Take a look.,,about to show the menu,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Hopefully nothing will poison ya.,,about to show the menu,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Okay.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Let me know if you change your mind.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,All right.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Later, then.",,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Fine fine.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"All right, hon.",,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Take your time.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Later, then.",,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Hit the bar if you change your mind.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Sure. No problem.,,,ScarlettGreetScene
Scene,SceneDialogue,Custom,,"Player Default: Who owns this bar, anyway?",The Bobrov brothers picked this place up a few years ago...,,player asks who owns the bar / Friendly,ScarlettGreetScene
Scene,SceneDialogue,Custom,,,"Vadim Bobrov is the loud one, Yefim Bobrov is the quiet one, and I'm the one that has to listen to them argue with each other all day...",Scarlett: The Bobrov brothers picked this place up a few years ago...,chuckling / Friendly,ScarlettGreetScene
Scene,SceneDialogue,Custom,,Player Default: Hear anything around town?,"Eh, same old.",Scarlett: The Bobrov brothers picked this place up a few years ago...,player asks you if anything is new around town,ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Anyway, I can take your order whenever.",Player Default: Let's see what you've got.,"general ""getting back to business"" line",ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,I should get back to work. Plenty of food and drinks available.,Player Default: Let's see what you've got.,"general ""getting back to business"" line",ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Anyway, I have to get back to serving drinks.",Player Default: Let's see what you've got.,"general ""getting back to business"" line",ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Wow, I can't believe Doc Crocker killed Earl. Glad I only ever had to deal with Doc Sun. Oh, I should get your order.",Player Default: Let's see what you've got.,"player recently uncovered the fact that Doc Crocker killed Earl, your old co-worker. ""Doc Sun"" is pronounced ""Doc SUHN"" / Surprised",ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Hi there. You can order drinks and food here or at the bar.,Player Default: Let's see what you've got.,player walks into the bar for the first time / Friendly,ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Oh, hello again. I can take your order whenever you're ready.",Player Default: Let's see what you've got.,player walks into the bar where you work,ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Everyone just buys the beer, but we have plenty of other drinks if you're feeling brave.",Player Default: Let's see what you've got.,player walks into the bar where you work,ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,I'll take your order whenever you're ready.,Player Default: Let's see what you've got.,player walks into the bar where you work,ScarlettGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"If you're hungry, we sell food, but usually people just orders drinks.",Player Default: Let's see what you've got.,player walks into the bar where you work,ScarlettGreetScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,I got a lot of orders to fill...,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Oh boy, another one that just stands there and stares...",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,What was your order again? I think I missed it...,,,
Miscellaneous,Miscellaneous,Hello,,,You gotta work hard in Diamond City. One step at a time.,,"off work, hanging out",
Miscellaneous,Miscellaneous,Hello,,,"Waitressing at the Dugout hasn't done great things for my hearing. Sure can shout, though.",,"off work, hanging out",
Miscellaneous,Miscellaneous,Hello,,,"The great, green jewel is safe. As safe as the Commonwealth can be, at least.",,"off work, hanging out",
Scene,SceneDialogue,Custom,,,"Oh yeah, Earl. *sigh* I mean, I know I shouldn't speak ill of the missing, but that guy needed to get out more.",,"player asks about Earl Sterling. He worked with you at the bar, but vanished a while back / Thinking",001_MS07aScarlettScene
Scene,SceneDialogue,Custom,,,"You'd think a bartender would be... smooth, you know? Charming? Not Earl. He tried so hard, too. Way too hard.",,Thinking,001_MS07aScarlettScene
Scene,SceneDialogue,Custom,,,The real sad thing? He thought it was his looks. Kept talking about getting a new face over at the Mega Surgery. Wouldn't have helped.,,Thinking,001_MS07aScarlettScene
Scene,SceneDialogue,Custom,,,"Don't get me involved in any of that. Look, Vadim may have cared about Earl, but he was just the bartender to me. That's all I know.",,"player asks about Earl Sterling, your old co-worker. you don't want to get involved / Nervous",001_MS07aScarlettScene
