CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Topic,PlayerDialogue,Custom,,,You want to give me another target? Or did you maybe want to change up the job?,,Question,
Miscellaneous,Miscellaneous,SharedInfo,,,That one's not going to work. No targets. Might be you'll have to make some adjustments before we can do it.,,Neutral,DLC04MQ04_003_ShankVassalScene
Miscellaneous,Miscellaneous,SharedInfo,,,"But is there something else, maybe?",Player Default: Let me talk to them. I'll get them to hand over what we need.,Question,DLC04MQ04_003_ShankVassalScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Hmm. Sorry, boss. Aren't any targets available for that one at the moment. You might need to run some legwork before we can do it.",,Neutral,DLC04MQ04_003_ShankVassalScene
Miscellaneous,Miscellaneous,SharedInfo,,,Want to try another one?,Player Default: Let me talk to them. I'll get them to hand over what we need.,Question,DLC04MQ04_003_ShankVassalScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Actually, doesn't look like there are any targets available for that job at the moment. Might need to do some prep work before we can run it again.",,Neutral,DLC04MQ04_003_ShankVassalScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Something else, maybe?",Player Default: Let me talk to them. I'll get them to hand over what we need.,Question,DLC04MQ04_003_ShankVassalScene
Scene,SceneDialogue,Custom,,Shank: Not too shabby.,I'll make sure your cut of any caps the outpost pulls in are waiting in your quarters.,Player Default: Let me talk to them. I'll get them to hand over what we need.,Neutral,DLC04MQ04_003_ShankVassalScene
Scene,SceneDialogue,Custom,,Shank: Any caps they provide will be waiting in your trunk up in Fizztop.,"And the more a settlement produces for itself, the more of each we can get them to cough up.",Player Default: Let me talk to them. I'll get them to hand over what we need.,Neutral,DLC04MQ04_003_ShankVassalScene
Scene,SceneDialogue,Custom,,,Probably for the best anyway. We got some more pressing matters to attend to.,Shank: Our outpost's caught the attention of some of our new neighbors in the Commonwealth.,Neutral,DLC04MQ04_003c_VassalSkipScene
Scene,SceneDialogue,Custom,,,"And with the place in as good shape as it is, I was thinking it might be time I set up shop there. Save you a trip any time you want to run a job.",,Wryly. You're hoping the player sends you to the outpost. / Neutral,DLC04MQ04_006a_FinalSceneBypass
Scene,SceneDialogue,Custom,,,You just let me know if that's something that'd interest you. Be good to make some trouble in the Commonwealth again.,,Neutral,DLC04MQ04_006a_FinalSceneBypass
Scene,SceneDialogue,Custom,,Shank: Haven't seen people this revved up since last time someone spiked the water fountains.,Never formally introduced myself. Name's Shank.,"Shank: And there are two ways to claim new territory - you can head in yourself and ""convince"" the locals to leave...",Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,Shank: We're not always going to be able to run every job against every settlement.,"So, you ready to pick the spot for Nuka-World's first new homestead?",Player Default: I'm ready.,Question,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,Shank: We're not always going to be able to run every job against every settlement.,You ready to decide where this is going down?,Player Default: I'm ready.,Question,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,Player Default: I'm ready.,Good.,,Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,Player Default: Not just yet.,Sure. Take your time.,,Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,Player Default: What were those targets you'd recommended before?,"Croup Manor, Taffington Boathouse, Greentop Nursery, and the Slog.",,Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,,"Again, I can't guarantee those'll all be available targets till I check my notes, but if they are, they're certainly a good place to start.",,Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,,"Now, you ready to make your decision?",Player Default: I'm ready.,Question,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,Player Default: We can't target certain settlements with certain jobs?,Unfortunately. Can't talk people off their land if there's no one around to talk to and the like.,,Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,,"Most cases, I'll try to let you know why we can't target a place, but the biggest hindrance is if there's already some activity going on there.",,Question,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,,"Though if that is the case, that Pip-Boy of yours might be able to give you some info on whatever might be blocking us hitting that spot.",,Neutral,DLC04MQ04_001_ShankInitialAttack
Scene,SceneDialogue,Custom,,,"Now, you ready to pick that first settlement?",Player Default: I'm ready.,Neutral,DLC04MQ04_001_ShankInitialAttack
