CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,People of the Commonwealth.,"Host: For years now, you have suspected that the Institute still exists, that we are among you. It is true, but it is not the whole truth.",,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,Host: People of the Commonwealth.,"For years now, you have suspected that the Institute still exists, that we are among you. It is true, but it is not the whole truth.","Host: We are here, and we are the future.",,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,"Host: For years now, you have suspected that the Institute still exists, that we are among you. It is true, but it is not the whole truth.","We are here, and we are the future.",Host: Our superior technology represents the best hope for the Commonwealth.,,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,"Host: We are here, and we are the future.",Our superior technology represents the best hope for the Commonwealth.,"Host: Today, we activate our nuclear reactor, ensuring that we will persevere long after the world above ground has ceased to exist.",,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,Host: Our superior technology represents the best hope for the Commonwealth.,"Today, we activate our nuclear reactor, ensuring that we will persevere long after the world above ground has ceased to exist.",Host: Ensuring that mankind has a future.,,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,"Host: Today, we activate our nuclear reactor, ensuring that we will persevere long after the world above ground has ceased to exist.",Ensuring that mankind has a future.,Host: We have no desire to interfere in the unimportant details of your daily lives.,,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,Host: Ensuring that mankind has a future.,We have no desire to interfere in the unimportant details of your daily lives.,Host: We simply insist that you do not interfere with Institute operations. To do so would result in dire consequences.,,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,Host: We have no desire to interfere in the unimportant details of your daily lives.,We simply insist that you do not interfere with Institute operations. To do so would result in dire consequences.,"Host: You may rest easy. Know that the future is in safe hands, that mankind will thrive under our guidance.",,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,Host: We simply insist that you do not interfere with Institute operations. To do so would result in dire consequences.,"You may rest easy. Know that the future is in safe hands, that mankind will thrive under our guidance.",,,RadioDiamondCityInstituteTakeoverScene
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: Shaun, about this synth...","You mean the child? It's a fascinating project, really. There are issues to be solved, of course, but we've made remarkable progress.",Player Default: He's definitely impressive.,proud / Neutral,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: He's definitely impressive.,"Yes, it's pushed our technology to the limit. We've gained some valuable insights in terms of both hardware and software.",Shaun: I'll make sure it's brought back online in the near future. You'll have an opportunity to interact with him further.,proud,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: You made a child synth... that looks like you. That's... it's... It's an abomination!,"It's a synth, not a human being. A simulacrum. Try to be more open-minded.",Shaun: I'll make sure it's brought back online in the near future. You'll have an opportunity to interact with him further.,disappointed / Irritated,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,"Player Default: It seems like a strange choice, on more than one level.","I can understand how it might seem that way. It was... it is, something new. New discoveries are always welcome.",Shaun: I'll make sure it's brought back online in the near future. You'll have an opportunity to interact with him further.,"sympathetic, proud / Apologetic",MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: Why build it to look like you?,We'd advanced the technology behind synths to a point where this struck me as an interesting variation.,,proud,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,,"A new angle, if you will. Modeling it after myself seemed only natural, what with Institute records on my genetics and physiology.",Shaun: I'll make sure it's brought back online in the near future. You'll have an opportunity to interact with him further.,proud,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,"Player Default: Yes, it's pushed our technology to the limit. We've gained some valuable insights in terms of both hardware and software.",I'll make sure it's brought back online in the near future. You'll have an opportunity to interact with him further.,"Shaun: But... I'll admit, I'm curious. As a parent looking for his child, looking for the younger version of me... What do you think?",,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Shaun: I'll make sure it's brought back online in the near future. You'll have an opportunity to interact with him further.,"But... I'll admit, I'm curious. As a parent looking for his child, looking for the younger version of me... What do you think?",,,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,,Do you think you could love him? Like you would a real boy?,Player Default: I don't need a synth. I found the real Shaun.,Question,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: I don't need a synth. I found the real Shaun.,"Yes, but... not the Shaun you were looking for. In some ways, the synth is far closer to what you expected.","Shaun: I wouldn't claim to know everything that you're feeling, but... If in some small way the boy's presence can help, I hope you'll keep an open mind.",,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: It's not you. It's not even human. I could never love that.,"No, perhaps not. But in many ways, he matches what you've been searching for all this time.","Shaun: I wouldn't claim to know everything that you're feeling, but... If in some small way the boy's presence can help, I hope you'll keep an open mind.",,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: This is all... it's too much. I just don't know anymore.,I understand. You've been through quite a lot.,"Shaun: I wouldn't claim to know everything that you're feeling, but... If in some small way the boy's presence can help, I hope you'll keep an open mind.",,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,Player Default: Seriously? You really believe a human could love a synth?,That's... a difficult question. I suppose it depends on how closely we've managed to mimic human behavior and emotions.,,,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,,Yours is a unique position. Possibly the only one that's truly able to answer these questions right now.,"Shaun: I wouldn't claim to know everything that you're feeling, but... If in some small way the boy's presence can help, I hope you'll keep an open mind.",,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,"Player Default: Yes, but... not the Shaun you were looking for. In some ways, the synth is far closer to what you expected.","I wouldn't claim to know everything that you're feeling, but... If in some small way the boy's presence can help, I hope you'll keep an open mind.",,,MQ207Stage150SynthScene
Scene,SceneDialogue,Custom,,PlayerVoiceFemale01: Shaun...  can we talk about this?,Have you reconsidered your decision?,Player Default: I've... changed my mind. I'll work with you.,,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,Player Default: I've... changed my mind. I'll work with you.,"Well, that's good to hear. All right, then...","Shaun: The Institute is now your home as much as it is mine. Please, take some time and get to know it. Meet the people you'll be working with.",,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,Player Default: Forget it. Never mind.,"I see. Well, as I've said, you may see yourself out.",,,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,Player Default: I'm sorry. I'm not interested.,That's a shame. I had hoped for so much more.,,,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,,You may see yourself out.,,,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,"Player Default: Shaun, isn't there some other option, some other way we could work things out?",You've seen the Commonwealth. You must have some idea of how this world works.,,,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,,"You're either with us, or you're not. I'm afraid it's that simple.",Player Default: I've... changed my mind. I'll work with you.,,MQ207NewShaunReconsiderScene
Scene,SceneDialogue,Custom,,Shaun: I was exactly what they needed. And so it was my DNA that became the basis of the synthetic organics used to create every human-like synth you see today.,"I am their Father. Through Science, we are family. The synths, me... and you.",Player Default: Shaun... It's really you...,,MQ207NewShaunStartScene
Scene,SceneDialogue,Custom,,"Shaun: Please try and keep an open mind. I recognize that you are emotional, and that your journey here has been fraught with challenges.",Let's start anew. I am Father. Welcome to the Institute.,Player Default: Give me Shaun. The real Shaun. Right now.,Friendly,MQ207NewShaunStartScene
Scene,SceneDialogue,Custom,,,You have to understand. The Institute was on the verge of a breakthrough with synthetic organics.,"Shaun: They needed DNA, un-tainted by radiation from the bombs. They found me.",,MQ207NewShaunExplanationScene
Scene,SceneDialogue,Custom,,Shaun: You have to understand. The Institute was on the verge of a breakthrough with synthetic organics.,"They needed DNA, un-tainted by radiation from the bombs. They found me.","Shaun: Rather than cast me aside once they had what they needed, they raised me as one of their own. I've lived my entire life within the Institute.",,MQ207NewShaunExplanationScene
Scene,SceneDialogue,Custom,,"Shaun: They needed DNA, un-tainted by radiation from the bombs. They found me.","Rather than cast me aside once they had what they needed, they raised me as one of their own. I've lived my entire life within the Institute.",Player Default: It looks like they raised you well.,,MQ207NewShaunExplanationScene
Scene,SceneDialogue,Custom,,Player Default: It looks like they raised you well.,"It helped that I had a natural affinity for science, but yes.","Shaun: My parents were supposed to be kept in cryogenic suspension should a, uhh, ""backup"" be required.",,MQ207NewShaunExplanationScene
