CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Actually, I already did that.",I thought the purifier was running smoother!,,Happy,ShengQuestScene
Scene,SceneDialogue,Custom,,,Here's your pay. Pleasure doing business with ya.,,,ShengQuestScene
Scene,SceneDialogue,Custom,,"Player Default: Actually, I already did that.",Just don't drown. I'll never clean your carcass out of there.,,,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: I don't think so.,Everyone always shies away from the dirty work.,,,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: Depends. What's this worth to you?,"Job's 100 caps, but I like you. 125.","Player Default: Actually, I already did that.",,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: Depends. What's this worth to you?,150 then.,"Player Default: Actually, I already did that.",,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: Depends. What's this worth to you?,All right. 200. High as I'll go.,"Player Default: Actually, I already did that.",,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: Depends. What's this worth to you?,"Ah, no. We're not doing this. 100 caps for the job. No hagglin'.","Player Default: Actually, I already did that.",Angry,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: What kind of stuff is down there?,You're looking for big things. Anything around the size of a book usually.,"Player Default: Actually, I already did that.",,ShengQuestScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Best decision of your life...,,,ShengGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Bottled just today...,,,ShengGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Everyone's gotta drink, am I right?",,,ShengGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,The filters clean out everything...,,,ShengGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Take your pick...,,,ShengGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Good luck finding this anywhere else...,,,ShengGreetScene
