CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"So you like playing cops and robbers, Kent?",FinalSpeakers: Please... make it stop...,"Rhetorical question, menacing",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,FinalSpeakers: Please... make it stop...,"Oh, your friend's arrived, Kent. Do you mind if call you Kent? Here's the thing about cops and robbers. The bad guys always win.",FinalSpeakers: You see the good guy has too many things he cares about. Family. Friends. Little school kids. Maybe some morals.,"Rhetorical question, menacing story",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,"FinalSpeakers: Oh, your friend's arrived, Kent. Do you mind if call you Kent? Here's the thing about cops and robbers. The bad guys always win.",You see the good guy has too many things he cares about. Family. Friends. Little school kids. Maybe some morals.,"FinalSpeakers: Whereas a bad guy, he just wants the fucking money. So what happens when you start taking apart the bad guy's empire. When you start ripping him off.","The good guy's an idiot, menacing",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,FinalSpeakers: You see the good guy has too many things he cares about. Family. Friends. Little school kids. Maybe some morals.,"Whereas a bad guy, he just wants the fucking money. So what happens when you start taking apart the bad guy's empire. When you start ripping him off.","FinalSpeakers: When you start making a fool of him, Kent. Then you got someone that will stop at absolutely nothing to take back what's his.","Menacing, growing angry",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,"FinalSpeakers: Whereas a bad guy, he just wants the fucking money. So what happens when you start taking apart the bad guy's empire. When you start ripping him off.","When you start making a fool of him, Kent. Then you got someone that will stop at absolutely nothing to take back what's his.",FinalSpeakers: Shroud. Better get here soon. Kent's beginning to bore me.,"Angry, menacing",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,"FinalSpeakers: When you start making a fool of him, Kent. Then you got someone that will stop at absolutely nothing to take back what's his.",Shroud. Better get here soon. Kent's beginning to bore me.,,"Menacing, threatening",MS04_1220_SinjinMonologueStart
Scene,SceneDialogue,Custom,,,You're not walking away from this!,,Angry,MS04_1300_SinjinConfrontation
Scene,SceneDialogue,Custom,,,Shroud! I want to talk with you!,,Angry - Yelling loudly (player coming down in an elevator),MS04_Ambient_SinjinWarning
Scene,SceneDialogue,Custom,,,"Hold, assholes. Anyone turns heel and I'm coming for you and your family.","Sinjin: And you, Shroud, you step any closer and we get to see what's inside Kent's head.",Angry,MS04_1300_SinjinConfrontation
Scene,SceneDialogue,Custom,,"Sinjin: Hold, assholes. Anyone turns heel and I'm coming for you and your family.","And you, Shroud, you step any closer and we get to see what's inside Kent's head.","Player Default: Don't do anything rash, Sinjin.",Absolute menace / Angry,MS04_1300_SinjinConfrontation
Scene,SceneDialogue,Custom,,"Player Default: Don't do anything rash, Sinjin.",Rash? Rash?,Sinjin: Some of these losers think you're some sort of legend. Like you walked straight out of a comic book.,Explosive / Irritated,MS04_1300_SinjinConfrontation
Scene,SceneDialogue,Custom,,"Player Default: You shield yourself behind an innocent. You are craven, Sinjin. And you shall fall before me.",Don't talk to me like that.,Sinjin: Some of these losers think you're some sort of legend. Like you walked straight out of a comic book.,Irritated / Angry,MS04_1300_SinjinConfrontation
