CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,You got till I count 10. Now beat it.,,you've decided to let Nick Valentine and the player go / Angry,
Miscellaneous,Miscellaneous,Hello,,,Don't push your luck! Go!,,you've decided to let Nick Valentine and the player go / Angry,
Miscellaneous,Miscellaneous,Hello,,,You get out of here. Now.,,you've decided to let Nick Valentine and the player go / Angry,
Miscellaneous,Miscellaneous,Hello,,,Better leave before I forget my generous nature.,,you've decided to let Nick Valentine and the player go / Angry,
Miscellaneous,Miscellaneous,Hello,,,Get lost!,,you've decided to let Nick Valentine and the player go / Angry,
Miscellaneous,Miscellaneous,Hello,,,"If I were you, I'd run. Fast.",,Skinny Malone has given the player 10 seconds to leave before he starts shooting,
Miscellaneous,Miscellaneous,Hello,,,What are you doin'? Get goin' before the boss changes his mind!,,Skinny Malone has given the player 10 seconds to leave before he starts shooting,
Miscellaneous,Miscellaneous,Hello,,,You heard the boss. Get lost!,,Skinny Malone has given the player 10 seconds to leave before he starts shooting,
Scene,SceneDialogue,Custom,,,How the hell did you know about that?,,player knows a part of your past you've never told anyone / Surprised,007_MQ104_NickSkinny03
Scene,SceneDialogue,Custom,,,Okay. You two can go. You got until the count of ten. Then I don't care what happened back in the old days. You're dead.,"MobsterGirl: What are you doin', Skinny? Kill 'em!",Stern,007_MQ104_NickSkinny03
Scene,SceneDialogue,Custom,,,One...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Two...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Three...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Four...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Five...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Six...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Seven...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Eight...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Nine...,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
Scene,SceneDialogue,Custom,,,Ten!,,"angry, counting down before you open fire",009_MQ104_SkinnyMaloneCountdown
