CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,CassieDalton: Mainlander cleared my farm. Avenged my family! More than the rest of you ever did for me.,What's Allen really ever done? Cause trouble. Remember who cleared the Lumber Mill.,,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,,Remember who's given us a new chance to take back our island.,AndreMichaud: I owe my very life to the stranger. We should listen now.,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,CassieDalton: Mainlander cleared my farm. Avenged my family! More than the rest of you ever did for me.,"Allen's always looked out for us. The mainlander would choose trappers, trappers, over us.",AndreMichaud: I owe my very life to the stranger. We should listen now.,,DLC03MQ05_0500c_SpareAvery
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You sure are quiet.,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"I like silence, too.",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Can you answer, please.",,,
Miscellaneous,Miscellaneous,Hello,,,"What happened to the Children of Atom weren't no accident. Right, stranger?",,"Insightful, guessing the player was involved",
Miscellaneous,Miscellaneous,Hello,,,The Children of Atom changed awful sudden. Grownups don't just do that.,,,
Miscellaneous,Miscellaneous,Hello,,,"Once you start turning on each other, how do you stop?",,,
Miscellaneous,Miscellaneous,Hello,,,I'll miss Avery. Everyone will soon.,,,
Miscellaneous,Miscellaneous,Hello,,,What you did with Allen. Calling him out... Thanks.,,,
Miscellaneous,Miscellaneous,Hello,,,The Captain's Dance was supposed to only be the stuff of stories.,,,
Miscellaneous,Miscellaneous,Hello,,,Leave. Me. Alone.,,,
Miscellaneous,Miscellaneous,Hello,,,I won't ever forget you.,,,
Miscellaneous,Miscellaneous,Hello,,,All of us in the dregs owe you.,,,
Miscellaneous,Miscellaneous,Hello,,,You're... You're not like anyone I've ever met.,,,
Miscellaneous,Miscellaneous,Hello,,,They say mainlanders are nothing but trouble. They're wrong.,,,
Miscellaneous,Miscellaneous,Hello,,,My brother's going to get better.,,,
Miscellaneous,Miscellaneous,Hello,,,"We... need you, stranger.",,,
Miscellaneous,Miscellaneous,Hello,,,We got to learn to ask for help.,,,
Miscellaneous,Miscellaneous,Hello,,,Watch your step.,,"Venom, threatening",
Miscellaneous,Miscellaneous,Hello,,,I don't have time for mainlanders.,,,
Miscellaneous,Miscellaneous,Hello,,,What makes you think I want to talk with you?,,,
Miscellaneous,Miscellaneous,Hello,,,No one talks to my brother. All right?,,,
Miscellaneous,Miscellaneous,Hello,,,"Get lost, I don't need your charity.",,,
Miscellaneous,Miscellaneous,Hello,,,You still here for some reason?,,,
Scene,SceneDialogue,Custom,,,"Hey, Mister. Those aren't your boots.",ThiefGeneric: They're on my feet. Beat it.,"Quiet, steel / Somber",DLC03IntroSceneSmallBertha_01
Scene,SceneDialogue,Custom,,ThiefGeneric: They're on my feet. Beat it.,My brother's been through enough. Those boots aren't yours.,"ThiefGeneric: Tony's got no right to be here no more. You can't take care of yourself, better you take the Long Walk.",Steel / Defiant,DLC03IntroSceneSmallBertha_01
